date, pm25, pm10, no2, so2, co
2023/11/1, 8, 8, 6, 5, 14
2023/11/2, 10, 4, 2, 5, 13
2023/11/3, 5, 2, 2, 5, 12
2023/11/4, 3, 3, 2, 4, 13
2023/11/5, 4, 3, 2, 5, 13
2023/11/6, 4, 4, 5, 5, 14
2023/11/7, 6, 6, 5, 6, 15
2023/11/8, 7, 3, 3, 5, 13
2023/11/9, 4, , , , 
2023/11/11, 2, 1, 1, 5, 12
2023/11/12, 2, , , , 
2023/11/14, 3, 4, 5, 6, 14
2023/11/15, 5, 2, 4, 5, 13
2023/11/16, 3, 2, 5, 5, 13
2023/11/17, 3, 3, 7, 5, 14
2023/11/18, 4, 4, 8, 7, 15
2023/11/19, 5, 3, 6, 6, 14
2023/11/20, 3, 3, 7, 5, 15
2023/11/21, 3, 2, 7, 5, 14
2023/11/22, 3, 5, 6, 5, 15
2023/11/23, 5, 2, 4, 5, 13
2023/11/24, 3, , , , 
2023/10/1, 12, 12, 8, 6, 12
2023/10/2, 13, 15, 5, 5, 12
2023/10/3, 18, 12, 3, 5, 11
2023/10/4, 14, 13, 5, 5, 12
2023/10/5, 13, 14, 4, 5, 12
2023/10/6, 14, , , , 
2023/10/10, 16, 13, 15, 10, 13
2023/10/11, 14, , , , 
2023/10/14, 19, 11, 6, 6, 12
2023/10/15, 13, , , , 
2023/10/17, 15, 15, 8, 5, 14
2023/10/18, 19, 8, 9, 6, 13
2023/10/19, 10, 7, 5, 6, 13
2023/10/20, 9, , , , 
2023/10/26, 8, 10, 6, 7, 14
2023/10/27, 13, 4, 3, 5, 13
2023/10/28, 5, 8, 6, 6, 13
2023/10/29, 9, 3, 5, 6, 13
2023/10/30, 4, 7, 5, 5, 13
2023/10/31, 9, 6, 6, 7, 14
2023/7/1, 24, 21, 4, 4, 11
2023/7/2, 20, 19, 4, 4, 11
2023/7/3, 17, 15, 3, 4, 11
2023/7/4, 12, 14, 3, 7, 11
2023/7/5, 13, 19, 2, 4, 12
2023/7/6, 17, 21, 1, 4, 11
2023/7/7, 19, 22, 1, 4, 11
2023/7/8, 20, 22, 1, 4, 12
2023/7/9, 22, 21, 1, 4, 11
2023/7/10, 24, 22, 2, 4, 11
2023/7/11, 22, 21, 2, 4, 11
2023/7/12, 21, 22, 1, 4, 11
2023/7/13, 24, 20, 2, 4, 11
2023/7/14, 22, 34, 7, 6, 12
2023/7/15, 42, 40, 5, 4, 12
2023/7/16, 46, 55, 5, 5, 13
2023/7/17, 67, 31, 4, 4, 12
2023/7/18, 40, 20, 3, 5, 12
2023/7/19, 27, 17, 6, 5, 11
2023/7/20, 18, 30, 5, 4, 12
2023/7/21, 36, 14, 3, 4, 11
2023/7/22, 12, 16, 2, 4, 11
2023/7/23, 15, 15, 4, 4, 11
2023/7/24, 13, 17, 2, 4, 11
2023/7/25, 17, 14, 2, 4, 11
2023/7/26, 14, 18, 1, 4, 11
2023/7/27, 20, 39, 3, 4, 12
2023/7/28, 49, 37, 4, 5, 12
2023/7/29, 50, 13, 2, 4, 11
2023/7/30, 16, 12, 4, 5, 11
2023/7/31, 12, 11, 5, 5, 11
2023/8/1, 12, 13, 4, 5, 12
2023/8/2, 14, 24, 6, 5, 12
2023/8/3, 29, 14, 5, 4, 11
2023/8/4, 16, 8, 5, 5, 11
2023/8/5, 6, 10, 3, 5, 11
2023/8/6, 6, 11, 2, 4, 12
2023/8/7, 9, 9, 3, 4, 11
2023/8/8, 6, 15, 4, 5, 11
2023/8/9, 11, 27, 5, 4, 12
2023/8/10, 31, 20, 4, 4, 12
2023/8/11, 23, 14, 5, 5, 11
2023/8/12, 14, 25, 4, 5, 12
2023/8/13, 31, 16, 5, 4, 12
2023/8/14, 17, 27, 6, 4, 12
2023/8/15, 32, 23, 2, 4, 12
2023/8/16, 25, 23, 2, 4, 12
2023/8/17, 24, 22, 2, 4, 12
2023/8/18, 24, 17, 6, 8, 12
2023/8/19, 19, 10, 3, 4, 12
2023/8/20, 11, 13, 3, 4, 12
2023/8/21, 15, 15, 1, 4, 12
2023/8/22, 18, 16, 2, 4, 13
2023/8/23, 17, 16, 5, 4, 12
2023/8/24, 19, 18, 3, 7, 12
2023/8/25, 23, 16, 3, 4, 12
2023/8/26, 19, 15, 3, 4, 12
2023/8/27, 17, 12, 6, 5, 12
2023/8/28, 14, 15, 7, 5, 13
2023/8/29, 16, 17, 5, 5, 12
2023/8/30, 22, 22, 4, 5, 13
2023/8/31, 29, 30, 5, 4, 13
2023/9/1, 39, 38, 4, 5, 14
2023/9/2, 53, 25, 4, 5, 13
2023/9/3, 32, 11, 4, 5, 12
2023/9/4, 14, 17, 3, 5, 13
2023/9/5, 20, 28, 4, 5, 13
2023/9/6, 35, 36, 4, 5, 13
2023/9/7, 47, 26, 4, 5, 13
2023/9/8, 33, 14, 5, 5, 13
2023/9/9, 17, 18, 4, 5, 12
2023/9/10, 22, 27, 4, 5, 12
2023/9/11, 33, 15, 4, 5, 12
2023/9/12, 17, 14, 8, 5, 12
2023/9/13, 16, 7, 5, 5, 13
2023/9/14, 8, 12, 6, 5, 13
2023/9/15, 10, 12, 6, 5, 13
2023/9/16, 13, 11, 6, 5, 12
2023/9/17, 11, 6, 4, 5, 12
2023/9/18, 5, 8, 4, 4, 9
2023/9/19, 6, 7, 3, 5, 11
2023/9/20, 8, 10, 3, 5, 12
2023/9/21, 9, 10, 3, 5, 12
2023/9/22, 10, 9, 3, 4, 12
2023/9/23, 9, 9, 2, 5, 12
2023/9/24, 8, , , , 
2023/9/27, 6, 7, 4, 4, 12
2023/9/28, 6, 14, 5, 5, 13
2023/9/29, 15, 15, 4, 5, 12
2023/9/30, 16, 11, 7, 6, 13
2023/4/1, 1, 1, 1, 1, 13
2023/4/2, 2, 1, 1, 1, 13
2023/4/3, 1, 2, 1, , 13
2023/4/4, 2, 2, 1, , 13
2023/4/5, 2, , 1, , 12
2023/4/6, 2, 1, 2, , 13
2023/4/7, 1, 1, 3, , 13
2023/4/8, 1, , , , 
2023/4/13, 1, 1, 1, 1, 13
2023/4/14, 1, 1, 1, 1, 13
2023/4/15, 1, 1, 2, 1, 14
2023/4/16, 1, 1, 1, 1, 14
2023/4/17, 1, 1, 1, 1, 13
2023/4/18, 1, 1, 1, 1, 13
2023/4/19, 1, 1, 2, 1, 13
2023/4/20, 1, , 2, 1, 14
2023/4/22, 1, 1, 1, 1, 13
2023/4/23, 1, 1, 1, 1, 12
2023/4/24, 1, 1, 2, 1, 13
2023/4/25, 1, 1, 3, 1, 13
2023/4/26, 1, 1, 2, 1, 13
2023/4/27, 1, 1, 1, 1, 13
2023/4/28, 1, 1, 3, 8, 13
2023/4/29, 1, 1, 2, 1, 14
2023/4/30, 1, 1, 2, 1, 14
2023/5/1, 1, , 2, 1, 14
2023/5/3, 1, 1, 1, 1, 13
2023/5/4, 1, 6, 2, 1, 13
2023/5/5, 6, 13, 2, 1, 13
2023/5/6, 14, 13, 1, 1, 13
2023/5/7, 14, 7, 2, 1, 14
2023/5/8, 7, 6, 2, 1, 14
2023/5/9, 7, 6, 1, 1, 14
2023/5/10, 6, 6, 1, 1, 13
2023/5/11, 6, 5, 3, 1, 14
2023/5/12, 5, 2, 4, 1, 13
2023/5/13, 3, 4, 3, , 14
2023/5/14, 5, 4, 1, , 14
2023/5/15, 5, 3, 1, 1, 13
2023/5/16, 4, 21, 2, 1, 13
2023/5/17, 21, 42, 2, 1, 
2023/5/18, 47, 41, 2, 1, 
2023/5/19, 50, , , , 
2023/5/22, 56, 41, 2, 1, 
2023/5/23, 47, 43, 2, 1, 
2023/5/24, 49, 20, 2, , 
2023/5/25, 21, 17, 1, 1, 
2023/5/26, 18, 16, 2, 1, 
2023/5/27, 17, 14, 1, 1, 
2023/5/28, 14, 23, 2, 1, 
2023/5/29, 23, 23, 2, , 
2023/5/30, 23, 23, 2, 4, 10
2023/5/31, 23, 24, 1, 4, 10
2023/6/1, 28, 30, 1, 4, 11
2023/6/2, 35, 30, 2, 8, 10
2023/6/3, 31, 26, 2, 5, 11
2023/6/4, 27, 21, 2, 4, 11
2023/6/5, 23, 17, 2, 5, 11
2023/6/6, 19, 32, 3, 6, 11
2023/6/7, 42, 27, 3, 5, 11
2023/6/8, 32, 22, 5, 7, 11
2023/6/9, 27, 33, 4, 5, 11
2023/6/10, 41, 38, 4, 5, 11
2023/6/11, 56, 28, 3, 5, 11
2023/6/12, 35, 28, 4, 4, 11
2023/6/13, 35, 20, 5, 5, 11
2023/6/14, 23, 22, 5, 5, 11
2023/6/15, 24, 28, 4, 5, 11
2023/6/16, 32, 26, 4, 5, 11
2023/6/17, 26, 19, 4, 5, 10
2023/6/18, 20, 17, 3, 4, 11
2023/6/19, 17, 22, 3, 4, 10
2023/6/20, 24, 26, 3, 4, 11
2023/6/21, 27, 26, 2, 4, 11
2023/6/22, 28, 22, 5, 6, 11
2023/6/23, 22, 19, 5, 5, 11
2023/6/24, 18, 8, 5, 5, 12
2023/6/25, 8, 10, 4, 4, 11
2023/6/26, 11, 10, 4, 4, 11
2023/6/27, 9, 12, 3, 4, 11
2023/6/28, 13, 17, 3, 4, 11
2023/6/29, 20, 25, 3, 4, 11
2023/6/30, 27, 22, 3, 4, 11
2023/2/16, 11, 9, 8, 1, 17
2023/2/17, 11, 5, 6, 1, 15
2023/2/18, 6, 7, 5, , 16
2023/2/19, 9, 6, 5, 1, 17
2023/2/20, 8, 5, 6, 1, 16
2023/2/21, 7, 4, 5, , 15
2023/2/22, 5, 4, 7, , 16
2023/2/23, 5, 3, 7, , 16
2023/2/24, 5, 3, 6, 1, 16
2023/2/25, 5, 4, 9, 1, 17
2023/2/26, 6, 5, 9, , 16
2023/2/27, 7, 5, 8, 1, 16
2023/2/28, 6, 3, 7, , 15
2023/3/1, 4, , , , 
2023/3/3, 6, 6, 7, , 17
2023/3/4, 7, 6, 8, 1, 19
2023/3/5, 8, 4, 6, , 16
2023/3/6, 5, 3, 5, , 15
2023/3/7, 4, 3, 5, , 15
2023/3/8, 3, 6, 6, , 16
2023/3/9, 7, 7, 6, 15, 17
2023/3/10, 9, 4, 6, 18, 17
2023/3/11, 6, 4, 4, , 16
2023/3/12, 5, 6, 7, 1, 17
2023/3/13, 7, 10, 6, 1, 17
2023/3/14, 10, , , 1, 
2023/3/16, 4, 3, 3, 12, 17
2023/3/17, 4, 3, 3, , 16
2023/3/18, 4, 3, 3, , 16
2023/3/19, 3, 2, 2, , 15
2023/3/20, 3, 4, 2, 1, 15
2023/3/21, 4, 6, 2, 1, 16
2023/3/22, 7, 6, 2, 1, 15
2023/3/23, 7, 5, 2, , 15
2023/3/24, 6, 4, 2, 1, 16
2023/3/25, 6, , , , 
2023/3/28, 6, 2, 5, 1, 14
2023/3/29, 2, , , 1, 
2023/3/31, 1, 1, 3, 1, 14
2023/11/10, , 2, 1, 5, 12
2023/11/13, , 2, 4, 7, 13
2023/10/9, , 13, 10, 7, 13
2023/10/13, , 15, 8, 6, 13
2023/10/16, , 12, 9, 6, 14
2023/10/25, , 7, 6, 5, 13
2023/9/26, , 7, 5, 4, 12
2023/4/12, , 1, 1, 1, 13
2023/4/21, , 1, 1, 1, 12
2023/5/21, , 49, 2, 1, 
2023/2/15, , 9, 10, , 18
2023/3/2, , 5, 8, , 15
2023/3/15, , 3, 4, , 16
2023/3/27, , 5, 7, , 15
2023/3/30, , 1, 2, , 15
2023/5/2, , , 1, 1, 13
2023/2/11, , , , 66, 
