,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Huế,2019-12-02,0,18,13,12,5,10,18,Tốt
1,Huế,2019-12-03,34,19,20,12,4,7,34,Tốt
2,Huế,2019-12-04,36,17,15,13,5,7,36,Tốt
3,Huế,2019-12-05,32,8,22,8,5,5,32,Tốt
4,Huế,2019-12-06,13,35,20,13,5,8,35,Tốt
5,Huế,2019-12-07,45,45,11,14,4,8,45,Tốt
6,Huế,2019-12-08,63,47,16,14,5,9,63,Vừa Phải
7,Huế,2019-12-09,67,54,24,15,6,10,67,Vừa Phải
8,Huế,2019-12-10,90,37,24,13,4,9,90,Vừa Phải
9,Huế,2019-12-11,70,50,17,13,5,8,70,Vừa Phải
10,Huế,2019-12-12,100,46,11,13,5,11,100,Vừa Phải
11,Huế,2019-12-13,64,40,11,13,5,8,64,Vừa Phải
12,Huế,2019-12-14,68,27,10,9,4,7,68,Vừa Phải
13,Huế,2019-12-15,38,23,10,9,4,7,38,Tốt
14,Huế,2019-12-16,31,30,8,8,4,6,31,Tốt
15,Huế,2019-12-17,41,21,10,7,4,6,41,Tốt
16,Huế,2019-12-18,27,20,8,7,5,6,27,Tốt
17,Huế,2019-12-19,27,19,10,7,5,5,27,Tốt
18,Huế,2019-12-20,24,20,10,8,4,7,24,Tốt
19,Huế,2019-12-21,26,21,11,8,5,7,26,Tốt
20,Huế,2019-12-22,29,26,10,9,5,8,29,Tốt
21,Huế,2019-12-23,35,26,10,7,5,8,35,Tốt
22,Huế,2019-12-24,35,27,10,9,5,8,35,Tốt
23,Huế,2019-12-25,35,31,11,8,5,7,35,Tốt
24,Huế,2019-12-26,41,33,17,9,5,8,41,Tốt
25,Huế,2019-12-27,44,38,15,11,5,11,44,Tốt
26,Huế,2019-12-28,56,50,13,10,6,10,56,Vừa Phải
27,Huế,2019-12-29,80,0,0,0,0,0,80,Vừa Phải
28,Huế,2019-12-31,0,12,13,4,5,5,13,Tốt
29,Huế,2020-01-01,17,17,14,5,5,7,17,Tốt
30,Huế,2020-01-02,27,19,10,6,5,8,27,Tốt
31,Huế,2020-01-03,29,19,10,5,5,7,29,Tốt
32,Huế,2020-01-04,25,18,10,5,5,6,25,Tốt
33,Huế,2020-01-05,25,22,10,5,5,6,25,Tốt
34,Huế,2020-01-06,28,22,10,4,5,7,28,Tốt
35,Huế,2020-01-07,29,22,10,3,5,7,29,Tốt
36,Huế,2020-01-08,28,25,10,3,5,6,28,Tốt
37,Huế,2020-01-09,31,28,10,5,5,7,31,Tốt
38,Huế,2020-01-10,37,28,10,1,5,8,37,Tốt
39,Huế,2020-01-11,36,22,10,1,5,7,36,Tốt
40,Huế,2020-01-12,31,25,15,1,5,7,31,Tốt
41,Huế,2020-01-13,36,11,14,1,5,8,36,Tốt
42,Huế,2020-01-14,20,14,13,0,5,7,20,Tốt
