địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Tp.Huế,2019-12-02,0.0,18.0,13.0,12.0,5.0,10.0,18.0,Tốt
Tp.Huế,2019-12-03,34.0,19.0,20.0,12.0,4.0,7.0,34.0,Tốt
Tp.Huế,2019-12-04,36.0,17.0,15.0,13.0,5.0,7.0,36.0,Tốt
Tp.Huế,2019-12-05,32.0,8.0,22.0,8.0,5.0,5.0,32.0,Tốt
Tp.Huế,2019-12-06,13.0,35.0,20.0,13.0,5.0,8.0,35.0,Tốt
Tp.Huế,2019-12-07,45.0,45.0,11.0,14.0,4.0,8.0,45.0,Tốt
Tp.Huế,2019-12-08,63.0,47.0,16.0,14.0,5.0,9.0,63.0,Vừa Phải
Tp.Huế,2019-12-09,67.0,54.0,24.0,15.0,6.0,10.0,67.0,Vừa Phải
Tp.Huế,2019-12-10,90.0,37.0,24.0,13.0,4.0,9.0,90.0,Vừa Phải
Tp.Huế,2019-12-11,70.0,50.0,17.0,13.0,5.0,8.0,70.0,Vừa Phải
Tp.Huế,2019-12-12,100.0,46.0,11.0,13.0,5.0,11.0,100.0,Vừa Phải
Tp.Huế,2019-12-13,64.0,40.0,11.0,13.0,5.0,8.0,64.0,Vừa Phải
Tp.Huế,2019-12-14,68.0,27.0,10.0,9.0,4.0,7.0,68.0,Vừa Phải
Tp.Huế,2019-12-15,38.0,23.0,10.0,9.0,4.0,7.0,38.0,Tốt
Tp.Huế,2019-12-16,31.0,30.0,8.0,8.0,4.0,6.0,31.0,Tốt
Tp.Huế,2019-12-17,41.0,21.0,10.0,7.0,4.0,6.0,41.0,Tốt
Tp.Huế,2019-12-18,27.0,20.0,8.0,7.0,5.0,6.0,27.0,Tốt
Tp.Huế,2019-12-19,27.0,19.0,10.0,7.0,5.0,5.0,27.0,Tốt
Tp.Huế,2019-12-20,24.0,20.0,10.0,8.0,4.0,7.0,24.0,Tốt
