,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Tràng Bàng,2021-12-27,0,87,2,1,32,6,87,Vừa Phải
1,Tràng Bàng,2021-12-28,38,60,2,1,33,7,60,Vừa Phải
2,Tràng Bàng,2021-12-29,34,54,2,0,34,4,54,Vừa Phải
3,Tràng Bàng,2021-12-30,26,68,3,2,35,2,68,Vừa Phải
4,Tràng Bàng,2021-12-31,40,65,4,1,35,3,65,Vừa Phải
5,Tràng Bàng,2022-01-01,38,59,3,2,35,7,59,Vừa Phải
6,Tràng Bàng,2022-01-02,33,77,4,3,37,5,77,Vừa Phải
7,Tràng Bàng,2022-01-03,55,68,3,2,39,5,68,Vừa Phải
8,Tràng Bàng,2022-01-04,35,105,5,4,40,7,105,Không tốt cho người nhạy cảm
9,Tràng Bàng,2022-01-05,72,88,3,2,40,4,88,Vừa Phải
10,Tràng Bàng,2022-01-06,46,95,11,4,40,3,95,Vừa Phải
11,Tràng Bàng,2022-01-07,59,85,26,5,41,0,85,Vừa Phải
12,Tràng Bàng,2022-01-08,48,91,26,5,46,0,91,Vừa Phải
13,Tràng Bàng,2022-01-09,53,91,28,5,45,0,91,Vừa Phải
14,Tràng Bàng,2022-01-10,53,114,28,7,50,0,114,Không tốt cho người nhạy cảm
15,Tràng Bàng,2022-01-11,67,239,496,89,182,0,496,Nguy hiểm
16,Tràng Bàng,2022-01-12,211,308,84,186,182,0,308,Nguy hiểm
17,Tràng Bàng,2022-01-13,271,107,34,2,52,0,271,Rất không tốt
18,Tràng Bàng,2022-01-14,71,113,39,2,52,0,113,Không tốt cho người nhạy cảm
19,Tràng Bàng,2022-01-15,74,107,35,2,52,0,107,Không tốt cho người nhạy cảm
20,Tràng Bàng,2022-01-16,69,108,32,1,53,0,108,Không tốt cho người nhạy cảm
21,Tràng Bàng,2022-01-17,65,102,28,2,54,0,102,Không tốt cho người nhạy cảm
22,Tràng Bàng,2022-01-18,63,93,33,0,54,0,93,Vừa Phải
23,Tràng Bàng,2022-01-19,62,123,27,2,56,0,123,Không tốt cho người nhạy cảm
24,Tràng Bàng,2022-01-20,64,121,40,2,57,0,121,Không tốt cho người nhạy cảm
25,Tràng Bàng,2022-01-21,71,125,73,3,57,0,125,Không tốt cho người nhạy cảm
26,Tràng Bàng,2022-01-22,74,90,33,1,57,0,90,Vừa Phải
27,Tràng Bàng,2022-01-23,47,98,28,2,57,0,98,Vừa Phải
28,Tràng Bàng,2022-01-24,50,95,31,2,59,0,95,Vừa Phải
29,Tràng Bàng,2022-01-25,48,99,31,2,61,0,99,Vừa Phải
30,Tràng Bàng,2022-01-26,59,110,31,2,61,0,110,Không tốt cho người nhạy cảm
31,Tràng Bàng,2022-01-27,67,111,26,2,62,0,111,Không tốt cho người nhạy cảm
32,Tràng Bàng,2022-01-28,63,127,24,1,63,0,127,Không tốt cho người nhạy cảm
33,Tràng Bàng,2022-01-29,86,99,27,1,63,0,99,Vừa Phải
34,Tràng Bàng,2022-01-30,59,85,33,0,64,0,85,Vừa Phải
35,Tràng Bàng,2022-01-31,50,87,28,0,65,0,87,Vừa Phải
36,Tràng Bàng,2022-02-01,60,66,21,0,66,0,66,Vừa Phải
37,Tràng Bàng,2022-02-02,30,67,26,0,67,0,67,Vừa Phải
38,Tràng Bàng,2022-02-03,32,42,18,0,67,0,67,Vừa Phải
39,Tràng Bàng,2022-02-04,18,47,20,1,68,0,68,Vừa Phải
40,Tràng Bàng,2022-02-05,23,64,24,2,70,0,70,Vừa Phải
41,Tràng Bàng,2022-02-06,40,74,26,2,72,0,74,Vừa Phải
42,Tràng Bàng,2022-02-07,44,72,27,1,71,0,72,Vừa Phải
43,Tràng Bàng,2022-02-08,40,39,27,2,72,0,72,Vừa Phải
44,Tràng Bàng,2022-02-09,20,80,25,1,74,0,80,Vừa Phải
45,Tràng Bàng,2022-02-10,45,81,27,1,74,0,81,Vừa Phải
46,Tràng Bàng,2022-02-11,48,87,30,2,74,0,87,Vừa Phải
47,Tràng Bàng,2022-02-12,52,94,28,1,75,0,94,Vừa Phải
48,Tràng Bàng,2022-02-13,66,87,29,4,75,0,87,Vừa Phải
49,Tràng Bàng,2022-02-14,52,71,28,0,74,0,74,Vừa Phải
50,Tràng Bàng,2022-02-15,35,77,27,1,75,0,77,Vừa Phải
51,Tràng Bàng,2022-02-16,43,83,22,7,45,0,83,Vừa Phải
52,Tràng Bàng,2022-02-17,48,92,33,12,24,0,92,Vừa Phải
53,Tràng Bàng,2022-02-18,52,78,26,10,24,0,78,Vừa Phải
54,Tràng Bàng,2022-02-19,36,78,29,10,24,0,78,Vừa Phải
55,Tràng Bàng,2022-02-20,44,84,44,10,24,0,84,Vừa Phải
56,Tràng Bàng,2022-02-21,39,80,20,9,25,0,80,Vừa Phải
