date,pm25,pm10,o3,no2,so2,co
27/12/2021,0,51,0,6,2,3
28/12/2021,64,40,0,5,2,3
29/12/2021,49,40,0,5,2,2
30/12/2021,54,53,0,6,2,2
31/12/2021,82,59,0,6,21,4
1/01/2022,98,47,0,5,2,2
2/01/2022,58,78,0,7,3,4
3/01/2022,133,87,0,10,3,4
4/01/2022,155,91,0,12,3,4
5/01/2022,144,79,0,9,2,3
6/01/2022,131,70,0,7,2,3
7/01/2022,120,79,0,8,3,4
8/01/2022,147,30,0,4,2,3
9/01/2022,40,23,0,6,2,3
10/01/2022,32,41,0,4,2,3
11/01/2022,47,68,21,8,4,4
12/01/2022,103,57,0,6,2,1
13/01/2022,83,79,0,7,2,2
14/01/2022,131,96,0,12,3,3
15/01/2022,164,67,0,8,2,2
16/01/2022,117,10,0,3,2,1
17/01/2022,15,37,0,5,2,1
18/01/2022,45,57,0,7,2,1
19/01/2022,81,48,25,7,1,1
20/01/2022,88,53,4,6,26,4
21/01/2022,101,42,0,9,7,4
22/01/2022,74,68,0,8,8,4
23/01/2022,128,28,13,7,6,3
24/01/2022,55,1,0,5,5,2
25/01/2022,1,2,0,10,31,6
26/01/2022,3,4,7,6,8,6
27/01/2022,6,1,0,5,2,1
28/01/2022,1,1,0,3,1,3
29/01/2022,1,0,0,0,0,0
9/02/2022,0,1,0,4,1,1
10/02/2022,1,0,0,3,1,1
11/02/2022,0,0,0,3,1,1
12/02/2022,0,0,0,2,1,1
13/02/2022,1,0,0,2,1,1
14/02/2022,1,0,0,3,1,1
15/02/2022,0,1,0,5,1,1
16/02/2022,2,1,0,8,1,1
17/02/2022,1,0,0,9,1,1
18/02/2022,1,1,2,3,6,2
19/02/2022,1,1,1,1,1,1
20/02/2022,2,1,0,1,1,1
21/02/2022,1,23,0,4,1,1
22/02/2022,21,35,0,6,1,0
23/02/2022,38,52,1,5,8,3
24/02/2022,72,62,2,6,2,2
25/02/2022,103,89,3,8,3,1
26/02/2022,159,106,3,9,4,2
27/02/2022,192,102,1,10,4,2
28/02/2022,180,76,1,14,18,4
1/03/2022,142,80,1,9,5,1
2/03/2022,155,70,5,7,4,1
3/03/2022,124,63,3,10,3,1
4/03/2022,105,56,2,9,2,1
5/03/2022,109,21,3,8,21,11
6/03/2022,38,2,4,4,2,3
7/03/2022,3,1,4,6,3,1
8/03/2022,1,2,3,5,2,1
9/03/2022,3,1,3,5,2,1
10/03/2022,2,3,4,10,18,10
11/03/2022,4,1,2,10,5,1
12/03/2022,1,1,3,9,4,1
13/03/2022,1,1,3,7,4,1
14/03/2022,1,2,4,7,3,2
15/03/2022,3,4,3,13,20,6
16/03/2022,8,1,3,6,4,2
17/03/2022,2,2,23,8,3,2
18/03/2022,2,1,23,15,8,1
19/03/2022,1,2,23,8,2,2
20/03/2022,2,3,23,10,28,10
21/03/2022,6,1,24,5,1,1
22/03/2022,1,1,23,3,1,0
23/03/2022,1,0,23,4,2,1
24/03/2022,1,1,24,8,2,2
25/03/2022,1,42,24,8,18,5
26/03/2022,60,40,23,4,2,1
27/03/2022,51,35,23,4,2,1
28/03/2022,43,70,23,10,3,1
29/03/2022,115,23,23,9,22,6
30/03/2022,38,21,22,5,1,1
31/03/2022,25,14,22,3,1,0
1/04/2022,14,24,23,6,1,1
2/04/2022,26,41,23,7,2,1
3/04/2022,50,53,24,7,4,1
4/04/2022,70,66,24,8,2,2
5/04/2022,94,84,25,8,3,2
6/04/2022,131,72,24,8,2,1
7/04/2022,112,86,25,11,5,2
8/04/2022,128,24,26,17,27,7
9/04/2022,44,1,24,9,6,1
10/04/2022,1,1,24,10,4,1
11/04/2022,1,1,23,9,3,1
