địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Trảng Bàng,27/12/2021,40.0,87.0,2.0,1.0,32.0,6.0,87.0,Vừa Phải
Trảng Bàng,28/12/2021,38.0,60.0,2.0,1.0,33.0,7.0,60.0,Vừa Phải
Trảng Bàng,29/12/2021,34.0,54.0,2.0,0.0,34.0,4.0,54.0,Vừa Phải
Trảng Bàng,30/12/2021,26.0,68.0,3.0,2.0,35.0,2.0,68.0,Vừa Phải
Trảng Bàng,31/12/2021,40.0,65.0,4.0,1.0,35.0,3.0,65.0,Vừa Phải
Trảng Bàng,01/01/2022,38.0,59.0,3.0,2.0,35.0,7.0,59.0,Vừa Phải
Trảng Bàng,02/01/2022,33.0,77.0,4.0,3.0,37.0,5.0,77.0,Vừa Phải
Trảng Bàng,03/01/2022,55.0,68.0,3.0,2.0,39.0,5.0,68.0,Vừa Phải
Trảng Bàng,04/01/2022,35.0,105.0,5.0,4.0,40.0,7.0,105.0,Không tốt cho người nhạy cảm
Trảng Bàng,05/01/2022,72.0,88.0,3.0,2.0,40.0,4.0,88.0,Vừa Phải
Trảng Bàng,06/01/2022,46.0,95.0,11.0,4.0,40.0,3.0,95.0,Vừa Phải
Trảng Bàng,07/01/2022,59.0,85.0,26.0,5.0,41.0,0.0,85.0,Vừa Phải
Trảng Bàng,08/01/2022,48.0,91.0,26.0,5.0,46.0,0.0,91.0,Vừa Phải
Trảng Bàng,09/01/2022,53.0,91.0,28.0,5.0,45.0,0.0,91.0,Vừa Phải
Trảng Bàng,10/01/2022,53.0,114.0,28.0,7.0,50.0,0.0,114.0,Không tốt cho người nhạy cảm
Trảng Bàng,11/01/2022,67.0,239.0,496.0,89.0,182.0,0.0,496.0,Nguy hiểm
Trảng Bàng,12/01/2022,211.0,308.0,84.0,186.0,182.0,0.0,308.0,Nguy hiểm
Trảng Bàng,13/01/2022,271.0,107.0,34.0,2.0,52.0,0.0,271.0,Rất không tốt
Trảng Bàng,14/01/2022,71.0,113.0,39.0,2.0,52.0,0.0,113.0,Không tốt cho người nhạy cảm
Trảng Bàng,15/01/2022,74.0,107.0,35.0,2.0,52.0,0.0,107.0,Không tốt cho người nhạy cảm
Trảng Bàng,16/01/2022,69.0,108.0,32.0,1.0,53.0,0.0,108.0,Không tốt cho người nhạy cảm
Trảng Bàng,17/01/2022,65.0,102.0,28.0,2.0,54.0,0.0,102.0,Không tốt cho người nhạy cảm
Trảng Bàng,18/01/2022,63.0,93.0,33.0,0.0,54.0,0.0,93.0,Vừa Phải
Trảng Bàng,19/01/2022,62.0,123.0,27.0,2.0,56.0,0.0,123.0,Không tốt cho người nhạy cảm
Trảng Bàng,20/01/2022,64.0,121.0,40.0,2.0,57.0,0.0,121.0,Không tốt cho người nhạy cảm
Trảng Bàng,21/01/2022,71.0,125.0,73.0,3.0,57.0,0.0,125.0,Không tốt cho người nhạy cảm
Trảng Bàng,22/01/2022,74.0,90.0,33.0,1.0,57.0,0.0,90.0,Vừa Phải
Trảng Bàng,23/01/2022,47.0,98.0,28.0,2.0,57.0,0.0,98.0,Vừa Phải
Trảng Bàng,24/01/2022,50.0,95.0,31.0,2.0,59.0,0.0,95.0,Vừa Phải
Trảng Bàng,25/01/2022,48.0,99.0,31.0,2.0,61.0,0.0,99.0,Vừa Phải
Trảng Bàng,26/01/2022,59.0,110.0,31.0,2.0,61.0,0.0,110.0,Không tốt cho người nhạy cảm
Trảng Bàng,27/01/2022,67.0,111.0,26.0,2.0,62.0,0.0,111.0,Không tốt cho người nhạy cảm
Trảng Bàng,28/01/2022,63.0,127.0,24.0,1.0,63.0,0.0,127.0,Không tốt cho người nhạy cảm
Trảng Bàng,29/01/2022,86.0,99.0,27.0,1.0,63.0,0.0,99.0,Vừa Phải
Trảng Bàng,30/01/2022,59.0,85.0,33.0,0.0,64.0,0.0,85.0,Vừa Phải
Trảng Bàng,31/01/2022,50.0,87.0,28.0,0.0,65.0,0.0,87.0,Vừa Phải
Trảng Bàng,01/02/2022,60.0,66.0,21.0,0.0,66.0,0.0,66.0,Vừa Phải
Trảng Bàng,02/02/2022,30.0,67.0,26.0,0.0,67.0,0.0,67.0,Vừa Phải
Trảng Bàng,03/02/2022,32.0,42.0,18.0,0.0,67.0,0.0,67.0,Vừa Phải
Trảng Bàng,04/02/2022,18.0,47.0,20.0,1.0,68.0,0.0,68.0,Vừa Phải
Trảng Bàng,05/02/2022,23.0,64.0,24.0,2.0,70.0,0.0,70.0,Vừa Phải
Trảng Bàng,06/02/2022,40.0,74.0,26.0,2.0,72.0,0.0,74.0,Vừa Phải
Trảng Bàng,07/02/2022,44.0,72.0,27.0,1.0,71.0,0.0,72.0,Vừa Phải
Trảng Bàng,08/02/2022,40.0,39.0,27.0,2.0,72.0,0.0,72.0,Vừa Phải
Trảng Bàng,09/02/2022,20.0,80.0,25.0,1.0,74.0,0.0,80.0,Vừa Phải
Trảng Bàng,10/02/2022,45.0,81.0,27.0,1.0,74.0,0.0,81.0,Vừa Phải
Trảng Bàng,11/02/2022,48.0,87.0,30.0,2.0,74.0,0.0,87.0,Vừa Phải
Trảng Bàng,12/02/2022,52.0,94.0,28.0,1.0,75.0,0.0,94.0,Vừa Phải
Trảng Bàng,13/02/2022,66.0,87.0,29.0,4.0,75.0,0.0,87.0,Vừa Phải
Trảng Bàng,14/02/2022,52.0,71.0,28.0,0.0,74.0,0.0,74.0,Vừa Phải
Trảng Bàng,15/02/2022,35.0,77.0,27.0,1.0,75.0,0.0,77.0,Vừa Phải
