địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Tân An,2022-12-01,113.95,127.12,0,0,0,0,127.12,Không tốt cho người nhạy cảm
Tân An,2022-12-02,54.95,59.2,0,0,0,0,59.2,Vừa Phải
Tân An,2022-12-03,106.86,125.33,0,0,0,0,125.33,Không tốt cho người nhạy cảm
Tân An,2022-12-04,31.85,36.15,0,0,0,0,36.15,Tốt
Tân An,2022-12-05,84.88,90.47,0,0,0,0,90.47,Vừa Phải
Tân An,2022-12-06,58.33,64.48,0,0,0,0,64.48,Vừa Phải
Tân An,2022-12-07,53.77,61.17,0,0,0,0,61.17,Vừa Phải
Tân An,2022-12-08,53.37,59.2,0,0,0,0,59.2,Vừa Phải
Tân An,2022-12-09,166.93,161.38,0,0,0,0,166.93,Không tốt
Tân An,2022-12-10,64.18,74.4,0,0,0,0,74.4,Vừa Phải
Tân An,2022-12-11,142.47,775.8,0,0,0,0,775.8,Nguy hiểm
Tân An,2022-12-12,174.0,162.73,0,0,0,0,174.0,Không tốt
Tân An,2023-02-01,136.45,147.97,0,0,0,0,147.97,Không tốt cho người nhạy cảm
Tân An,2023-03-01,58.23,65.63,0,0,0,0,65.63,Vừa Phải
Tân An,2023-04-01,191.33,175.1,0,0,0,0,191.33,Không tốt
Tân An,2023-05-01,148.2,128.6,0,0,0,0,148.2,Không tốt cho người nhạy cảm
Tân An,2023-06-01,69.53,70.93,0,0,0,0,70.93,Vừa Phải
Tân An,2023-07-01,26.13,30.87,0,0,0,0,30.87,Tốt
Tân An,2023-08-01,84.73,90.18,0,0,0,0,90.18,Vừa Phải
Tân An,2023-09-01,250.4,143.83,0,0,0,0,250.4,Rất không tốt
Tân An,2023-10-01,98.5,106.63,0,0,0,0,106.63,Không tốt cho người nhạy cảm
Tân An,2023-11-01,51.63,60.43,0,0,0,0,60.43,Vừa Phải
Tân An,2023-02-02,152.42,151.17,0,0,0,0,152.42,Không tốt
Tân An,2023-03-02,52.53,60.53,0,0,0,0,60.53,Vừa Phải
Tân An,2023-04-02,144.0,124.03,0,0,0,0,144.0,Không tốt cho người nhạy cảm
Tân An,2023-05-02,129.83,138.7,0,0,0,0,138.7,Không tốt cho người nhạy cảm
Tân An,2023-06-02,88.37,92.7,0,0,0,0,92.7,Vừa Phải
Tân An,2023-07-02,131.9,137.47,0,0,0,0,137.47,Không tốt cho người nhạy cảm
Tân An,2023-08-02,32.85,39.53,0,0,0,0,39.53,Tốt
Tân An,2023-09-02,10.56,12.27,0,0,0,0,12.27,Tốt
Tân An,2023-10-02,22.47,26.78,0,0,0,0,26.78,Tốt
Tân An,2023-11-02,70.27,75.4,0,0,0,0,75.4,Vừa Phải
Tân An,2023-02-03,179.2,173.7,0,0,0,0,179.2,Không tốt
Tân An,2023-03-03,144.77,131.27,0,0,0,0,144.77,Không tốt cho người nhạy cảm
Tân An,2023-04-03,196.97,199.4,0,0,0,0,199.4,Không tốt
Tân An,2023-05-03,39.87,46.5,0,0,0,0,46.5,Tốt
Tân An,2023-06-03,204.43,189.23,0,0,0,0,204.43,Rất không tốt
Tân An,2023-07-03,58.83,66.63,0,0,0,0,66.63,Vừa Phải
Tân An,2023-08-03,24.23,29.27,0,0,0,0,29.27,Tốt
Tân An,2023-09-03,89.6,96.23,0,0,0,0,96.23,Vừa Phải
Tân An,2023-10-03,101.18,111.4,0,0,0,0,111.4,Không tốt cho người nhạy cảm
Tân An,2023-11-03,51.87,58.28,0,0,0,0,58.28,Vừa Phải
Tân An,2023-02-04,57.7,64.65,0,0,0,0,64.65,Vừa Phải
Tân An,2023-03-04,57.8,67.1,0,0,0,0,67.1,Vừa Phải
Tân An,2023-04-04,175.46,156.9,0,0,0,0,175.46,Không tốt
Tân An,2023-05-04,142.27,128.6,0,0,0,0,142.27,Không tốt cho người nhạy cảm
Tân An,2023-06-04,80.63,85.97,0,0,0,0,85.97,Vừa Phải
Tân An,2023-07-04,94.4,102.97,0,0,0,0,102.97,Không tốt cho người nhạy cảm
