địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Tân Bình,27/12/2021,0.0,22.0,5.0,4.0,5.0,0.0,22.0,Tốt
Tân Bình,28/12/2021,17.0,22.0,2.0,2.0,4.0,0.0,22.0,Tốt
Tân Bình,29/12/2021,22.0,15.0,4.0,2.0,4.0,0.0,22.0,Tốt
Tân Bình,30/12/2021,17.0,22.0,5.0,2.0,3.0,0.0,22.0,Tốt
Tân Bình,31/12/2021,29.0,13.0,5.0,2.0,5.0,0.0,29.0,Tốt
Tân Bình,01/01/2022,18.0,25.0,14.0,2.0,4.0,0.0,25.0,Tốt
Tân Bình,02/01/2022,27.0,42.0,8.0,4.0,6.0,0.0,42.0,Tốt
Tân Bình,03/01/2022,48.0,26.0,12.0,3.0,4.0,0.0,48.0,Tốt
Tân Bình,04/01/2022,28.0,19.0,10.0,2.0,4.0,0.0,28.0,Tốt
Tân Bình,05/01/2022,19.0,15.0,10.0,2.0,3.0,0.0,19.0,Tốt
Tân Bình,06/01/2022,14.0,22.0,15.0,4.0,5.0,0.0,22.0,Tốt
Tân Bình,07/01/2022,23.0,17.0,14.0,3.0,4.0,0.0,23.0,Tốt
Tân Bình,08/01/2022,19.0,13.0,3.0,3.0,6.0,0.0,19.0,Tốt
Tân Bình,09/01/2022,16.0,25.0,4.0,1.0,4.0,0.0,25.0,Tốt
Tân Bình,10/01/2022,36.0,19.0,7.0,3.0,6.0,0.0,36.0,Tốt
Tân Bình,11/01/2022,16.0,19.0,7.0,3.0,7.0,0.0,19.0,Tốt
Tân Bình,12/01/2022,17.0,14.0,4.0,3.0,10.0,0.0,17.0,Tốt
Tân Bình,13/01/2022,14.0,19.0,3.0,3.0,11.0,0.0,19.0,Tốt
Tân Bình,14/01/2022,25.0,41.0,8.0,4.0,14.0,0.0,41.0,Tốt
Tân Bình,15/01/2022,48.0,13.0,9.0,2.0,14.0,0.0,48.0,Tốt
Tân Bình,16/01/2022,15.0,6.0,80.0,2.0,15.0,0.0,80.0,Vừa Phải
Tân Bình,17/01/2022,5.0,18.0,10.0,2.0,5.0,0.0,18.0,Tốt
Tân Bình,18/01/2022,15.0,13.0,8.0,2.0,8.0,0.0,15.0,Tốt
Tân Bình,19/01/2022,13.0,7.0,3.0,2.0,9.0,0.0,13.0,Tốt
Tân Bình,20/01/2022,8.0,2.0,1.0,3.0,8.0,0.0,8.0,Tốt
Tân Bình,21/01/2022,3.0,0.0,4.0,1.0,2.0,0.0,4.0,Tốt
Tân Bình,22/01/2022,0.0,0.0,6.0,1.0,1.0,0.0,6.0,Tốt
Tân Bình,23/01/2022,0.0,3.0,6.0,1.0,44.0,0.0,44.0,Tốt
Tân Bình,24/01/2022,3.0,1.0,5.0,1.0,11.0,0.0,11.0,Tốt
Tân Bình,25/01/2022,1.0,0.0,5.0,1.0,0.0,0.0,5.0,Tốt
Tân Bình,26/01/2022,0.0,2.0,12.0,1.0,0.0,0.0,12.0,Tốt
Tân Bình,27/01/2022,2.0,7.0,14.0,1.0,0.0,0.0,14.0,Tốt
Tân Bình,28/01/2022,7.0,0.0,10.0,1.0,0.0,0.0,10.0,Tốt
Tân Bình,29/01/2022,0.0,1.0,6.0,2.0,0.0,0.0,6.0,Tốt
Tân Bình,30/01/2022,1.0,2.0,8.0,2.0,0.0,0.0,8.0,Tốt
Tân Bình,31/01/2022,2.0,3.0,9.0,1.0,0.0,0.0,9.0,Tốt
Tân Bình,01/02/2022,4.0,2.0,7.0,1.0,0.0,0.0,7.0,Tốt
Tân Bình,02/02/2022,3.0,3.0,10.0,1.0,0.0,0.0,10.0,Tốt
Tân Bình,03/02/2022,3.0,7.0,11.0,2.0,0.0,0.0,11.0,Tốt
Tân Bình,04/02/2022,8.0,12.0,15.0,2.0,0.0,0.0,15.0,Tốt
Tân Bình,05/02/2022,16.0,14.0,8.0,3.0,0.0,0.0,16.0,Tốt
Tân Bình,06/02/2022,24.0,2.0,9.0,2.0,0.0,0.0,24.0,Tốt
Tân Bình,07/02/2022,3.0,0.0,4.0,2.0,0.0,0.0,4.0,Tốt
Tân Bình,08/02/2022,0.0,4.0,3.0,2.0,0.0,0.0,4.0,Tốt
Tân Bình,09/02/2022,4.0,0.0,2.0,2.0,0.0,0.0,4.0,Tốt
Tân Bình,10/02/2022,0.0,0.0,2.0,2.0,0.0,0.0,2.0,Tốt
Tân Bình,11/02/2022,0.0,0.0,2.0,1.0,0.0,0.0,2.0,Tốt
Tân Bình,12/02/2022,0.0,1.0,5.0,1.0,0.0,0.0,5.0,Tốt
Tân Bình,13/02/2022,1.0,9.0,9.0,3.0,6.0,0.0,9.0,Tốt
Tân Bình,14/02/2022,8.0,6.0,5.0,3.0,3.0,0.0,8.0,Tốt
Tân Bình,15/02/2022,8.0,2.0,3.0,3.0,6.0,0.0,8.0,Tốt
Tân Bình,16/02/2022,3.0,0.0,7.0,3.0,2.0,0.0,7.0,Tốt
Tân Bình,17/02/2022,0.0,0.0,7.0,3.0,1.0,0.0,7.0,Tốt
Tân Bình,18/02/2022,0.0,1.0,9.0,2.0,3.0,0.0,9.0,Tốt
Tân Bình,19/02/2022,1.0,0.0,10.0,2.0,1.0,0.0,10.0,Tốt
