,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Tây Hồ,2016-01-03,73.7,27.22,0.0,20.0,6.0,23.0,77.22,Vừa Phải
1,Tây Hồ,2016-01-04,77.47,31.83,17.0,19.0,6.0,22.0,81.83,Vừa Phải
2,Tây Hồ,2016-01-05,96.5,50.77,23.0,0.0,0.0,0.0,100.77000000000001,Nguy hiểm
3,Tây Hồ,2016-01-06,100.93,57.07,0.0,0.0,0.0,0.0,107.07,Không tốt cho người nhạy cảm
4,Tây Hồ,2016-01-07,139.13,93.25,0.0,0.0,0.0,0.0,143.25,Không tốt cho người nhạy cảm
5,Tây Hồ,2016-01-08,111.33,69.57,0.0,0.0,0.0,0.0,119.57,Không tốt cho người nhạy cảm
6,Tây Hồ,2016-01-09,134.15,92.92,0.0,0.0,0.0,0.0,142.92000000000002,Không tốt cho người nhạy cảm
7,Tây Hồ,2016-01-10,191.68,154.3,0.0,14.0,6.0,13.0,204.3,Rất không tốt
8,Tây Hồ,2016-01-11,365.13,345.08,7.0,16.0,6.0,24.0,395.08,Nguy hiểm
9,Tây Hồ,2016-01-12,138.38,95.4,25.0,14.0,6.0,19.0,145.4,Không tốt cho người nhạy cảm
10,Tây Hồ,2016-01-13,184.77,144.77,13.0,10.0,6.0,18.0,194.77,Không tốt
11,Tây Hồ,2016-01-14,184.7,145.63,11.0,7.0,6.0,9.0,195.63,Không tốt
12,Tây Hồ,2016-01-15,160.5,120.03,11.0,0.0,0.0,0.0,170.03,Không tốt
13,Tây Hồ,2016-01-16,151.5,112.53,0.0,0.0,0.0,0.0,162.53,Không tốt
14,Tây Hồ,2016-01-17,131.03,91.17,0.0,0.0,0.0,0.0,141.17000000000002,Không tốt cho người nhạy cảm
15,Tây Hồ,2016-01-18,270.78,233.17,0.0,3.0,6.0,13.0,283.16999999999996,Rất không tốt
16,Tây Hồ,2016-01-19,222.17,182.0,5.0,0.0,6.0,10.0,232.0,Rất không tốt
17,Tây Hồ,2016-01-20,192.63,150.33,11.0,0.0,6.0,13.0,200.33,Nguy hiểm
18,Tây Hồ,2016-01-21,190.1,150.33,10.0,0.0,6.0,11.0,200.33,Nguy hiểm
19,Tây Hồ,2016-01-22,175.87,133.87,10.0,0.0,6.0,5.0,183.87,Không tốt
20,Tây Hồ,2016-01-23,251.7,212.92,20.0,0.0,6.0,2.0,262.91999999999996,Rất không tốt
21,Tây Hồ,2016-01-24,152.97,111.17,28.0,5.0,6.0,5.0,161.17000000000002,Không tốt
22,Tây Hồ,2016-01-25,282.1,248.72,15.0,0.0,6.0,4.0,298.72,Rất không tốt
23,Tây Hồ,2016-01-26,146.32999999999998,105.0,14.0,1.0,6.0,8.0,155.0,Không tốt
24,Tây Hồ,2016-01-27,134.7,93.43,17.0,0.0,6.0,12.0,143.43,Không tốt cho người nhạy cảm
25,Tây Hồ,2016-01-28,174.0,151.9,14.0,0.0,0.0,0.0,201.9,Rất không tốt
26,Tây Hồ,2016-01-29,175.43,132.05,0.0,0.0,0.0,0.0,182.05,Không tốt
27,Tây Hồ,2016-01-30,206.4,169.57,0.0,0.0,0.0,0.0,219.57,Rất không tốt
28,Tây Hồ,2016-01-31,159.22,116.47,0.0,0.0,0.0,0.0,166.47,Không tốt
29,Tây Hồ,2016-02-01,181.27,142.97,0.0,0.0,0.0,0.0,192.97,Không tốt
30,Tây Hồ,2016-02-02,204.43,167.53,0.0,0.0,0.0,0.0,217.53,Rất không tốt
31,Tây Hồ,2016-02-03,227.7,189.77,0.0,0.0,0.0,0.0,239.77,Rất không tốt
32,Tây Hồ,2016-02-04,189.38,150.63,0.0,0.0,0.0,0.0,200.63,Nguy hiểm
33,Tây Hồ,2016-02-05,168.26999999999998,129.93,0.0,0.0,0.0,0.0,179.93,Không tốt
34,Tây Hồ,2016-02-06,194.13,159.97,0.0,0.0,0.0,0.0,209.97,Rất không tốt
35,Tây Hồ,2016-02-07,142.8,103.53,0.0,0.0,0.0,0.0,153.53,Không tốt
36,Tây Hồ,2016-02-08,132.43,89.1,0.0,0.0,0.0,0.0,139.1,Không tốt cho người nhạy cảm
37,Tây Hồ,2016-02-09,189.27,149.72,0.0,0.0,0.0,0.0,199.72,Không tốt
38,Tây Hồ,2016-02-10,213.37,187.8,0.0,0.0,0.0,0.0,237.8,Rất không tốt
39,Tây Hồ,2016-02-11,194.28,154.8,0.0,0.0,0.0,0.0,204.8,Rất không tốt
40,Tây Hồ,2016-02-12,137.07,94.6,0.0,0.0,0.0,0.0,144.6,Không tốt cho người nhạy cảm
41,Tây Hồ,2016-02-13,142.5,107.1,0.0,0.0,0.0,0.0,157.1,Không tốt
42,Tây Hồ,2016-02-14,146.7,103.17,0.0,0.0,0.0,0.0,153.17000000000002,Không tốt
43,Tây Hồ,2016-02-15,182.86,144.7,0.0,0.0,0.0,0.0,194.7,Không tốt
44,Tây Hồ,2016-02-16,199.83,167.03,0.0,0.0,0.0,0.0,217.03,Rất không tốt
45,Tây Hồ,2016-02-17,142.12,101.33,0.0,0.0,0.0,0.0,151.32999999999998,Không tốt
46,Tây Hồ,2016-02-18,260.27,230.5,0.0,26.0,6.0,14.0,280.5,Rất không tốt
47,Tây Hồ,2016-02-19,186.87,149.26,18.0,31.0,6.0,16.0,199.26,Không tốt
48,Tây Hồ,2016-02-20,281.8,254.9,12.0,0.0,0.0,0.0,304.9,Nguy hiểm
49,Tây Hồ,2016-02-21,102.1,57.42,0.0,25.0,6.0,17.0,107.42,Không tốt cho người nhạy cảm
50,Tây Hồ,2016-02-22,110.57,66.4,16.0,16.0,6.0,10.0,116.4,Không tốt cho người nhạy cảm
51,Tây Hồ,2016-02-23,103.33,55.53,15.0,16.0,6.0,9.0,105.53,Không tốt cho người nhạy cảm
52,Tây Hồ,2016-02-24,277.23,239.73,19.0,12.0,7.0,6.0,289.73,Rất không tốt
53,Tây Hồ,2016-02-25,118.7,73.27,14.0,17.0,6.0,20.0,123.27,Không tốt cho người nhạy cảm
54,Tây Hồ,2016-02-26,83.02000000000001,35.7,12.0,16.0,7.0,14.0,85.7,Vừa Phải
55,Tây Hồ,2016-02-27,134.57,90.23,19.0,22.0,7.0,16.0,140.23000000000002,Không tốt cho người nhạy cảm
56,Tây Hồ,2016-02-28,179.13,141.1,30.0,27.0,7.0,17.0,191.1,Không tốt
57,Tây Hồ,2016-02-29,229.8,205.03,29.0,31.0,7.0,25.0,255.03,Rất không tốt
58,Tây Hồ,2016-03-01,259.83000000000004,240.32,40.0,0.0,0.0,0.0,290.32,Rất không tốt
59,Tây Hồ,2016-03-02,149.92000000000002,107.63,0.0,0.0,0.0,0.0,157.63,Không tốt
60,Tây Hồ,2016-03-03,255.8,237.3,0.0,21.0,7.0,19.0,287.3,Rất không tốt
61,Tây Hồ,2016-03-04,275.1,244.37,2.0,14.0,7.0,25.0,294.37,Rất không tốt
62,Tây Hồ,2016-03-05,220.7,194.73,4.0,13.0,7.0,14.0,244.73,Rất không tốt
63,Tây Hồ,2016-03-06,171.26999999999998,134.38,22.0,9.0,7.0,13.0,184.38,Không tốt
64,Tây Hồ,2016-03-07,170.85,131.57,20.0,6.0,7.0,21.0,181.57,Không tốt
65,Tây Hồ,2016-03-08,292.53,268.13,74.0,11.0,7.0,20.0,318.13,Nguy hiểm
66,Tây Hồ,2016-03-09,226.9,198.67,54.0,14.0,7.0,11.0,248.67,Rất không tốt
67,Tây Hồ,2016-03-10,195.83,162.13,14.0,19.0,7.0,13.0,212.13,Rất không tốt
68,Tây Hồ,2016-03-11,249.08,225.22,19.0,17.0,7.0,16.0,275.22,Rất không tốt
69,Tây Hồ,2016-03-12,293.6,264.77,14.0,14.0,7.0,11.0,314.77,Nguy hiểm
70,Tây Hồ,2016-03-13,393.4,378.43,19.0,23.0,7.0,16.0,428.43,Nguy hiểm
71,Tây Hồ,2016-03-14,133.73000000000002,95.13,16.0,23.0,7.0,19.0,145.13,Không tốt cho người nhạy cảm
72,Tây Hồ,2016-03-15,258.87,232.8,19.0,20.0,7.0,22.0,282.8,Rất không tốt
73,Tây Hồ,2016-03-16,206.8,179.6,18.0,18.0,7.0,21.0,229.6,Rất không tốt
74,Tây Hồ,2016-03-17,329.13,307.23,17.0,12.0,7.0,21.0,357.23,Nguy hiểm
75,Tây Hồ,2016-03-18,234.77,200.45,50.0,10.0,7.0,20.0,250.45,Rất không tốt
76,Tây Hồ,2016-03-19,235.15,206.7,60.0,6.0,7.0,5.0,256.7,Rất không tốt
77,Tây Hồ,2016-03-20,325.67,312.73,4.0,6.0,7.0,16.0,362.73,Nguy hiểm
78,Tây Hồ,2016-03-21,257.15,241.43,52.0,6.0,7.0,24.0,291.43,Rất không tốt
79,Tây Hồ,2016-03-22,162.87,126.22,67.0,7.0,7.0,15.0,176.22,Không tốt
80,Tây Hồ,2016-03-23,247.52,217.3,23.0,0.0,0.0,0.0,267.3,Rất không tốt
81,Tây Hồ,2016-03-24,114.53,73.23,0.0,0.0,0.0,0.0,123.23,Không tốt cho người nhạy cảm
82,Tây Hồ,2016-03-25,138.97,95.83,0.0,0.0,0.0,0.0,145.82999999999998,Không tốt cho người nhạy cảm
83,Tây Hồ,2016-03-26,132.82999999999998,92.93,0.0,0.0,0.0,0.0,142.93,Không tốt cho người nhạy cảm
84,Tây Hồ,2016-03-27,160.86,125.22,0.0,0.0,0.0,0.0,175.22,Không tốt
85,Tây Hồ,2016-03-28,206.13,172.0,0.0,0.0,0.0,0.0,222.0,Rất không tốt
86,Tây Hồ,2016-03-29,273.05,245.72,0.0,0.0,0.0,0.0,295.72,Rất không tốt
87,Tây Hồ,2016-03-30,216.67,182.13,0.0,18.0,0.0,26.0,232.13,Rất không tốt
88,Tây Hồ,2016-03-31,185.47,147.75,3.0,12.0,0.0,24.0,197.75,Không tốt
89,Tây Hồ,2016-04-01,174.75,136.95,15.0,8.0,0.0,16.0,186.95,Không tốt
90,Tây Hồ,2016-04-02,224.07,216.53,38.0,7.0,0.0,12.0,266.53,Rất không tốt
91,Tây Hồ,2016-04-03,125.1,84.8,26.0,7.0,0.0,17.0,134.8,Không tốt cho người nhạy cảm
92,Tây Hồ,2016-04-04,173.93,136.57,25.0,6.0,0.0,14.0,186.57,Không tốt
93,Tây Hồ,2016-04-05,211.53,172.1,28.0,7.0,0.0,14.0,222.1,Rất không tốt
94,Tây Hồ,2016-04-06,256.27,220.83,50.0,5.0,0.0,19.0,270.83000000000004,Rất không tốt
95,Tây Hồ,2016-04-07,229.37,196.03,47.0,9.0,0.0,23.0,246.03,Rất không tốt
96,Tây Hồ,2016-04-08,267.07,229.61,46.0,6.0,0.0,9.0,279.61,Rất không tốt
97,Tây Hồ,2016-04-09,200.23,170.88,17.0,0.0,0.0,0.0,220.88,Rất không tốt
98,Tây Hồ,2016-04-10,141.32999999999998,100.55,0.0,0.0,0.0,0.0,150.55,Nguy hiểm
99,Tây Hồ,2016-04-12,205.83,171.12,0.0,22.0,0.0,26.0,221.12,Rất không tốt
100,Tây Hồ,2016-04-13,126.3,84.9,32.0,17.0,0.0,24.0,134.9,Không tốt cho người nhạy cảm
101,Tây Hồ,2016-04-14,154.23000000000002,119.35,101.0,12.0,0.0,21.0,169.35,Không tốt
102,Tây Hồ,2016-04-15,209.5,185.43,118.0,0.0,0.0,0.0,235.43,Rất không tốt
103,Tây Hồ,2016-04-16,244.97,221.57,0.0,0.0,0.0,0.0,271.57,Rất không tốt
104,Tây Hồ,2016-04-17,216.58,180.4,0.0,0.0,0.0,0.0,230.4,Rất không tốt
105,Tây Hồ,2016-04-18,427.47,426.27,0.0,11.0,0.0,18.0,476.27,Nguy hiểm
106,Tây Hồ,2016-04-19,230.83,196.37,0.0,11.0,0.0,11.0,246.37,Rất không tốt
107,Tây Hồ,2016-04-20,228.97,193.77,0.0,10.0,0.0,24.0,243.77,Rất không tốt
108,Tây Hồ,2016-04-21,173.13,132.6,29.0,15.0,0.0,26.0,182.6,Không tốt
109,Tây Hồ,2016-04-22,190.5,152.13,36.0,0.0,0.0,0.0,202.13,Rất không tốt
110,Tây Hồ,2016-04-23,148.0,109.0,0.0,0.0,0.0,0.0,159.0,Không tốt
111,Tây Hồ,2016-04-24,169.17000000000002,130.42,0.0,13.0,0.0,26.0,180.42,Không tốt
112,Tây Hồ,2016-04-25,169.26999999999998,130.9,74.0,10.0,0.0,27.0,180.9,Không tốt
113,Tây Hồ,2016-04-26,150.0,110.93,97.0,8.0,0.0,31.0,160.93,Không tốt
114,Tây Hồ,2016-04-27,210.17,179.57,161.0,14.0,0.0,31.0,229.57,Rất không tốt
115,Tây Hồ,2016-04-28,208.35,171.68,114.0,11.0,0.0,43.0,221.68,Rất không tốt
116,Tây Hồ,2016-04-29,179.53,142.57,95.0,9.0,0.0,31.0,192.57,Không tốt
117,Tây Hồ,2016-04-30,260.78,233.33,96.0,8.0,0.0,21.0,283.33000000000004,Rất không tốt
118,Tây Hồ,2016-05-01,204.47,166.15,66.0,3.0,0.0,8.0,216.15,Rất không tốt
119,Tây Hồ,2016-05-02,241.9,210.95,151.0,0.0,0.0,0.0,260.95,Rất không tốt
120,Tây Hồ,2016-05-03,290.37,267.28,0.0,0.0,0.0,0.0,317.28,Nguy hiểm
121,Tây Hồ,2016-05-04,132.0,90.67,0.0,0.0,0.0,0.0,140.67000000000002,Không tốt cho người nhạy cảm
122,Tây Hồ,2016-05-05,99.27000000000001,56.03,0.0,0.0,0.0,0.0,106.03,Không tốt cho người nhạy cảm
123,Tây Hồ,2016-05-06,207.1,166.97,0.0,0.0,0.0,0.0,216.97,Rất không tốt
124,Tây Hồ,2016-05-07,119.27,74.07,0.0,0.0,0.0,0.0,124.07,Không tốt cho người nhạy cảm
125,Tây Hồ,2016-05-08,95.72999999999999,53.0,0.0,8.0,0.0,28.0,103.0,Không tốt cho người nhạy cảm
126,Tây Hồ,2016-05-09,102.72999999999999,62.17,122.0,10.0,0.0,25.0,172.0,Không tốt
127,Tây Hồ,2016-05-10,99.72999999999999,58.95,167.0,13.0,0.0,30.0,217.0,Rất không tốt
128,Tây Hồ,2016-05-11,114.53,73.1,116.0,14.0,12.0,33.0,166.0,Không tốt
129,Tây Hồ,2016-05-12,126.9,87.58,131.0,12.0,12.0,23.0,181.0,Không tốt
130,Tây Hồ,2016-05-13,111.2,69.6,159.0,6.0,11.0,21.0,209.0,Rất không tốt
131,Tây Hồ,2016-05-14,142.13,103.05,128.0,5.0,11.0,18.0,178.0,Không tốt
132,Tây Hồ,2016-05-15,240.58,205.97,145.0,9.0,11.0,15.0,255.97,Rất không tốt
133,Tây Hồ,2016-05-16,201.93,167.87,52.0,12.0,11.0,25.0,217.87,Rất không tốt
134,Tây Hồ,2016-05-17,153.81,114.1,43.0,9.0,11.0,27.0,164.1,Không tốt
135,Tây Hồ,2016-05-18,217.27,178.07,76.0,6.0,11.0,26.0,228.07,Rất không tốt
136,Tây Hồ,2016-05-19,107.03,66.35,166.0,7.0,11.0,21.0,216.0,Rất không tốt
137,Tây Hồ,2016-05-20,102.8,62.03,159.0,6.0,11.0,17.0,209.0,Rất không tốt
138,Tây Hồ,2016-05-21,127.1,89.77,136.0,8.0,11.0,30.0,186.0,Không tốt
139,Tây Hồ,2016-05-22,255.5,244.85,111.0,9.0,11.0,37.0,294.85,Rất không tốt
140,Tây Hồ,2016-05-23,177.76999999999998,145.8,94.0,4.0,11.0,27.0,195.8,Không tốt
141,Tây Hồ,2016-05-24,218.43,192.25,131.0,5.0,11.0,32.0,242.25,Rất không tốt
142,Tây Hồ,2016-05-25,181.83,144.83,133.0,2.0,11.0,22.0,194.83,Không tốt
143,Tây Hồ,2016-05-26,217.87,186.8,155.0,4.0,11.0,34.0,236.8,Rất không tốt
144,Tây Hồ,2016-05-27,371.07,353.73,156.0,6.0,11.0,25.0,403.73,Nguy hiểm
145,Tây Hồ,2016-05-28,192.0,153.27,146.0,4.0,11.0,26.0,203.27,Rất không tốt
146,Tây Hồ,2016-05-29,144.7,102.73,150.0,5.0,11.0,36.0,200.0,Không tốt
147,Tây Hồ,2016-05-30,193.0,150.83,116.0,5.0,11.0,22.0,200.83,Nguy hiểm
148,Tây Hồ,2016-05-31,148.82999999999998,111.07,83.0,4.0,11.0,19.0,161.07,Không tốt
149,Tây Hồ,2016-06-01,160.87,123.17,62.0,5.0,11.0,20.0,173.17000000000002,Không tốt
150,Tây Hồ,2016-06-02,218.25,181.27,45.0,5.0,12.0,20.0,231.27,Rất không tốt
151,Tây Hồ,2016-06-03,221.67,191.2,36.0,5.0,11.0,25.0,241.2,Rất không tốt
152,Tây Hồ,2016-06-04,149.73000000000002,111.8,33.0,0.0,0.0,0.0,161.8,Không tốt
153,Tây Hồ,2016-06-05,140.45,102.9,0.0,0.0,0.0,0.0,152.9,Không tốt
154,Tây Hồ,2016-06-06,206.17,166.7,0.0,15.0,12.0,29.0,216.7,Rất không tốt
155,Tây Hồ,2016-06-07,141.5,102.93,22.0,0.0,0.0,0.0,152.93,Không tốt
156,Tây Hồ,2016-06-08,157.35,120.53,0.0,0.0,0.0,0.0,170.53,Không tốt
157,Tây Hồ,2016-06-09,135.93,98.6,0.0,0.0,0.0,0.0,148.6,Không tốt cho người nhạy cảm
158,Tây Hồ,2016-06-10,91.5,48.7,0.0,0.0,0.0,0.0,98.7,Vừa Phải
159,Tây Hồ,2016-06-11,128.8,87.37,0.0,0.0,0.0,0.0,137.37,Không tốt cho người nhạy cảm
160,Tây Hồ,2016-06-12,105.27000000000001,65.03,0.0,0.0,0.0,0.0,115.03,Không tốt cho người nhạy cảm
161,Tây Hồ,2016-06-13,130.97,89.2,0.0,0.0,0.0,0.0,139.2,Không tốt cho người nhạy cảm
162,Tây Hồ,2016-06-14,167.93,130.16,0.0,0.0,0.0,0.0,180.16,Không tốt
163,Tây Hồ,2016-06-15,267.0,239.25,0.0,0.0,0.0,0.0,289.25,Rất không tốt
164,Tây Hồ,2016-06-16,139.6,96.77,0.0,0.0,0.0,0.0,146.76999999999998,Không tốt cho người nhạy cảm
165,Tây Hồ,2016-06-17,158.92000000000002,118.5,0.0,0.0,0.0,0.0,168.5,Không tốt
166,Tây Hồ,2016-06-18,126.67,89.3,0.0,0.0,0.0,0.0,139.3,Không tốt cho người nhạy cảm
167,Tây Hồ,2016-06-19,125.2,83.37,0.0,0.0,0.0,0.0,133.37,Không tốt cho người nhạy cảm
168,Tây Hồ,2016-06-20,125.33,84.07,0.0,0.0,0.0,0.0,134.07,Không tốt cho người nhạy cảm
169,Tây Hồ,2016-06-21,99.93,56.72,0.0,4.0,13.0,24.0,106.72,Không tốt cho người nhạy cảm
170,Tây Hồ,2016-06-22,101.03,59.73,20.0,5.0,13.0,28.0,109.72999999999999,Không tốt cho người nhạy cảm
171,Tây Hồ,2016-06-23,139.7,98.13,33.0,7.0,13.0,27.0,148.13,Không tốt cho người nhạy cảm
172,Tây Hồ,2016-06-24,231.93,201.53,23.0,9.0,13.0,26.0,251.53,Rất không tốt
173,Tây Hồ,2016-06-25,155.35,115.07,23.0,9.0,13.0,18.0,165.07,Không tốt
174,Tây Hồ,2016-06-26,122.28,82.43,21.0,8.0,13.0,26.0,132.43,Không tốt cho người nhạy cảm
175,Tây Hồ,2016-06-27,171.26999999999998,132.95,25.0,8.0,13.0,26.0,182.95,Không tốt
176,Tây Hồ,2016-06-28,120.23,78.3,26.0,3.0,13.0,28.0,128.3,Không tốt cho người nhạy cảm
177,Tây Hồ,2016-06-29,151.82999999999998,111.9,8.0,2.0,13.0,36.0,161.9,Không tốt
178,Tây Hồ,2016-06-30,157.32999999999998,116.03,8.0,2.0,13.0,18.0,166.03,Không tốt
179,Tây Hồ,2016-07-01,138.87,95.6,8.0,3.0,13.0,17.0,145.6,Không tốt cho người nhạy cảm
