date, pm25, pm10, o3, no2, so2, co
2023/4/20, 5, 14, , 3, 5, 5
2023/4/21, 4, 12, , 4, 5, 4
2023/4/22, 4, 10, , 3, 6, 4
2023/4/23, 2, 8, , 2, 6, 3
2023/4/24, 1, 7, , 3, 6, 3
2023/4/25, 1, 6, , 4, 7, 3
2023/4/26, 2, 6, , 3, 7, 3
2023/4/27, 2, 6, , 3, 7, 3
2023/4/28, 1, 6, , 3, 6, 3
2023/4/29, 1, 5, , 3, 7, 3
2023/4/30, 1, 5, , 2, 6, 2
2023/5/1, 1, 5, , 3, 6, 3
2023/5/2, 1, 4, , 2, 6, 3
2022/10/1, 1, 7, , 3, 1, 4
2022/10/2, 1, 7, , 3, 1, 5
2022/10/3, 1, 7, , 3, , 4
2022/10/12, 1, 6, , 2, 1, 4
2022/10/13, 1, 7, , 3, 1, 4
2022/10/14, 1, 6, , 2, 1, 4
2022/10/15, 1, 6, , 2, 1, 4
2022/10/16, 1, 6, , 2, 1, 4
2022/10/17, 1, 7, , 3, 1, 6
2022/10/18, 1, 7, , 5, 1, 6
2022/10/19, 1, 7, , 4, 1, 6
2022/10/20, 1, 7, , 3, 1, 5
2022/10/21, 1, 6, , 3, 1, 4
2022/10/24, 1, 6, , 4, 3, 5
2022/10/26, 1, 6, , 3, 1, 3
2022/10/28, 1, 7, , 2, 1, 3
2022/10/29, 1, 6, , 3, 1, 3
2022/10/30, 1, 6, , 3, 1, 4
2022/10/31, 1, 7, , 3, 1, 4
2022/11/1, 1, 7, , 3, 1, 5
2022/11/2, 1, 7, , 5, 1, 6
2022/11/3, 1, 7, , 4, 1, 5
2022/11/4, 1, 4, , 3, 1, 4
2022/11/7, 1, 5, , 4, 2, 6
2022/11/8, 1, 4, , 3, 1, 4
2022/11/9, 1, 4, , 3, 1, 4
2022/11/10, 1, 4, , 4, 5, 5
2022/11/12, 1, 3, , 2, , 4
2022/11/23, 1, 4, , 9, 1, 6
2022/11/25, 1, 3, , 6, 1, 5
2022/11/28, 1, 3, , 8, 1, 5
2022/11/29, 1, 4, , 5, 1, 5
2022/12/2, 1, 3, , 5, 1, 4
2022/12/8, 1, 4, , 6, , 3
2022/7/1, 2, 9, , 9, 1, 4
2022/7/2, 2, 5, , 6, 11, 20
2022/7/3, 1, , , , 17, 34
2022/7/4, 1, , , , 19, 35
2022/7/6, 3, 11, , 7, , 4
2022/7/7, 3, 11, , 6, 1, 4
2022/7/8, 2, 10, , 4, 1, 4
2022/7/9, 2, 8, , 4, 1, 3
2022/7/10, 1, 8, , 5, 1, 3
2022/7/11, 1, 8, , 7, 1, 4
2022/7/12, 1, 10, , 6, 1, 4
2022/7/13, 2, 12, , 6, 2, 4
2022/7/14, 3, 13, , 9, 1, 5
2022/7/15, 3, 11, , 8, 2, 4
2022/7/16, 3, 11, , 6, 2, 4
2022/7/17, 2, 9, , 5, 2, 3
2022/7/18, 2, 10, , 6, 2, 4
2022/7/19, 2, 9, , 9, 2, 4
2022/7/20, 2, 9, , 13, 2, 6
2022/7/21, 2, 9, , 7, 1, 4
2022/7/22, 1, 11, , 9, 2, 4
2022/7/23, 3, 10, , 7, 2, 4
2022/7/24, 2, 9, , 6, 2, 4
2022/7/25, 2, 9, , 9, 1, 4
2022/7/26, 1, 8, , 6, 1, 4
2022/7/27, 1, 8, , 7, 2, 4
2022/7/28, 1, 10, , 7, 1, 4
2022/7/29, 2, 10, , 6, 2, 4
2022/7/30, 2, 9, , 5, 1, 3
2022/7/31, 2, 8, , 11, 2, 5
2022/8/1, 1, 11, , 13, 2, 6
2022/8/2, 2, 7, , 5, 1, 3
2022/8/3, 1, 4, , 5, 1, 3
2022/8/4, 1, 6, , 6, 1, 4
2022/8/5, 1, 6, , 7, 1, 4
2022/8/6, 1, 7, , 4, 1, 3
2022/8/7, 1, 8, , 7, 1, 3
2022/8/8, 2, 7, , 5, 1, 3
2022/8/9, 1, 7, , 7, 1, 4
2022/8/10, 2, 9, , 5, 1, 4
2022/8/11, 2, 17, , 2, 2, 6
2022/8/12, 5, 13, , 2, , 4
2022/8/13, 3, 12, , 1, , 5
2022/8/14, 2, 12, , 2, , 5
2022/8/15, 2, 10, , 1, , 4
2022/8/16, 1, 10, , 2, , 5
2022/8/17, 2, 10, , 2, 20, 4
2022/8/18, 2, 10, , 2, , 4
2022/8/19, 1, 10, , 2, 1, 5
2022/8/20, 2, 10, , 3, , 3
2022/8/21, 1, , , , , 
2022/9/4, 1, 3, , 2, , 4
2022/9/5, 1, 5, , 3, , 5
2022/9/6, 1, 7, , 1, , 5
2022/9/7, 1, 8, , 2, , 4
2022/9/8, 1, 9, , 2, 39, 5
2022/9/9, 1, 8, , 3, , 4
2022/9/10, 1, 7, , 2, , 3
2022/9/11, 1, 7, , 3, 1, 3
2022/9/12, 1, 8, , 3, 1, 4
2022/9/13, 1, 8, , 3, , 5
2022/9/14, 1, 8, , 3, 1, 4
2022/9/15, 1, 8, , 3, , 4
2022/9/16, 1, 9, , 3, 1, 4
2022/9/17, 1, , , , , 
2022/9/19, 1, 7, , 3, 1, 4
2022/9/20, 1, 7, , 3, 1, 5
2022/9/21, 1, 7, , 3, 1, 6
2022/9/22, 1, 8, , 3, 1, 4
2022/9/23, 1, 7, , 3, 1, 6
2022/9/24, 1, 7, , 3, 1, 5
2022/9/25, 1, 6, , 3, 1, 4
2022/9/29, 1, 7, , 3, 1, 4
2022/9/30, 1, 7, , 3, 1, 4
2022/4/1, 1, 12, 23, 4, 39, 3
2022/4/2, 3, 10, 22, 3, 38, 2
2022/4/3, 1, 9, 24, 3, 39, 2
2022/4/4, 1, 10, 19, 4, 41, 2
2022/4/5, 1, 9, 19, 5, 45, 2
2022/4/6, 2, 16, 11, 8, 43, 4
2022/4/7, 6, 14, 2, 5, 45, 3
2022/4/8, 5, 18, 3, 8, 44, 4
2022/4/9, 7, 19, 1, 7, 46, 4
2022/4/10, 8, 16, 1, 6, 45, 4
2022/4/11, 5, 15, 1, 6, 47, 5
2022/4/12, 5, 16, 1, 9, 46, 5
2022/4/13, 6, 13, 8, 5, 47, 4
2022/4/14, 5, 14, 19, 8, 45, 5
2022/4/15, 4, 13, 4, 6, 46, 5
2022/4/16, 4, 13, 2, 6, 45, 4
2022/4/17, 3, 14, 2, 6, 46, 4
2022/4/18, 4, 19, 2, 6, 24, 7
2022/4/19, 8, 15, , 4, 2, 1
2022/4/20, 6, 15, , 7, 2, 2
2022/4/21, 5, 14, , 6, 4, 2
2022/4/22, 4, 13, , 5, 3, 2
2022/4/23, 4, 11, , 6, 5, 2
2022/4/24, 3, 13, , 5, 4, 3
2022/4/25, 3, 11, , 4, 6, 4
2022/4/26, 2, 16, , 8, 5, 5
2022/4/27, 5, 15, , 7, 6, 1
2022/4/28, 3, 14, , 5, 4, 1
2022/4/29, 1, 11, , 4, 5, 1
2022/4/30, 1, 11, , 3, 4, 2
2022/5/1, 1, 11, , 4, 6, 1
2022/5/2, 1, 12, , 3, 5, 2
2022/5/3, 1, 10, , 1, 5, 2
2022/5/4, 1, 10, , 5, 4, 1
2022/5/5, 1, 12, , 5, 7, 2
2022/5/6, 1, 16, , 5, 6, 1
2022/5/7, 3, 15, , 5, 7, 3
2022/5/8, 2, 17, , 6, 6, 4
2022/5/9, 3, 14, , 7, 9, 3
2022/5/10, 3, 16, , 7, 7, 3
2022/5/11, 4, 12, , 5, 9, 3
2022/5/12, 2, 15, , 4, 9, 2
2022/5/13, 3, 17, , 5, 12, 2
2022/5/14, 4, 17, , 3, 9, 2
2022/5/15, 4, 14, , 4, 11, 3
2022/5/16, 3, 10, , 4, 4, 3
2022/5/17, 1, 9, , 10, 2, 7
2022/5/18, 1, 10, , 8, 1, 6
2022/5/19, 2, 8, , 6, 1, 5
2022/5/20, 1, 10, , 5, 1, 4
2022/5/21, 1, 10, , 5, 1, 5
2022/5/22, 1, 10, , 4, , 4
2022/5/23, 1, 12, , 4, 1, 5
2022/5/24, 2, 11, , 4, , 4
2022/5/25, 2, 9, , 6, , 4
2022/5/26, 1, 10, , 5, , 5
2022/5/27, 1, 9, , 6, , 5
2022/5/28, 1, 11, , 5, , 5
2022/5/29, 1, 10, , 5, 16, 5
2022/5/30, 2, 12, , 7, 3, 6
2022/5/31, 3, 9, , 7, 1, 5
2022/6/1, 2, 8, , 11, 1, 5
2022/6/2, 1, 5, , 11, 1, 6
2022/6/3, 1, 7, , 10, 1, 5
2022/6/4, 1, 4, , 8, 1, 5
2022/6/5, 1, 6, , 5, 1, 4
2022/6/6, 1, 4, , 6, 1, 4
2022/6/7, 2, 6, , 5, 1, 4
2022/6/8, 1, 4, , 7, 1, 5
2022/6/9, 1, 7, , 6, 1, 4
2022/6/10, 1, 11, , 6, 1, 4
2022/6/11, 3, 10, , 8, 1, 4
2022/6/12, 2, 11, , 9, 1, 5
2022/6/13, 4, 14, , 9, , 5
2022/6/14, 4, 9, , 8, , 5
2022/6/15, 2, 12, , 10, 1, 5
2022/6/16, 3, 9, , 8, 1, 5
2022/6/17, 2, 12, , 8, 1, 4
2022/6/18, 3, 8, , 3, 1, 2
2022/6/19, 2, , , , , 
2022/6/21, 2, 10, , 12, 1, 5
2022/6/22, 3, 8, , 11, 1, 5
2022/6/23, 3, 8, , 9, 1, 4
2022/6/24, 1, 7, , 9, 1, 4
2022/6/25, 3, 8, , 6, 1, 3
2022/6/26, 2, 6, , 7, 1, 4
2022/6/27, 2, 9, , 7, 1, 4
2022/6/28, 3, 7, , 7, 1, 4
2022/6/29, 2, 9, , 7, 1, 4
2022/6/30, 2, 7, , 9, 1, 4
2022/1/3, 6, 7, , 7, 16, 7
2022/1/4, 5, 19, , 4, 22, 7
2022/1/5, 9, 10, , 6, 13, 8
2022/1/6, 7, 21, 31, 4, 2, 4
2022/1/7, 10, 20, 21, 6, 3, 4
2022/1/8, 7, 21, 26, 4, 3, 4
2022/1/9, 7, 20, 27, 5, 3, 4
2022/1/10, 7, 21, 26, 5, 3, 4
2022/1/11, 8, 158, 500, 95, 63, 128
2022/1/12, 127, 221, 224, 90, 59, 126
2022/1/13, 196, 20, 30, 7, 3, 5
2022/1/14, 7, 26, 38, 7, 3, 5
2022/1/15, 12, 22, 35, 6, 3, 4
2022/1/16, 9, 24, 26, 8, 3, 6
2022/1/17, 13, 20, 27, 8, 3, 5
2022/1/18, 10, 19, 24, 4, 3, 3
2022/1/19, 7, 21, 24, 7, 3, 5
2022/1/20, 8, 22, 39, 6, 3, 5
2022/1/21, 10, 19, 36, 5, 3, 5
2022/1/22, 8, 20, 27, 6, 3, 4
2022/1/23, 8, 18, 30, 7, 3, 5
2022/1/24, 7, 17, 25, 5, 3, 4
2022/1/25, 6, 17, 29, 4, 3, 4
2022/1/26, 7, 22, 29, 6, 3, 5
2022/1/27, 12, 19, 27, 6, 3, 5
2022/1/28, 8, 21, 28, 6, 3, 6
2022/1/29, 8, 19, 15, 2, 2, 4
2022/1/30, 9, , , , , 
2022/2/3, 6, 18, 29, 3, 4, 3
2022/2/4, 8, 16, 22, 3, 4, 3
2022/2/5, 5, 14, 27, 2, 6, 3
2022/2/6, 4, 11, 17, 3, 5, 4
2022/2/7, 2, 10, 20, 3, 6, 3
2022/2/8, 1, 14, 24, 4, 6, 3
2022/2/9, 4, 14, 22, 3, 8, 4
2022/2/10, 4, 17, 28, 2, 8, 3
2022/2/11, 7, 15, 24, 3, 9, 4
2022/2/12, 5, 20, 26, 4, 15, 4
2022/2/13, 6, 16, 15, 5, 42, 8
2022/2/14, 6, 14, 27, 3, 28, 3
2022/2/15, 4, 12, 18, 5, 38, 7
2022/2/16, 3, 16, 26, 4, 24, 4
2022/2/17, 6, 17, 36, 6, 23, 4
2022/2/18, 7, 14, 25, 4, 24, 3
2022/2/19, 4, 12, 22, 5, 38, 6
2022/2/20, 4, 14, 29, 3, 31, 4
2022/2/21, 5, 10, 18, 3, 43, 7
2022/2/22, 3, 12, 23, 3, 33, 4
2022/2/23, 3, 10, 22, 2, 31, 3
2022/2/24, 1, 9, 23, 2, 32, 2
2022/2/25, 1, 12, 25, 3, 31, 3
2022/2/26, 3, 11, 26, 3, 32, 2
2022/2/27, 2, 15, 24, 4, 31, 3
2022/2/28, 3, 17, 32, 4, 33, 3
2022/3/1, 6, 16, 24, 4, 44, 6
2022/3/2, 6, 13, 27, 3, 34, 3
2022/3/3, 4, 18, 29, 3, 33, 3
2022/3/4, 7, 15, 28, 2, 34, 3
2022/3/5, 5, 15, 24, 3, 33, 2
2022/3/6, 5, 16, 24, 4, 34, 3
2022/3/7, 5, 17, 26, 4, 33, 3
2022/3/8, 4, 19, 26, 3, 34, 3
2022/3/9, 8, 24, 31, 4, 34, 3
2022/3/10, 9, 21, 34, 5, 36, 4
2022/3/11, 9, 21, 29, 6, 35, 4
2022/3/12, 9, 19, 39, 5, 37, 5
2022/3/13, 11, 14, 34, 3, 36, 3
2022/3/14, 5, 13, 36, 3, 38, 3
2022/3/15, 4, 15, 26, 3, 37, 3
2022/3/16, 5, 17, 33, 6, 37, 4
2022/3/17, 8, 15, 22, 3, 37, 3
2022/3/18, 5, 12, 37, 3, 38, 3
2022/3/19, 3, 14, 21, 4, 37, 3
2022/3/20, 3, 11, 23, 3, 38, 3
2022/3/21, 2, 13, 23, 3, 37, 3
2022/3/22, 3, 13, 30, 4, 38, 4
2022/3/23, 2, 12, 24, 2, 37, 3
2022/3/24, 2, 12, 21, 4, 38, 3
2022/3/25, 3, 15, 20, 6, 37, 4
2022/3/26, 5, 11, 21, 2, 38, 2
2022/3/27, 2, 12, 25, 3, 37, 3
2022/3/28, 2, 11, 24, 2, 38, 2
2022/3/29, 2, 11, 15, 2, 38, 2
2022/3/30, 2, 10, 20, 3, 39, 2
2022/3/31, 1, 11, 26, 4, 38, 4
2021/12/28, 4, 8, , 3, 16, 5
2021/12/29, 2, 9, , 3, 23, 5
2021/12/30, 3, 8, , 4, 16, 5
2021/12/31, 3, 11, , 3, 33, 6
2022/1/1, 4, 8, , 3, 20, 6
2022/1/2, 4, 13, , 4, 33, 6
2023/11/1, , 4, , 3, 4, 2
2023/11/2, , 5, , 3, 5, 3
2023/11/3, , 5, , 2, 5, 2
2023/11/4, , 5, , 2, 6, 1
2023/11/5, , 5, , 1, 5, 3
2023/11/6, , 5, , 3, 6, 2
2023/11/7, , 5, , 2, 5, 2
2023/11/8, , 5, , 2, 5, 2
2023/11/9, , 5, , 2, 5, 2
2023/11/10, , 5, , 2, 6, 2
2023/11/11, , 5, , 2, 4, 1
2023/11/12, , 6, , 2, 5, 2
