địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Từ Sơn,20/06/2020,0.0,27.0,37.0,2.0,10.0,1.0,37.0,Tốt
Từ Sơn,21/06/2020,43.0,25.0,32.0,2.0,10.0,1.0,43.0,Tốt
Từ Sơn,22/06/2020,40.0,28.0,72.0,2.0,14.0,2.0,72.0,Vừa Phải
Từ Sơn,23/06/2020,43.0,23.0,39.0,3.0,17.0,2.0,43.0,Tốt
Từ Sơn,24/06/2020,34.0,24.0,31.0,3.0,11.0,2.0,34.0,Tốt
Từ Sơn,25/06/2020,39.0,26.0,30.0,3.0,15.0,2.0,39.0,Tốt
Từ Sơn,26/06/2020,43.0,0.0,43.0,2.0,15.0,1.0,43.0,Tốt
Từ Sơn,27/06/2020,0.0,0.0,41.0,2.0,14.0,1.0,41.0,Tốt
Từ Sơn,28/06/2020,0.0,0.0,37.0,2.0,11.0,1.0,37.0,Tốt
Từ Sơn,29/06/2020,0.0,0.0,50.0,2.0,11.0,1.0,50.0,Tốt
Từ Sơn,30/06/2020,0.0,0.0,34.0,3.0,11.0,2.0,34.0,Tốt
Từ Sơn,01/07/2020,0.0,0.0,31.0,3.0,11.0,2.0,31.0,Tốt
Từ Sơn,02/07/2020,0.0,0.0,29.0,2.0,11.0,1.0,29.0,Tốt
Từ Sơn,03/07/2020,0.0,0.0,29.0,2.0,8.0,1.0,29.0,Tốt
Từ Sơn,04/07/2020,0.0,0.0,28.0,2.0,10.0,2.0,28.0,Tốt
Từ Sơn,05/07/2020,0.0,0.0,28.0,2.0,10.0,2.0,28.0,Tốt
Từ Sơn,06/07/2020,0.0,0.0,29.0,2.0,14.0,1.0,29.0,Tốt
Từ Sơn,07/07/2020,0.0,0.0,33.0,2.0,13.0,2.0,33.0,Tốt
Từ Sơn,08/07/2020,0.0,0.0,36.0,2.0,14.0,3.0,36.0,Tốt
Từ Sơn,09/07/2020,0.0,0.0,22.0,3.0,15.0,2.0,22.0,Tốt
Từ Sơn,10/07/2020,0.0,0.0,20.0,3.0,14.0,4.0,20.0,Tốt
Từ Sơn,11/07/2020,0.0,0.0,22.0,4.0,16.0,2.0,22.0,Tốt
Từ Sơn,12/07/2020,0.0,0.0,34.0,3.0,13.0,0.0,34.0,Tốt
Từ Sơn,13/07/2020,0.0,0.0,33.0,2.0,16.0,1.0,33.0,Tốt
Từ Sơn,14/07/2020,0.0,0.0,90.0,2.0,11.0,1.0,90.0,Vừa Phải
Từ Sơn,15/07/2020,0.0,0.0,27.0,2.0,11.0,2.0,27.0,Tốt
Từ Sơn,16/07/2020,0.0,0.0,28.0,2.0,13.0,0.0,28.0,Tốt
Từ Sơn,17/07/2020,0.0,0.0,40.0,2.0,15.0,0.0,40.0,Tốt
Từ Sơn,18/07/2020,0.0,0.0,36.0,2.0,15.0,5.0,36.0,Tốt
Từ Sơn,19/07/2020,0.0,0.0,28.0,2.0,14.0,0.0,28.0,Tốt
Từ Sơn,20/07/2020,0.0,0.0,24.0,2.0,12.0,0.0,24.0,Tốt
Từ Sơn,21/07/2020,0.0,0.0,19.0,2.0,15.0,0.0,19.0,Tốt
Từ Sơn,22/07/2020,0.0,0.0,19.0,2.0,16.0,0.0,19.0,Tốt
Từ Sơn,23/07/2020,0.0,0.0,25.0,2.0,19.0,2.0,25.0,Tốt
Từ Sơn,24/07/2020,0.0,0.0,28.0,2.0,15.0,0.0,28.0,Tốt
Từ Sơn,25/07/2020,0.0,21.0,31.0,2.0,15.0,2.0,31.0,Tốt
Từ Sơn,26/07/2020,32.0,11.0,82.0,2.0,14.0,0.0,82.0,Vừa Phải
Từ Sơn,27/07/2020,15.0,15.0,22.0,3.0,12.0,0.0,22.0,Tốt
Từ Sơn,28/07/2020,23.0,17.0,71.0,2.0,14.0,0.0,71.0,Vừa Phải
Từ Sơn,29/07/2020,26.0,16.0,32.0,4.0,12.0,3.0,32.0,Tốt
Từ Sơn,30/07/2020,26.0,14.0,45.0,3.0,14.0,2.0,45.0,Tốt
Từ Sơn,31/07/2020,22.0,7.0,27.0,3.0,11.0,1.0,27.0,Tốt
Từ Sơn,01/08/2020,10.0,3.0,22.0,2.0,10.0,1.0,22.0,Tốt
Từ Sơn,02/08/2020,5.0,4.0,20.0,1.0,9.0,1.0,20.0,Tốt
Từ Sơn,03/08/2020,5.0,14.0,19.0,2.0,9.0,1.0,19.0,Tốt
Từ Sơn,04/08/2020,22.0,27.0,18.0,2.0,14.0,1.0,27.0,Tốt
Từ Sơn,05/08/2020,45.0,23.0,16.0,1.0,14.0,2.0,45.0,Tốt
Từ Sơn,06/08/2020,37.0,25.0,0.0,1.0,13.0,2.0,37.0,Tốt
Từ Sơn,07/08/2020,39.0,27.0,0.0,1.0,13.0,2.0,39.0,Tốt
Từ Sơn,08/08/2020,41.0,27.0,0.0,1.0,15.0,2.0,41.0,Tốt
Từ Sơn,09/08/2020,41.0,30.0,0.0,1.0,13.0,2.0,41.0,Tốt
Từ Sơn,10/08/2020,45.0,20.0,0.0,1.0,10.0,2.0,45.0,Tốt
Từ Sơn,11/08/2020,28.0,34.0,0.0,1.0,13.0,1.0,34.0,Tốt
Từ Sơn,12/08/2020,50.0,53.0,0.0,1.0,13.0,1.0,53.0,Vừa Phải
Từ Sơn,13/08/2020,91.0,70.0,0.0,2.0,16.0,1.0,91.0,Vừa Phải
Từ Sơn,14/08/2020,119.0,55.0,0.0,2.0,21.0,2.0,119.0,Không tốt cho người nhạy cảm
Từ Sơn,15/08/2020,89.0,48.0,0.0,2.0,18.0,2.0,89.0,Vừa Phải
Từ Sơn,16/08/2020,76.0,58.0,0.0,2.0,17.0,2.0,76.0,Vừa Phải
Từ Sơn,17/08/2020,97.0,47.0,0.0,2.0,19.0,2.0,97.0,Vừa Phải
