date, pm25, pm10, o3, no2, so2, co
2019-06-27, ,4, ,12,9,1
2019-06-28,8,8, ,16,15,3
2019-06-29,17,5, ,15,16,2
2019-06-30,9,9, ,16,16,3
2019-07-01,20,6, ,12,16,3
2019-07-02,11,7, ,10,16,3
2019-07-03,14,3, ,36,14,2
2019-07-04,7,5, ,14,14,2
2019-07-05,12,7, ,18,15,2
2019-07-06,14,9, ,18,15,2
2019-07-07,18,8, ,18,15,2
2019-07-08,17,11, ,18,15,3
2019-07-09,23,6, ,18,16,3
2019-07-10,12,4, ,26,15,3
2019-07-11,10,7, ,20,15,3
2019-07-12,15,7, ,19,14,3
2019-07-13,18,8, ,20,16,3
2019-07-14,20,5, ,27,16,2
2019-07-15,13,4, ,14,14,3
2019-07-16,10,5, ,16,15,3
2019-07-17,11,5, ,21,16,3
2019-07-18,12,5, ,13,1,3
2019-07-19,12,6, ,26,3,2
2019-07-20,13,5, ,17,2,2
2019-07-21,11,4, ,23,4,3
2019-07-22,9,4, ,24,3,2
2019-07-23,9,5, ,29,11,2
2019-07-24,11,3, ,60,4,2
2019-07-25,7, , , , , 
2019-07-27, ,4, ,11, ,2
2019-07-28,10,5, ,13, ,3
2019-07-29,11,5, ,27,10,2
2019-07-30,13,5, ,17,3,3
2019-07-31,11,4, ,12,2,3
2019-08-01,10,4, ,10,2,3
2019-08-02,9,2, ,9,2,3
2019-08-03,4,1, ,6,1,2
2019-08-04,3,3, ,13,2,3
2019-08-05,7,5, ,12,6,3
2019-08-06,10,7, ,19,6,3
2019-08-07,17,6, ,27,6,3
2019-08-08,14,6, ,24,2,3
2019-08-09,14,8, ,24,3,3
2019-08-10,19,4, ,13,1,2
2019-08-11,9,5, ,16,1,2
2019-08-12,11,8, ,41,3,3
2019-08-13,17,10, ,35,14,3
2019-08-14,22,8, ,26,4,3
2019-08-15,18,7, ,35,7,2
2019-08-16,15,6, ,25,4,2
2019-08-17,14,8, ,20,1,3
2019-08-18,19,9, ,26,5,3
2019-08-19,21,7, ,27,3,3
2019-08-20,15,5, ,26,3,3
2019-08-21,10,4, ,21,6,2
2019-08-22,8,5, ,19,4,3
2019-08-23,12,6, ,15,1,3
2019-08-24,13, , , , , 
2019-08-27, ,6, ,18,11,2
2019-08-28,14,6, ,12,2,2
2019-08-29,13,3, ,20,12,2
2019-08-30,7,1, ,10,1,2
2019-08-31,2,2, ,8,1,2
2019-09-01,3,5, ,6,1,2
2019-09-02,12,3, ,6,1,2
2019-09-03,9,3, ,7,1,2
2019-09-04,9,6, ,31,3,2
2019-09-05,15,9, ,21,3,3
2019-09-06,22,7, ,18,4,2
2019-09-07,18,4, ,10,1,2
2019-09-08,10,4, ,8,1,2
2019-09-09,9,3, ,6,1,2
2019-09-10,8,4, ,9,6,2
2019-09-11,9,5, ,6,2,2
2019-09-12,11,7, ,7,4,2
2019-09-13,17,8, ,8,6,2
2019-09-14,19,8, ,5,2,2
2019-09-15,19,7, ,9,3,3
2019-09-16,18,9, ,8,10,3
2019-09-17,20,9, ,11,25,3
2019-09-18,21,6, ,7,21,3
2019-09-19,16,11, ,9,23,3
2019-09-20,26,8, ,4,21,2
2019-09-21,18,6, ,5,23,2
2019-09-22,12,9, ,11,21,2
2019-09-23,19,11, ,10,22,2
2019-09-24,22,12, ,12,23,3
2019-09-25,25,13, ,14,25,3
2019-09-26,28,13, ,14,25,3
2019-09-27,29,15, ,15,25,3
2019-09-28,34,15, ,16,27,3
2019-09-29,36,15, ,11,26,3
2019-09-30,36, , , , , 
2019-10-07, ,7, ,9,1,3
2019-10-08,14,7, ,12,2,2
2019-10-09,15,8, ,24,3,2
2019-10-10,17, , , , , 
2020-02-24, ,18, ,7,17,4
2020-02-25,31,16, ,10,20,3
2020-02-26,27,16, ,14,22,3
2020-02-27,27,12, ,10,20,3
2020-02-28,22,14, ,11,22,3
2020-02-29,25,12, ,6,17,3
2020-03-01,22,15, ,19,27,3
2020-03-02,26,12, ,7,17,3
2020-03-03,19,9, ,5,20,4
2020-03-04,16,7, ,2,20,4
2020-03-05,11,13, ,13,24,5
2020-03-06,23,14, ,10,21,4
2020-03-07,26,13, ,3,17,4
2020-03-08,22,29, ,15,23,4
2020-03-09,52,19, ,9,18,4
2020-03-10,28,26, ,20,29,5
2020-03-11,42,14, ,12,21,5
2020-03-12,26, , , , , 
2020-03-14, ,37, ,24,28,5
2020-03-15,65,22, ,24,25,6
2020-03-16,40,15, ,11,17,5
2020-03-17,26,13, ,12,22,5
2020-03-18,23,11, ,4,21,4
2020-03-19,18,6, ,14,33,9
2020-03-20,17,1, ,9,21,5
2020-03-21, ,1, ,2,17,4
2020-03-22, ,18, ,4,18,3
2020-03-23,11,26, ,6,20,3
2020-03-24,12,24, ,3,17,3
2020-03-25,12,19, ,3,15,9
2020-03-26,16,11, ,4,17, 
2020-03-27,21, , , , , 
2020-03-31, ,37, ,12,31, 
2020-04-01,72,19, ,15,25, 
2020-04-02,33,29, ,18,35, 
2020-04-03,52,8, ,5,23, 
2020-04-04,14,4, ,3,23, 
2020-04-05,7,4, ,4,24, 
2020-04-06,6,9, ,9,20, 
2020-04-07,16,18, ,12,15, 
2020-04-08,32,24, ,20,33, 
2020-04-09,40,20, ,19,29, 
2020-04-10,36,17, ,16,25, 
2020-04-11,31,11, ,6,24, 
2020-04-12,17,14, ,7,27, 
2020-04-13,22,16, ,13,32, 
2020-04-14,26,14, ,18,28, 
2020-04-15,25,11, ,11,24, 
2020-04-16,19,9, ,7,24, 
2020-04-17,15,11, ,6,23, 
2020-04-18,19,12, ,3,23, 
2020-04-19,20,10, ,2,23, 
2020-04-20,16,8, ,1,23, 
2020-04-21,14,13, ,15,29, 
2020-04-22,20,5, ,5,29, 
2020-04-23,8,4, ,3,26, 
2020-04-24,7,9, ,8,31, 
2020-04-25,14, , , , , 
2020-06-06, ,14, ,7,20,1
2020-06-07,24,17, ,10,20,1
2020-06-08,27,14, ,8,20,1
2020-06-09,25,16, ,8,20,2
2020-06-10,28,17, ,9,21,2
2020-06-11,30,12, ,8,20,2
2020-06-12,21,9, ,6,20,1
2020-06-13,15,9, ,10,20,1
2020-06-14,15,11, ,10,20,1
2020-06-15,18,12, ,6,20,1
2020-06-16,19,14, ,5,19,1
2020-06-17,22,12, ,5,19,1
2020-06-18,19,13, ,6,19,1
2020-06-19,20,16, ,4,18,1
2020-06-20,26,21, ,4,19,1
2020-06-21,36,20, ,5,19,1
2020-06-22,33,20, ,5,19,1
2020-06-23,33,18, ,6,18,1
2020-06-24,30,20, ,8,19,1
2020-06-25,34,16, ,5,19,1
2020-06-26,26,16, ,4,19,1
2020-06-27,27,15, ,4,19,1
2020-06-28,28,13, ,4,19,1
2020-06-29,23,13, ,5,19,1
2020-06-30,21,13, ,6,20,1
2020-07-01,20,10, ,5,19,1
2020-07-02,16,10, ,7,19,1
2020-07-03,15,11, ,6,19,1
2020-07-04,16,11, ,5,19,1
2020-07-05,16,17, ,6,19,1
2020-07-06,27,27, ,5,19,1
2020-07-07,43,20, ,6,22,2
2020-07-08,30,21, ,7,19,3
2020-07-09,31,23, ,7,19,3
2020-07-10,33,21, ,9,21,4
2020-07-11,33,15, ,5,19,3
2020-07-12,26,13, ,6,19,3
2020-07-13,22,14, ,9,21,3
2020-07-14,24,12, ,8,20,3
2020-07-15,19,12, ,4,19,3
2020-07-16,21,13, ,6,19,3
2020-07-17,21,13, ,5,19,3
2020-07-18,23,15, ,6,19,3
2020-07-19,27,13, ,7,19,3
2020-07-20,23,9, ,5,19,3
2020-07-21,15,9, ,7,19,2
2020-07-22,16,9, ,5,19,3
2020-07-23,16,8, ,6,19,3
2020-07-24,14,8, ,5,19,3
2020-07-25,13,12, ,6,19,3
2020-07-26,20,19, ,12,20,3
2020-07-27,32,20, ,13,20,4
2020-07-28,31,13, ,7,19,3
2020-07-29,19,16, ,9,19,3
2020-07-30,25,19, ,8,20,4
2020-07-31,28,9, ,4,20,3
2020-08-01,13,5, ,3,20,3
2020-08-02,7,7, ,7,20,3
2020-08-03,11,10, ,11,19,4
2020-08-04,14,12, ,9,20,4
2020-08-05,18,11, ,8,19,3
2020-08-06,17,14, ,6,19,3
2020-08-07,21,14, ,6,20,3
2020-08-08,19,12, ,4,20,3
2020-08-09,16,15, ,5,19,3
2020-08-10,20,14, ,5,20,3
2020-08-11,20,17, ,5,20,3
2020-08-12,26,11, ,8,20,3
2020-08-13,18,11, ,9,18,3
