địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Vinh,2021-12-27,0.0,63.0,0.0,0.0,0.0,0.0,63.0,Vừa Phải
Vinh,2021-12-28,89.0,69.0,0.0,0.0,0.0,0.0,89.0,Vừa Phải
Vinh,2021-12-29,122.0,55.0,0.0,0.0,0.0,0.0,122.0,Không tốt cho người nhạy cảm
Vinh,2021-12-30,83.0,64.0,0.0,0.0,0.0,0.0,83.0,Vừa Phải
Vinh,2021-12-31,114.0,66.0,0.0,0.0,0.0,0.0,114.0,Không tốt cho người nhạy cảm
Vinh,2022-01-01,127.0,80.0,0.0,0.0,0.0,0.0,127.0,Không tốt cho người nhạy cảm
Vinh,2022-01-02,142.0,77.0,0.0,0.0,0.0,0.0,142.0,Không tốt cho người nhạy cảm
Vinh,2022-01-03,141.0,71.0,0.0,0.0,0.0,0.0,141.0,Không tốt cho người nhạy cảm
Vinh,2022-01-04,126.0,62.0,0.0,0.0,0.0,0.0,126.0,Không tốt cho người nhạy cảm
Vinh,2022-01-05,105.0,48.0,0.0,0.0,0.0,0.0,105.0,Không tốt cho người nhạy cảm
Vinh,2022-01-06,63.0,49.0,0.0,0.0,0.0,0.0,63.0,Vừa Phải
Vinh,2022-01-07,63.0,53.0,0.0,0.0,0.0,0.0,63.0,Vừa Phải
Vinh,2022-01-08,68.0,60.0,0.0,0.0,0.0,0.0,68.0,Vừa Phải
Vinh,2022-01-09,86.0,57.0,0.0,0.0,0.0,0.0,86.0,Vừa Phải
Vinh,2022-01-10,94.0,45.0,0.0,0.0,0.0,0.0,94.0,Vừa Phải
Vinh,2022-01-11,57.0,58.0,0.0,0.0,0.0,0.0,58.0,Vừa Phải
Vinh,2022-01-12,84.0,44.0,0.0,0.0,0.0,0.0,84.0,Vừa Phải
Vinh,2022-01-13,69.0,0.0,0.0,0.0,0.0,0.0,69.0,Vừa Phải
Vinh,2022-01-14,0.0,56.0,0.0,0.0,0.0,0.0,56.0,Vừa Phải
Vinh,2022-01-15,87.0,59.0,0.0,0.0,0.0,0.0,87.0,Vừa Phải
Vinh,2022-01-16,95.0,32.0,0.0,0.0,0.0,0.0,95.0,Vừa Phải
Vinh,2022-01-17,43.0,40.0,0.0,0.0,0.0,0.0,43.0,Tốt
Vinh,2022-01-18,44.0,58.0,0.0,0.0,0.0,0.0,58.0,Vừa Phải
Vinh,2022-01-19,86.0,60.0,0.0,0.0,0.0,0.0,86.0,Vừa Phải
Vinh,2022-01-20,88.0,68.0,0.0,0.0,0.0,0.0,88.0,Vừa Phải
Vinh,2022-01-21,113.0,82.0,0.0,0.0,0.0,0.0,113.0,Không tốt cho người nhạy cảm
Vinh,2022-01-22,149.0,79.0,0.0,0.0,0.0,0.0,149.0,Không tốt cho người nhạy cảm
Vinh,2022-01-23,142.0,62.0,0.0,0.0,0.0,0.0,142.0,Không tốt cho người nhạy cảm
Vinh,2022-01-24,112.0,0.0,0.0,0.0,0.0,0.0,112.0,Không tốt cho người nhạy cảm
