date, pm25, pm10, o3, no2, so2, co
2023-11-01,66,54, ,6,7, 
2023-11-02,97,48, ,5,7, 
2023-11-03,80,25, ,5,6, 
2023-11-04,39,26, ,3,6, 
2023-11-05,40,20, ,5,8, 
2023-11-06,30,29, ,4,6, 
2023-11-07,34,52, ,5,7, 
2023-11-08,70,36, ,6,6, 
2023-11-09,58,32, ,5,7, 
2023-11-10,51,25, ,4,7, 
2023-11-11,39,21, ,2,7, 
2023-11-12,31,9, ,4,6, 
2023-11-13,14,14, ,5,6, 
2023-11-14,22,38, ,5,7, 
2023-11-15,61,19, ,4,7, 
2023-11-16,29,15, ,7,7, 
2023-11-17,24,27, ,9,7, 
2023-11-18,41,30, ,9,7, 
2023-11-19,47,38, ,11,7, 
2023-11-20,64,50, ,9,9, 
2023-11-21,87,57, ,8,8, 
2023-11-22,100,48, ,8,7, 
2023-11-23,84,53, ,10,8, 
2023-11-24,94, , , , , 
2023-10-01,33,25, ,4,5,3
2023-10-02,40,34, ,7,5,5
2023-10-03,55,35, ,6,5,4
2023-10-04,57,26, ,6,5,4
2023-10-05,42,27, ,4,5,2
2023-10-06,43,17, ,3,5,3
2023-10-07,25,12, ,3,6,3
2023-10-08,15,18, ,4,6,3
2023-10-09,31,17, ,4,6,3
2023-10-10,28,16, ,5,6,3
2023-10-11,27,22, ,5,7,4
2023-10-12,35,22, ,4,6,3
2023-10-13,35,28, ,4,6,3
2023-10-14,45,9, ,3,6,3
2023-10-15,14,23, ,6,6,4
2023-10-16,35,33, ,7,6,4
2023-10-17,53,39, ,7,6, 
2023-10-18,66,35, ,5,6, 
2023-10-19,56,21, ,3,6, 
2023-10-20,35,11, ,4,7, 
2023-10-21,19,24, ,5,8, 
2023-10-22,41,32, ,6,7, 
2023-10-23,56,51, ,6,7, 
2023-10-24,83,37, ,4,6, 
2023-10-25,61,29, ,6,7, 
2023-10-26,47,37, ,6,8, 
2023-10-27,64,30, ,4,7, 
2023-10-28,47,34, ,3,6, 
2023-10-29,42,26, ,5,7, 
2023-10-30,36,25, ,6,7, 
2023-10-31,39,40, ,7,7, 
2023-07-01,25,15, ,2,2,1
2023-07-02,24,12, ,2,2,1
2023-07-03,19,8, ,2,2,2
2023-07-04,13,10, ,3,2,2
2023-07-05,16,8, ,3,2,2
2023-07-06,13,9, ,2,2,1
2023-07-07,13,11, ,2,2,1
2023-07-08,16,7, ,3,2,1
2023-07-09,11,8, ,3,2,2
2023-07-10,13,8, ,3,2,1
2023-07-11,13,8, ,3,2,2
2023-07-12,13,11, ,2,2,1
2023-07-13,17,13, ,3,2,2
2023-07-14,22,9, ,4,3,2
2023-07-15,13,16, ,3,2,2
2023-07-16,25,21, ,5,3,3
2023-07-17,32,17, ,4,3,2
2023-07-18,28,14, ,4,3,2
2023-07-19,21,19, ,4,3,3
2023-07-20,30,23, ,4,2,3
2023-07-21,37,20, ,3,2,2
2023-07-22,32,9, ,3,2,1
2023-07-23,13,9, ,4,2,1
2023-07-24,15,10, ,4,2,2
2023-07-25,16,15, ,3,2,1
2023-07-26,24,16, ,4,3,2
2023-07-27,26,11, ,3,3,2
2023-07-28,17,11, ,3,2,2
2023-07-29,17,20, ,2,2,2
2023-07-30,31,12, ,4,2,2
2023-07-31,18,14, ,3,3,2
2023-08-01,22,14, ,2,3,2
2023-08-02,23,14, ,2,3,2
2023-08-03,21,10, ,3,3,2
2023-08-04,15,6, ,2,3,2
2023-08-05,10,14, ,2,3,3
2023-08-06,22,20, ,3,3,3
2023-08-07,30,15, ,3,3,3
2023-08-08,24,12, ,3,3,2
2023-08-09,19,14, ,3,3,3
2023-08-10,22,24, ,4,3,2
2023-08-11,37,9, ,3,3,2
2023-08-12,14,16, ,3,3,2
2023-08-13,26,17, ,3,3,2
2023-08-14,29,11, ,3,3,2
2023-08-15,17,23, ,3,3,2
2023-08-16,37,24, ,3,3,2
2023-08-17,39,15, ,2,3,1
2023-08-18,23,14, ,3,3,2
2023-08-19,22,22, ,3,3,3
2023-08-20,34,24, ,3,4,2
2023-08-21,38,16, ,3,3,3
