date, pm25, pm10, o3, no2, so2, co
2023-11-01,135,82,31,10,24,3
2023-11-02,149,64,20,6,24,2
2023-11-03,115,45,18,3,24,1
2023-11-04,67,45,17,5,25,2
2023-11-05,67,19,14,8,25,1
2023-11-06,24,55,12,5,34,3
2023-11-07,83,89,29,5,9,3
2023-11-08,153,91,20,8,9,3
2023-11-09,145,75,23,6,9,2
2023-11-10,132,75,22,5,9,2
2023-11-11,132,83,23,5,10,3
2023-11-12,142,32,5,3,13,2
2023-11-13,42,33,10,4,14,3
2023-11-14,49,74,9,8,15,4
2023-11-15,128,50,13,4,15,3
2023-11-16,71,76,21,10,21,4
2023-11-17,103,130,28,11,20,6
2023-11-18,201,134,29,11,21,6
2023-11-19,217,141,37,12,21,7
2023-11-20,220,146,52,12,26,6
2023-11-21,229,126,17,12,19,4
2023-11-22,207,119,17,10,19,5
2023-11-23,200,129,18,11,18,5
2023-11-24,214, , , , , 
2023-10-01,79,55, ,6,8,2
2023-10-02,81,61, ,8,8,2
2023-10-03,98,62, ,7,8,2
2023-10-04,108,54, ,6,9,2
2023-10-05,77,46, ,5,10,2
2023-10-06,70,41, ,9,8,2
2023-10-07,62,28, ,14,6,2
2023-10-08,37,33, ,18,7,2
2023-10-09,43,37,13,14,7,1
2023-10-10,39,42,15,11,7,1
2023-10-11,46,36,31,11,10,5
2023-10-12,49,46,36,9,11,3
2023-10-13,68,55,28,7,10,3
2023-10-14,84,57,18,7,14,4
2023-10-15,75,66,32,11,13,3
2023-10-16,107,78,28,13,12,4
2023-10-17,132,87,34,16,13,4
2023-10-18,145,72,39,10,13,2
2023-10-19,107,50,31,8,14,2
2023-10-20,70,47,10,6,22,3
2023-10-21,60,49,14,6,18,2
2023-10-22,77,63,10,11,17,3
2023-10-23,108,70,19,11,17,3
2023-10-24,123,75,18,9,17,3
2023-10-25,140,83,19,11,19,3
2023-10-26,147,106,27,13,21,4
2023-10-27,184,50,16,5,20,2
2023-10-28,85,36,14,5,20,2
2023-10-29,57,31,12,6,22,2
2023-10-30,39,60,14,10,23,3
2023-10-31,102,79,19,10,23,4
2023-07-01,36,25,275,2, ,2
2023-07-02,32,23,236,2,6,1
2023-07-03,27,6,98,3,1,4
2023-07-04,5,2,76,8,1,2
2023-07-05,2,1,54,8,1,1
2023-07-06,1, ,72,8,2,1
2023-07-07,1,1,71,8,2,1
2023-07-08,1,1,36,10,2,1
2023-07-09,1,1,57,9,2,1
2023-07-10,1,1,47,9,1,1
2023-07-11,1,1,36,9,1,1
2023-07-12,1, ,37,9,1,1
2023-07-13,1,1,23,10,1,1
2023-07-14,1,1,27,10,1,2
2023-07-15,1,1,33,10,2,2
2023-07-16,1,47,22,26,1,2
2023-07-17,67,40,20,27,1,2
2023-07-18,58,37,14,34,1,3
2023-07-19,60,43,6,34,1,3
2023-07-20,71,45,7,32,1,3
2023-07-21,69,47,11,27,1,2
2023-07-22,63,39,11,22,1,1
2023-07-23,43,46,11,25,2,1
2023-07-24,52,52,20,29,3,1
2023-07-25,62,51,32,34,3,1
2023-07-26,59,54,31,34,2,2
2023-07-27,82,44,14,32,2,2
2023-07-28,69,63,25,35,2,3
2023-07-29,106,47,11,42,2,2
2023-07-30,74,33,10,37,2,2
2023-07-31,44,36,14,29,2,2
2023-08-01,56,34,11,30,2,2
2023-08-02,49,37,9,32,2,3
2023-08-03,53,25,5,31,2,2
2023-08-04,37,30,4,34,2,3
2023-08-05,38,43,10,31,2,3
2023-08-06,57,38,17,35,2,2
2023-08-07,44,44, ,36,3,2
2023-08-08,55, , , , , 
2023-08-11,6, ,145,57,10,2
2023-08-13,2,20,87,28,10,2
2023-08-14,25,30,111,27,10,2
2023-08-15,42,56,131,26,10,3
2023-08-16,91,56,148,16,10,2
2023-08-17,84,50, ,15,10,2
2023-08-18,69,60, ,27,10,3
2023-08-19,108,43, ,35,11,2
2023-08-20,72,47, ,55,11,3
2023-08-21,65,48, ,32,11,3
2023-08-22,66,50, ,23,11,2
2023-08-23,72,32, ,40,11,2
2023-08-24,41,31, ,25,10,2
2023-08-25,46,33, ,32,9,2
2023-08-26,43,49, ,17,9,2
2023-08-27,74,23, ,54,9,2
2023-08-28,28,31, ,68,9,2
2023-08-29,40,40, ,86,9,3
2023-08-30,53,56, ,59,7,5
2023-08-31,94,62, ,24,6,3
2023-09-01,107,71, ,18,6,3
2023-09-02,123,62, ,11,6,3
2023-09-03,105,25, ,8,6,2
2023-09-04,36,42, ,9,6,3
2023-09-05,60,56, ,9,6,3
2023-09-06,102,28, ,9,4,3
2023-09-07,41,52, ,8,4,2
2023-09-08,86,47, ,11,4,4
2023-09-09,73,48, ,8,4,3
2023-09-10,64,36, ,9,5,3
2023-09-11,48,5, ,12,5,3
2023-09-12,3,10, ,7,5,2
2023-09-13,13,7, ,7,5,2
2023-09-14,8,4, ,8,5,4
2023-09-15,5,3, ,7,5,4
2023-09-16,3,1, ,7,5,3
2023-09-17,1,1, ,9,5,2
2023-09-18,1,1, ,6,5,2
2023-09-20,8,32, ,6,5,2
2023-09-21,39,25, ,6,2,2
2023-09-22,30,31, ,6,1,2
2023-09-23,38,53, ,7,6,2
2023-09-24,76,54, ,10,19,3
2023-09-25,86,47, ,8,10,2
2023-09-26,68,6, ,5,9,1
2023-09-27,7,13, ,8,6,1
2023-09-28,17,33, ,7,7,2
2023-09-29,47,56, ,7,7,3
2023-09-30,94,54, ,5,7,2
2023-05-15,66,50,27,3,19,4
2023-05-16,75,70,14,3,11,2
2023-05-17,105,76,4,2,2,3
2023-05-18,123,74,8,2,2,3
2023-05-19,123,66,8,2,2,2
2023-05-20,111,61,6, ,1,2
2023-05-21,100,66,5,1,1,2
2023-05-22,108,67,8,1,2,2
2023-05-23,108,56,7,1,2,2
2023-05-24,85,49,5,1,1,2
2023-05-25,59,38,3,1, ,2
2023-05-26,50,34,2,1, ,2
2023-05-27,43,41,1,1, ,1
2023-05-28,52,60,1, ,1,1
2023-05-29,78,54,4, ,1,2
2023-05-30,74,67,7,1,2,1
2023-05-31,95,59,5, ,2,2
2023-06-01,93,55,4,1,2,2
2023-06-02,80,63,6,1,2,2
2023-06-03,95,62,6,1,1,2
2023-06-04,95,63,5,1,1,2
2023-06-05,100,57,5,1,1,2
2023-06-06,92,51,3,1,1,2
2023-06-07,76,67,5,1,2,2
2023-06-08,116,38,7,3,1,2
2023-06-09,53,69,4,3,1,2
2023-06-10,121,66,9,2,2,3
2023-06-11,121,64,8,3,2,2
2023-06-12,108,54,8,2,1,2
2023-06-13,96,30,7,2,1,2
2023-06-14,39,42,3,3,1,2
2023-06-15,61, ,1, , ,2
2023-06-21,47,57,3,2,1,2
2023-06-22,88,24,3,1,1,3
2023-06-23,32,30,1,1,1,2
2023-06-24,42,12, ,1,1,1
2023-06-25,17,21,1,1,1,2
2023-06-26,28,32,1,1,1,2
2023-06-27,41,28,1,1,1,1
2023-06-28,33,34,1,1,1,1
2023-06-29,38,37,1,1,1,1
2023-06-30,47,27,15,2,4,2
2023-01-02,161,55,12,3,12,2
2023-01-03,111, , , , , 
2023-02-10,59,36,18,1,15,1
2023-02-11,53,37,15,1,16,1
2023-02-12,59,50,17,2,16,2
2023-02-13,90,43,9,2,14,2
2023-02-14,73,46,13,2,14,2
2023-02-15,80,63,14,3,14,3
2023-02-16,127,86,16,5,18,4
2023-02-17,166,64,25,2,17,2
2023-02-18,123,72,11,2,16,3
2023-02-19,142,58,20,3,15,3
2023-02-20,109,85,26,5,19,4
2023-02-21,159,62,28,2,17,2
2023-02-22,107,66,21,4,17,2
2023-02-23,118,55,9,3,15,2
2023-02-24,91,39,20, ,15,3
2023-02-25,65,69,26, ,15,3
2023-02-26,132,84,33, ,18,3
2023-02-27,159,81,30, ,16,3
2023-02-28,150,74,12, ,16,2
2023-03-01,137,89,32, ,19,3
2023-03-02,170,84,30, ,18,3
2023-03-03,158,62,19, ,16,3
2023-03-04,118,88,35, ,18,4
2023-03-05,170,79,31, ,17,2
2023-03-06,148,62,26, ,17,2
2023-03-07,109,59,15, ,18,2
2023-03-08,103,68,25, ,16,2
2023-03-09,134,76,23, ,18,2
2023-03-10,148,72,14, ,17,2
2023-03-11,138,82,17, ,19,2
2023-03-12,155,74,17, ,15,2
2023-03-13,97,103,23, ,17,3
2023-03-14,165,84,13, ,15,3
2023-03-15,150, , , , , 
2023-03-17,78,52,11, ,18,2
2023-03-18,83,52,10, ,17,1
2023-03-19,76,48,8, ,17,1
2023-03-20,74,43,10, ,16,1
2023-03-21,77,65,25, ,18,2
2023-03-22,131,66,18, ,18,1
2023-03-23,130,67,15, ,17,2
2023-03-24,134,54,7, ,16,1
2023-03-25,98,40,4, ,14,2
2023-03-26,68,22,5, ,14,2
2023-03-27,30,33,7, ,15,2
2023-03-28,54,30,6, ,14,2
