địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Đà Lạt,19/11/2022,8.97,10.5,0,0,0,0,10.5,Tốt
Đà Lạt,20/11/2022,10.0,11.87,0,0,0,0,11.87,Tốt
Đà Lạt,21/11/2022,18.57,21.87,0,0,0,0,21.87,Tốt
Đà Lạt,22/11/2022,15.5,17.37,0,0,0,0,17.37,Tốt
Đà Lạt,23/11/2022,39.23,40.7,0,0,0,0,40.7,Tốt
Đà Lạt,24/11/2022,15.9,18.73,0,0,0,0,18.73,Tốt
Đà Lạt,25/11/2022,17.08,21.3,0,0,0,0,21.3,Tốt
Đà Lạt,26/11/2022,10.1,11.07,0,0,0,0,11.07,Tốt
Đà Lạt,27/11/2022,22.35,25.17,0,0,0,0,25.17,Tốt
Đà Lạt,28/11/2022,46.33,58.02,0,0,0,0,58.02,Vừa Phải
Đà Lạt,29/11/2022,80.17,94.47,0,0,0,0,94.47,Vừa Phải
Đà Lạt,30/11/2022,34.03,36.95,0,0,0,0,36.95,Tốt
Đà Lạt,1/12/2022,3.7,4.43,0,0,0,0,4.43,Tốt
Đà Lạt,2/12/2022,6.3,7.4,0,0,0,0,7.4,Tốt
Đà Lạt,3/12/2022,3.63,4.33,0,0,0,0,4.33,Tốt
Đà Lạt,4/12/2022,8.13,9.5,0,0,0,0,9.5,Tốt
Đà Lạt,5/12/2022,22.53,26.83,0,0,0,0,26.83,Tốt
Đà Lạt,6/12/2022,4.87,5.7,0,0,0,0,5.7,Tốt
Đà Lạt,7/12/2022,26.43,32.13,0,0,0,0,32.13,Tốt
Đà Lạt,8/12/2022,10.67,11.95,0,0,0,0,11.95,Tốt
Đà Lạt,9/12/2022,25.73,32.3,0,0,0,0,32.3,Tốt
Đà Lạt,10/12/2022,19.9,23.63,0,0,0,0,23.63,Tốt
Đà Lạt,11/12/2022,104.8,129.4,0,0,0,0,129.4,Không tốt cho người nhạy cảm
Đà Lạt,12/12/2022,14.9,17.1,0,0,0,0,17.1,Tốt
Đà Lạt,13/12/2022,16.43,19.7,0,0,0,0,19.7,Tốt
Đà Lạt,14/12/2022,27.53,31.3,0,0,0,0,31.3,Tốt
Đà Lạt,15/12/2022,24.5,28.1,0,0,0,0,28.1,Tốt
Đà Lạt,16/12/2022,22.63,25.67,0,0,0,0,25.67,Tốt
