date, pm25, pm10, o3, no2, so2, co
1/11/2023,19,5,24,16,13,2
2/11/2023,8,14,30,16,13,3
3/11/2023,20,12,29,15,13,3
4/11/2023,16,11,23,15,13,1
5/11/2023,15,9,32,16,13,3
6/11/2023,12,13,33,16,13,4
7/11/2023,19,5,42,16,13,4
8/11/2023,8,11,39,16,13,4
9/11/2023,17,21,83,15,13,4
10/11/2023,30,17,124,16,13,2
11/11/2023,24,15,72,16,13,2
12/11/2023,22,14,62,16,13,1
13/11/2023,21,9,50,16,13,1
14/11/2023,14,15,50,16,13,1
15/11/2023,20,12, ,16,13,1
16/11/2023,16,35, ,16,13,1
17/11/2023,56,27, ,16,13,3
18/11/2023,35,25, ,16,13,1
19/11/2023,30,19, ,15,13,2
20/11/2023,28,21, ,16,13,2
21/11/2023,28,49, ,16,13,4
22/11/2023,85,173, ,16,13,3
23/11/2023,210,45, ,15,13,1
24/11/2023,70,16, ,16,13,1
25/11/2023,21, , , , , 
1/10/2023,12,13,5,15,13,2
2/10/2023,19,14,5,15,13,5
3/10/2023,21,6,5,16,13,3
4/10/2023,9,10,5,15,13,3
5/10/2023,13,12, ,15,13,3
6/10/2023,18,6, ,15,13,2
7/10/2023,8,6, ,15,13,2
8/10/2023,9,13, ,16,13,6
9/10/2023,19,19, ,16, ,6
10/10/2023,28,11, ,16,13,3
11/10/2023,16, , , , , 
17/10/2023,21,11,22,16,13,7
18/10/2023,17,24,39,15,13,6
19/10/2023,37,36,46,15,13,3
20/10/2023,58,7,36,16,13,1
21/10/2023,10,49,35,16,13,1
22/10/2023,83,5,23,16,13,3
23/10/2023,7,8,22,16,13,4
24/10/2023,12,13,24,16,13,4
25/10/2023,19,9,20,15,13,2
26/10/2023,13,13,27,15,13,3
27/10/2023,20,10,30,15,13,1
28/10/2023,14,12,128,15,13,1
29/10/2023,18,8,36,16,13,3
30/10/2023,12,16,38,16,13,1
31/10/2023,23,13,36,16,13,1
1/07/2023,16,8,31,15,12,1
2/07/2023,10,7,34,15,12,1
3/07/2023,10,9,34,15,12,2
4/07/2023,12,10,37,15,12,1
5/07/2023,14,8,42,15,12,1
6/07/2023,10,9,115,15,12,1
7/07/2023,13,12,20,15,12,2
8/07/2023,17,11,67,15,13,1
9/07/2023,15,10,71,15,12,2
10/07/2023,14,10,50,15,12,1
11/07/2023,14,14,50,15,12,2
12/07/2023,19,11,50,15,13,2
13/07/2023,15,9,50,15,13,1
14/07/2023,13,13,48,15,12,4
15/07/2023,19,11, ,15,13,2
16/07/2023,15,12, ,15,12,4
17/07/2023,17,12, ,15,12,2
18/07/2023,17,11,50,15,12,2
19/07/2023,15,10,50,15,12,2
20/07/2023,14,9,50,15,12,1
21/07/2023,13,7,50,15,12,2
22/07/2023,9,6,50,15,12,1
23/07/2023,9,6,50,15,12,1
24/07/2023,9,6,50,15,12,1
25/07/2023,9,5,50,15,12,1
26/07/2023,7,12,50,15,13,2
27/07/2023,16,11,50,15,12,2
28/07/2023,15,8,50,15,12,2
29/07/2023,11,7,50,15,12,2
30/07/2023,9,8,50,15,13,3
31/07/2023,11,13,50,15,13,2
1/08/2023,18,14,50,15,13,3
2/08/2023,18,17,50,15,13,3
3/08/2023,22,10,50,15,13,2
4/08/2023,13,11,50,15,13,2
5/08/2023,13,13,50,15,13,2
6/08/2023,16,11,50,15,13,2
7/08/2023,14,13,50,15,13,2
8/08/2023,17,14,50,15,13,2
9/08/2023,19,14,50,15,13,1
10/08/2023,18,18,50,15,13,2
11/08/2023,22,13,50,16,13,1
12/08/2023,18,11,24,15,13,1
13/08/2023,14,14,20,15,12,3
14/08/2023,18,18,32,15,16,2
15/08/2023,23,15,37,15,13,2
16/08/2023,20,14,19,15,13,1
17/08/2023,19,8,33,15,13,1
18/08/2023,12,11,64,15,13,1
19/08/2023,15,12,29,15,13,1
20/08/2023,18,11,26,15,13,2
21/08/2023,15,9,29,15,13,2
22/08/2023,12,9,30,15,12,2
23/08/2023,12,10,31,15,13,2
24/08/2023,14,12,27,15,13,2
25/08/2023,16,10,24,15,13,2
26/08/2023,15,10,29,15,13,1
27/08/2023,14,13,34,15,13,2
28/08/2023,18,12,48,15,13,2
29/08/2023,18,16,73,15,13,2
30/08/2023,24,13,68,15,13,2
31/08/2023,20,23,93,15,13,2
1/09/2023,37,28,105,15,13,2
2/09/2023,46,20,109,15,13,1
3/09/2023,33,13,82,15,12,1
4/09/2023,20,14,79,15,12,2
5/09/2023,22,11,37,15,13,2
6/09/2023,16,10,33,15,13,2
7/09/2023,15,11,31,15,13,3
8/09/2023,15,14,33,15,13,2
9/09/2023,21,8,31,15,13,2
10/09/2023,11,12,21,15,13,3
