địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Đông Triều,14/02/2021,0.0,4.0,25.0,7.0,1.0,5.0,25.0,Tốt
Đông Triều,15/02/2021,5.0,5.0,23.0,11.0,4.0,5.0,23.0,Tốt
Đông Triều,16/02/2021,6.0,6.0,23.0,7.0,2.0,5.0,23.0,Tốt
Đông Triều,17/02/2021,7.0,10.0,27.0,12.0,3.0,5.0,27.0,Tốt
Đông Triều,18/02/2021,9.0,12.0,28.0,14.0,9.0,6.0,28.0,Tốt
Đông Triều,19/02/2021,12.0,14.0,45.0,12.0,4.0,5.0,45.0,Tốt
Đông Triều,20/02/2021,14.0,13.0,30.0,14.0,2.0,5.0,30.0,Tốt
Đông Triều,21/02/2021,12.0,10.0,28.0,10.0,2.0,5.0,28.0,Tốt
Đông Triều,22/02/2021,9.0,12.0,61.0,10.0,1.0,5.0,61.0,Vừa Phải
Đông Triều,23/02/2021,10.0,7.0,24.0,9.0,2.0,4.0,24.0,Tốt
Đông Triều,24/02/2021,6.0,6.0,14.0,13.0,5.0,4.0,14.0,Tốt
Đông Triều,25/02/2021,6.0,11.0,12.0,20.0,7.0,4.0,20.0,Tốt
Đông Triều,26/02/2021,11.0,8.0,5.0,12.0,5.0,5.0,12.0,Tốt
Đông Triều,27/02/2021,8.0,5.0,4.0,12.0,3.0,6.0,12.0,Tốt
Đông Triều,28/02/2021,7.0,5.0,6.0,12.0,3.0,6.0,12.0,Tốt
Đông Triều,01/03/2021,8.0,6.0,12.0,9.0,1.0,6.0,12.0,Tốt
Đông Triều,02/03/2021,5.0,5.0,9.0,12.0,4.0,6.0,12.0,Tốt
Đông Triều,03/03/2021,6.0,5.0,4.0,14.0,5.0,8.0,14.0,Tốt
Đông Triều,04/03/2021,6.0,9.0,4.0,22.0,6.0,8.0,22.0,Tốt
Đông Triều,05/03/2021,12.0,7.0,10.0,16.0,5.0,7.0,16.0,Tốt
Đông Triều,06/03/2021,9.0,9.0,16.0,14.0,6.0,6.0,16.0,Tốt
Đông Triều,07/03/2021,9.0,10.0,10.0,18.0,10.0,6.0,18.0,Tốt
Đông Triều,08/03/2021,13.0,13.0,15.0,20.0,11.0,5.0,20.0,Tốt
Đông Triều,09/03/2021,15.0,11.0,19.0,13.0,9.0,4.0,19.0,Tốt
Đông Triều,10/03/2021,13.0,14.0,15.0,15.0,11.0,5.0,15.0,Tốt
Đông Triều,11/03/2021,15.0,15.0,22.0,14.0,5.0,5.0,22.0,Tốt
Đông Triều,12/03/2021,16.0,16.0,19.0,15.0,3.0,6.0,19.0,Tốt
Đông Triều,13/03/2021,17.0,13.0,20.0,13.0,4.0,5.0,20.0,Tốt
Đông Triều,14/03/2021,13.0,14.0,22.0,13.0,7.0,5.0,22.0,Tốt
Đông Triều,15/03/2021,14.0,17.0,16.0,15.0,7.0,5.0,17.0,Tốt
Đông Triều,16/03/2021,15.0,17.0,17.0,14.0,6.0,5.0,17.0,Tốt
Đông Triều,17/03/2021,15.0,16.0,16.0,11.0,3.0,5.0,16.0,Tốt
Đông Triều,18/03/2021,13.0,10.0,12.0,12.0,4.0,4.0,13.0,Tốt
Đông Triều,19/03/2021,10.0,10.0,5.0,15.0,5.0,5.0,15.0,Tốt
Đông Triều,20/03/2021,10.0,8.0,16.0,8.0,9.0,5.0,16.0,Tốt
Đông Triều,21/03/2021,7.0,6.0,19.0,4.0,3.0,4.0,19.0,Tốt
Đông Triều,22/03/2021,6.0,0.0,0.0,0.0,0.0,0.0,6.0,Tốt
Đông Triều,28/03/2021,0.0,6.0,13.0,16.0,4.0,6.0,16.0,Tốt
Đông Triều,29/03/2021,9.0,8.0,8.0,19.0,7.0,6.0,19.0,Tốt
Đông Triều,30/03/2021,12.0,7.0,9.0,19.0,9.0,6.0,19.0,Tốt
Đông Triều,31/03/2021,11.0,6.0,7.0,16.0,3.0,6.0,16.0,Tốt
Đông Triều,01/04/2021,9.0,6.0,7.0,17.0,5.0,6.0,17.0,Tốt
Đông Triều,02/04/2021,8.0,6.0,11.0,13.0,4.0,7.0,13.0,Tốt
Đông Triều,03/04/2021,8.0,7.0,3.0,13.0,4.0,8.0,13.0,Tốt
Đông Triều,04/04/2021,10.0,8.0,14.0,14.0,4.0,7.0,14.0,Tốt
Đông Triều,05/04/2021,12.0,10.0,23.0,22.0,11.0,8.0,23.0,Tốt
Đông Triều,06/04/2021,14.0,8.0,24.0,16.0,7.0,7.0,24.0,Tốt
Đông Triều,07/04/2021,10.0,6.0,19.0,15.0,4.0,7.0,19.0,Tốt
Đông Triều,08/04/2021,8.0,4.0,10.0,12.0,6.0,7.0,12.0,Tốt
Đông Triều,09/04/2021,6.0,6.0,11.0,17.0,5.0,7.0,17.0,Tốt
