date, pm25, pm10
2023/11/1, 4, 2
2023/11/2, 4, 1
2023/11/3, 2, 
2023/11/15, 2, 1
2023/11/16, 2, 
2023/11/20, 3, 3
2023/11/21, 6, 3
2023/11/22, 5, 3
2023/11/23, 5, 2
2023/11/24, 3, 
2023/10/20, 1, 1
2023/10/21, 1, 
2023/10/23, 2, 2
2023/10/24, 3, 2
2023/10/25, 4, 1
2023/10/26, 2, 2
2023/10/27, 4, 
2023/7/13, 1, 1
2023/7/14, 1, 1
2023/7/15, 1, 1
2023/7/16, 1, 1
2023/7/17, 1, 1
2023/7/18, 1, 1
2023/7/19, 1, 1
2023/7/20, 1, 1
2023/7/21, 1, 1
2023/7/22, 1, 
2023/7/24, 1, 
2023/7/25, 1, 1
2023/7/26, 1, 1
2023/7/27, 1, 1
2023/7/28, 1, 1
2023/7/29, 1, 
2023/7/30, 1, 
2023/7/31, 1, 1
2023/8/1, 1, 1
2023/8/2, 1, 1
2023/8/3, 1, 
2023/8/6, 1, 
2023/8/7, 1, 
2023/8/8, 1, 1
2023/8/9, 1, 1
2023/8/10, 1, 1
2023/8/11, 1, 
2023/8/14, 1, 1
2023/8/15, 1, 1
2023/8/16, 1, 1
2023/8/17, 1, 1
2023/8/18, 1, 1
2023/8/19, 1, 1
2023/8/20, 1, 
2023/8/21, 1, 1
2023/8/22, 1, 1
2023/8/23, 1, 1
2023/8/24, 1, 1
2023/8/25, 1, 1
2023/8/26, 1, 1
2023/8/27, 1, 1
2023/8/28, 1, 1
2023/8/29, 1, 1
2023/8/30, 1, 1
2023/8/31, 1, 1
2023/9/1, 2, 1
2023/9/2, 3, 1
2023/9/3, 2, 1
2023/9/4, 1, 1
2023/9/5, 1, 1
2023/9/6, 1, 1
2023/9/7, 2, 1
2023/9/8, 1, 1
2023/9/9, 1, 
2023/9/10, 1, 
2023/9/11, 2, 2
2023/9/12, 2, 1
2023/9/13, 1, 
2023/4/3, 1, 1
2023/4/4, 1, 1
2023/4/5, 2, 1
2023/4/6, 2, 1
2023/4/7, 1, 1
2023/4/8, 1, 1
2023/4/9, 2, 1
2023/4/10, 2, 1
2023/4/11, 1, 1
2023/4/12, 1, 1
2023/4/13, 1, 1
2023/4/14, 1, 1
2023/4/15, 1, 1
2023/4/16, 1, 1
2023/4/17, 1, 1
2023/4/18, 1, 2
2023/4/19, 3, 1
2023/4/20, 2, 2
2023/4/21, 3, 1
2023/4/22, 1, 1
2023/4/23, 1, 1
2023/4/24, 1, 1
2023/4/25, 1, 1
2023/4/26, 1, 1
2023/4/27, 1, 1
2023/4/28, 1, 
2023/4/29, 1, 1
2023/4/30, 1, 1
2023/5/1, 1, 1
2023/5/2, 1, 1
2023/5/3, 1, 1
2023/5/4, 1, 1
2023/5/5, 1, 1
2023/5/6, 2, 1
2023/5/7, 2, 1
2023/5/8, 1, 1
2023/5/9, 1, 
2023/5/10, 1, 1
2023/5/11, 1, 
2023/5/12, 1, 1
2023/5/13, 1, 1
2023/5/14, 1, 1
2023/5/15, 1, 1
2023/5/16, 1, 1
2023/5/17, 2, 2
2023/5/18, 2, 1
2023/5/19, 2, 1
2023/5/20, 1, 1
2023/5/21, 1, 1
2023/5/22, 1, 1
2023/5/23, 1, 1
2023/5/24, 1, 1
2023/5/25, 1, 1
2023/5/26, 1, 
2023/5/27, 1, 
2023/5/28, 1, 1
2023/5/29, 1, 1
2023/5/30, 1, 1
2023/5/31, 1, 1
2023/6/1, 1, 1
2023/6/2, 1, 1
2023/6/3, 1, 1
2023/6/4, 1, 1
2023/6/5, 1, 1
2023/6/6, 1, 1
2023/6/7, 1, 1
2023/6/8, 1, 1
2023/6/9, 1, 1
2023/6/10, 1, 1
2023/6/11, 1, 1
2023/6/12, 1, 1
2023/6/13, 1, 
2023/6/14, 1, 
2023/6/15, 1, 1
2023/6/16, 1, 1
2023/6/17, 1, 
2023/6/18, 1, 1
2023/6/19, 1, 
2023/6/20, 1, 1
2023/6/21, 1, 1
2023/6/22, 1, 
2023/6/24, 1, 
2023/6/26, 1, 
2023/6/29, 1, 
2023/1/3, 8, 9
2023/1/4, 14, 7
2023/1/5, 10, 4
2023/1/6, 7, 6
2023/1/7, 9, 11
2023/1/8, 16, 10
2023/1/9, 16, 9
2023/1/10, 15, 4
2023/1/11, 7, 3
2023/1/12, 4, 3
2023/1/13, 5, 5
2023/1/14, 8, 4
2023/1/15, 6, 2
2023/1/16, 3, 5
2023/1/17, 7, 
2023/1/19, 10, 13
2023/1/20, 21, 12
2023/1/21, 20, 11
2023/1/22, 19, 7
2023/1/23, 12, 3
2023/1/24, 4, 7
2023/1/25, 8, 8
2023/1/26, 11, 7
2023/1/27, 10, 6
2023/1/28, 7, 8
2023/1/29, 10, 14
2023/1/30, 19, 10
2023/1/31, 13, 
2023/2/10, 3, 2
2023/2/11, 3, 3
2023/2/12, 4, 3
2023/2/13, 5, 3
2023/2/14, 4, 3
2023/2/15, 5, 5
2023/2/16, 8, 8
2023/2/17, 12, 4
2023/2/18, 6, 7
2023/2/19, 11, 4
2023/2/20, 6, 6
2023/2/21, 9, 5
2023/2/22, 5, 4
2023/2/23, 4, 3
2023/2/24, 3, 2
2023/2/25, 3, 3
2023/2/26, 5, 4
2023/2/27, 6, 5
2023/2/28, 6, 4
2023/3/1, 5, 7
2023/3/2, 11, 6
2023/3/3, 9, 3
2023/3/4, 4, 4
2023/3/5, 6, 
2023/3/7, 3, 2
2023/3/8, 2, 4
2023/3/9, 5, 4
2023/3/10, 6, 1
2023/3/11, 2, 2
2023/3/12, 3, 2
2023/3/13, 2, 4
2023/3/14, 3, 2
2023/3/15, 2, 1
2023/3/16, 1, 1
2023/3/17, 1, 1
2023/3/18, 1, 1
2023/3/19, 1, 1
2023/3/20, 1, 1
2023/3/21, 2, 3
2023/3/22, 4, 3
2023/3/23, 4, 2
2023/3/24, 3, 1
2023/3/25, 1, 1
2023/3/26, 1, 1
2023/3/27, 1, 1
2023/3/28, 1, 1
2023/3/29, 1, 1
2023/3/30, 1, 1
2023/3/31, 1, 
2022/10/4, 1, 1
2022/10/5, 2, 1
2022/10/6, 2, 1
2022/10/7, 2, 1
2022/10/8, 2, 1
2022/10/9, 2, 1
2022/10/10, 1, 2
2022/10/11, 2, 2
2022/10/12, 2, 3
2022/10/13, 4, 4
2022/10/14, 5, 3
2022/10/15, 4, 4
2022/10/16, 6, 3
2022/10/17, 3, 3
2022/10/18, 4, 4
2022/10/19, 5, 1
2022/10/20, 1, 1
2022/10/21, 1, 1
2022/10/22, 1, 2
2022/10/23, 3, 3
2022/10/24, 5, 2
2022/10/25, 3, 3
2022/10/26, 5, 2
2022/10/27, 1, 2
2022/10/28, 2, 3
2022/10/29, 5, 3
2022/10/30, 5, 1
2022/10/31, 2, 2
2022/11/1, 2, 3
2022/11/2, 3, 5
2022/11/3, 6, 4
2022/11/4, 5, 3
2022/11/5, 4, 4
2022/11/6, 4, 4
2022/11/7, 5, 5
2022/11/8, 7, 7
2022/11/9, 9, 5
2022/11/10, 6, 4
2022/11/11, 5, 3
2022/11/12, 2, 4
2022/11/13, 4, 4
2022/11/14, 4, 4
2022/11/15, 3, 
2022/11/24, 1, 3
2022/11/25, 3, 2
2022/11/26, 4, 3
2022/11/27, 2, 2
2022/11/28, 1, 3
2022/11/29, 2, 2
2022/11/30, 1, 1
2022/12/1, 1, 3
2022/12/2, 2, 4
2022/12/3, 5, 3
2022/12/4, 4, 2
2022/12/5, 1, 5
2022/12/6, 6, 9
2022/12/7, 12, 5
2022/12/8, 6, 6
2022/12/9, 7, 4
2022/12/10, 6, 6
2022/12/11, 8, 7
2022/12/12, 10, 9
2022/12/13, 12, 9
2022/12/14, 11, 11
2022/12/15, 14, 14
2022/12/16, 18, 9
2022/12/17, 8, 5
2022/12/18, 4, 11
2022/12/19, 12, 14
2022/12/20, 16, 17
2022/12/21, 17, 14
2022/12/22, 16, 8
2022/12/23, 9, 8
2022/12/24, 9, 11
2022/12/25, 11, 11
2022/12/26, 13, 7
2022/12/27, 9, 1
2022/12/28, 2, 2
2022/12/29, 3, 
2022/7/1, 2, 1
2022/7/2, 1, 1
2022/7/3, 1, 2
2022/7/4, 2, 1
2022/7/5, 1, 2
2022/7/6, 3, 1
2022/7/7, 1, 1
2022/7/8, 1, 1
2022/7/9, 1, 1
2022/7/10, 2, 1
2022/7/11, 1, 1
2022/7/12, 1, 1
2022/7/13, 1, 1
2022/7/14, 1, 1
2022/7/15, 1, 1
2022/7/16, 1, 1
2022/7/17, 1, 1
2022/7/18, 1, 1
2022/7/19, 1, 1
2022/7/20, 1, 1
2022/7/21, 1, 1
2022/7/22, 1, 2
2022/7/23, 2, 1
2022/7/24, 1, 1
2022/7/25, 1, 2
2022/7/26, 1, 2
