địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Đức Hòa,11/24/2023,35.9,0,9,0,0,0,35.9,Tốt
Đức Hòa,11/23/2023,40.5,0,13,12,13,8,40.5,Tốt
Đức Hòa,11/22/2023,50.7,0,10,9,14,8,50.7,Nguy hiểm
Đức Hòa,11/21/2023,51.2,0,9,10,15,8,51.2,Vừa Phải
Đức Hòa,11/20/2023,67.8,0,8,10,14,8,67.8,Vừa Phải
Đức Hòa,11/19/2023,43.2,0,11,9,14,8,43.2,Tốt
Đức Hòa,11/18/2023,45.9,0,10,8,14,8,45.9,Tốt
Đức Hòa,11/17/2023,38.2,0,18,7,15,7,38.2,Tốt
Đức Hòa,11/16/2023,27.6,0,20,8,15,8,27.6,Tốt
Đức Hòa,11/15/2023,35.6,0,25,12,15,8,35.6,Tốt
Đức Hòa,11/14/2023,29,0,7,9,14,9,29,Tốt
Đức Hòa,11/13/2023,0,0,0,11,13,9,13,Tốt
Đức Hòa,11/12/2023,52.5,0,30,0,0,0,52.5,Vừa Phải
Đức Hòa,11/11/2023,69.5,0,14,13,13,11,69.5,Vừa Phải
Đức Hòa,11/10/2023,61.7,0,17,8,13,7,61.7,Vừa Phải
Đức Hòa,11/9/2023,0,0,58,5,17,6,58,Vừa Phải
Đức Hòa,11/8/2023,26.7,0,21,2,1,5,26.7,Tốt
Đức Hòa,11/7/2023,55.8,0,24,5,0,6,55.8,Vừa Phải
Đức Hòa,11/6/2023,0,0,26,3,0,5,26,Tốt
Đức Hòa,11/5/2023,0,0,0,0,0,3,3,Tốt
Đức Hòa,11/4/2023,0,0,0,0,0,2,2,Tốt
Đức Hòa,11/3/2023,0,0,0,2,1,3,3,Tốt
Đức Hòa,11/1/2023,0,0,27,5,3,3,27,Tốt
Đức Hòa,10/31/2023,27.5,0,20,8,13,8,27.5,Tốt
Đức Hòa,10/30/2023,32.8,0,15,9,13,8,32.8,Tốt
Đức Hòa,10/29/2023,92.6,0,15,7,13,7,92.6,Vừa Phải
Đức Hòa,10/28/2023,24.4,0,17,7,13,7,24.4,Tốt
Đức Hòa,10/27/2023,60.8,0,21,8,13,7,60.8,Vừa Phải
Đức Hòa,10/26/2023,73.4,0,27,10,13,10,73.4,Vừa Phải
Đức Hòa,10/25/2023,168.7,0,37,13,13,11,168.7,Không tốt
Đức Hòa,10/24/2023,90.9,0,51,12,13,9,90.9,Vừa Phải
Đức Hòa,10/23/2023,61,0,14,9,13,8,61,Vừa Phải
Đức Hòa,10/22/2023,54.8,0,13,7,13,7,54.8,Vừa Phải
Đức Hòa,10/21/2023,33.2,0,14,7,13,8,33.2,Tốt
Đức Hòa,10/20/2023,20,0,13,10,14,9,20,Tốt
Đức Hòa,10/19/2023,14.3,0,15,9,13,8,15,Tốt
Đức Hòa,10/18/2023,22.8,0,14,8,13,8,22.8,Tốt
Đức Hòa,10/17/2023,71.7,0,14,5,13,7,71.7,Vừa Phải
