date,min,max,median,q1,q3,stdev,count
2022-11-19T00:00:00.000Z,0,31,0.5,0.2,1,1.671,481
2022-11-20T00:00:00.000Z,0,34.8,0.8,0.3,2.1,2.613,606
2022-11-21T00:00:00.000Z,0,63.8,1.8,0.7,5.8,10.565,657
2022-11-22T00:00:00.000Z,0.2,48.8,3.1,1.9,7.95,5.568,660
2022-11-23T00:00:00.000Z,0.1,114.5,7.5,4.09,17.05,14.188,677
2022-11-24T00:00:00.000Z,1.2,49.9,5.1,3.8,7.6,5.885,665
2022-11-25T00:00:00.000Z,0.1,58.8,5,1.95,6.9,5.39,664
2022-11-26T00:00:00.000Z,0,31.4,1.8,0.7,3.9,4.578,640
2022-11-27T00:00:00.000Z,0,71.3,4.2,1.7,9.5,9.541,641
2022-11-28T00:00:00.000Z,0,168,6.05,1.7,15.35,14.097,644
2022-11-29T00:00:00.000Z,2,271.5,9.9,7.8,16.7,22.425,663
2022-11-30T00:00:00.000Z,1.5,104,5.35,3.8,10.6,10.986,636
2022-12-01T00:00:00.000Z,0,11.3,2,1.2,3.1,1.586,588
2022-12-02T00:00:00.000Z,0,20.7,1.5,0.6,2.5,2.116,613
2022-12-03T00:00:00.000Z,0,12.1,0.9,0.3,2.4,1.656,605
2022-12-04T00:00:00.000Z,0,27.2,1.3,0.5,2.4,1.814,639
2022-12-05T00:00:00.000Z,0,78.6,1.9,1.1,3.2,11.91,652
2022-12-06T00:00:00.000Z,0,16.2,0.9,0.4,1.9,1.554,642
2022-12-07T00:00:00.000Z,0,94.4,2,1,3.4,11.881,634
2022-12-08T00:00:00.000Z,0,33.5,2.35,1.2,3.6,5.058,648
2022-12-09T00:00:00.000Z,0.1,93.3,3.5,1.8,5.4,6.659,677
2022-12-10T00:00:00.000Z,0.5,64.1,6.3,3.7,10.4,10.153,670
2022-12-11T00:00:00.000Z,2.1,373.3,12.8,9.1,25.5,30.525,671
2022-12-12T00:00:00.000Z,4.5,35.2,11.6,8,18.89,5.669,680
2022-12-13T00:00:00.000Z,0.2,48.7,10.2,6.5,15,8.997,672
2022-12-14T00:00:00.000Z,0.5,89.2,4.2,1.8,7.4,6.6,670
2022-12-15T00:00:00.000Z,0.4,80.1,3.8,2.4,10.6,13.343,642
2022-12-16T00:00:00.000Z,0.8,72.4,3.8,2.9,5.7,5.627,659
2022-12-17T00:00:00.000Z,0,6.9,1.5,0.4,2.5,1.515,582
