date,median
2022-11-19,0.4
2022-11-20,0.6
2022-11-21,1.7
2022-11-22,2.8
2022-11-23,7
2022-11-24,4.8
2022-11-25,4.55
2022-11-26,1.6
2022-11-27,3.65
2022-11-28,4.8
2022-11-29,9.1
2022-11-30,4.9
2022-12-01,1.6
2022-12-02,1.2
2022-12-03,0.9
2022-12-04,1.1
2022-12-05,1.6
2022-12-06,0.8
2022-12-07,1.7
2022-12-08,1.8
2022-12-09,3
2022-12-10,5.9
2022-12-11,11.9
2022-12-12,10.7
2022-12-13,9.3
2022-12-14,3.8
2022-12-15,3.4
2022-12-16,3.4
2022-12-17,1.2
2022-12-18,1.1
2022-12-19,1.6
2022-12-20,2.4
2022-12-21,1.5
2022-12-22,23.8
2022-12-23,14.6
2022-12-24,10.3
2022-12-25,17
2022-12-26,13.75
2022-12-27,13.5
2022-12-28,8
2022-12-29,6.1
2022-12-30,10.45
2022-12-31,8.19
2023-01-01,2.5
2023-01-02,1.1
2023-01-03,1.5
2023-01-04,2.4
2023-01-05,1.5
2023-01-06,1.2
2023-01-07,0.4
2023-01-08,0.8
2023-01-09,0.5
2023-01-10,0.9
2023-01-11,6.1
2023-01-12,25.7
2023-01-13,19.5
2023-01-14,33.6
2023-01-15,34.2
2023-01-16,12.75
2023-01-17,5.8
2023-01-18,3
2023-01-19,3.7
2023-01-20,1.9
2023-01-21,2.4
2023-01-22,2.1
2023-01-23,2.9
2023-01-24,3.6
2023-01-25,3.2
2023-01-26,2.3
2023-01-27,0.8
2023-01-28,5.2
2023-01-29,5.3
2023-01-30,6
2023-01-31,7.3
2023-02-01,2.6
2023-02-02,2.7
2023-02-03,3.7
2023-02-04,6.3
2023-02-05,37.3
2023-02-06,25.25
2023-02-07,25.1
2023-02-08,13.6
2023-02-09,27
2023-02-10,44
2023-02-11,53.95
2023-02-12,44.55
2023-02-13,45.6
2023-02-14,21.1
2023-02-15,15.9
2023-02-16,14
2023-02-17,2.2
2023-02-18,5.8
2023-02-19,5.8
2023-02-20,10.5
2023-02-21,17.1
2023-02-22,3.4
2023-02-23,14.9
2023-02-24,29.75
2023-02-25,32
2023-02-26,13
2023-02-27,0.9
2023-02-28,2.5
2023-03-01,10
2023-03-02,18.6
2023-03-03,24.9
2023-03-04,32.7
2023-03-05,39.7
2023-03-06,46.1
2023-03-07,59.6
2023-03-08,41.55
2023-03-09,70.8
2023-03-10,64.7
2023-03-11,58
2023-03-12,36.2
2023-03-13,32.6
2023-03-14,39.9
2023-03-15,49.4
2023-03-16,58.15
2023-03-17,79.15
2023-03-18,77
2023-03-19,95.3
2023-03-20,66.09
2023-03-21,65.9
2023-03-22,87.8
2023-03-23,68.05
2023-03-24,67.59
2023-03-25,63.45
2023-03-26,104.3
2023-03-27,77.4
2023-03-28,38.65
2023-03-29,43.5
2023-03-30,52.5
2023-03-31,48.4
2023-04-01,53.3
2023-04-02,56.4
2023-04-03,52.8
2023-04-04,51.4
2023-04-05,45.5
2023-04-06,48.6
2023-04-07,52.65
2023-04-08,51.1
2023-04-09,52.1
2023-04-10,64.4
2023-04-11,77.5
2023-04-12,88.8
2023-04-13,72.9
2023-04-14,80.1
2023-04-15,72.6
2023-04-16,52.4
2023-04-17,50.8
2023-04-18,45.2
2023-04-19,49.2
2023-04-20,52.6
2023-04-21,47.1
2023-04-22,48.9
2023-04-23,44.4
2023-04-24,37.6
2023-04-25,26.9
2023-04-26,37.6
2023-04-27,36.75
2023-04-28,36.4
2023-04-29,41.6
2023-04-30,22
2023-05-01,27.6
2023-05-02,30.1
2023-05-03,32.2
2023-05-04,50.4
2023-05-05,42.5
2023-05-06,44
2023-05-07,36.2
2023-05-15,19.5
2023-05-16,31.2
2023-05-17,41.2
2023-05-18,34.8
2023-05-19,38.8
2023-05-20,30.8
2023-05-21,16.8
2023-05-22,20.7
2023-05-23,27.5
2023-05-24,39.1
2023-05-25,26.5
2023-05-26,16.39
2023-05-27,8.5
2023-05-28,11.55
2023-05-29,15.5
2023-05-30,17.7
2023-05-31,14.45
2023-06-01,13
2023-06-02,17.89
2023-06-03,17
2023-06-04,9.55
2023-06-05,4.3
2023-06-06,6.8
2023-06-07,12.6
2023-06-08,13.7
2023-06-09,4.5
2023-06-10,6.9
2023-06-11,6.4
2023-06-12,7.7
2023-06-13,19.6
2023-06-14,7.8
2023-06-15,9.8
2023-06-16,12.2
2023-06-17,6
2023-06-18,10.35
2023-06-19,14.7
2023-06-20,10.6
2023-06-21,14.2
2023-06-22,17.39
2023-06-23,16.95
2023-06-24,19.8
2023-06-25,15.4
2023-06-26,15.3
2023-06-27,14.6
2023-06-28,12.05
2023-06-29,21.3
2023-06-30,16
2023-07-01,6.25
2023-07-02,10
2023-07-03,13.55
2023-07-04,12.1
2023-07-05,12.9
2023-07-06,27.6
2023-07-07,17.7
2023-07-08,16.14
2023-07-09,8.3
2023-07-10,14
2023-07-11,24.4
2023-07-12,10.9
2023-07-13,8.3
2023-07-14,8.19
2023-07-15,8.19
2023-07-16,9.85
2023-07-17,4.7
2023-07-18,8.7
2023-07-19,8.2
2023-07-20,8
2023-07-21,11.9
2023-07-22,12.7
2023-07-23,3.4
2023-07-24,4.2
2023-07-25,4.5
2023-07-26,4.34
2023-07-27,5.6
2023-07-28,7.2
2023-07-29,4.4
2023-07-30,3.6
2023-07-31,4.7
2023-08-01,11
2023-08-02,9.9
2023-08-03,7.3
2023-08-04,10.7
2023-08-05,13.5
2023-08-06,9.4
2023-08-07,6.2
2023-08-08,11.4
2023-08-09,15.2
2023-08-10,23.6
2023-08-11,18.7
2023-08-12,10.8
2023-08-13,15.7
2023-08-14,10.1
2023-08-15,12.5
2023-08-16,11.05
2023-08-17,11.7
2023-08-18,20
2023-08-19,20.55
2023-08-20,12.8
2023-08-21,12.4
2023-08-22,9.3
2023-08-23,15.7
2023-08-24,20
2023-08-25,15.7
2023-08-26,6.1
2023-08-27,6.2
2023-08-28,8.65
2023-08-29,5.5
2023-08-30,4.7
2023-08-31,2.29
2023-09-01,3.4
2023-09-02,2.7
2023-09-03,5.3
2023-09-04,5.7
2023-09-05,5.4
2023-09-06,14.7
2023-09-07,11.4
2023-09-08,16
2023-09-09,9.5
2023-09-10,6.2
2023-09-18,10.4
2023-09-19,8.5
2023-09-20,15
2023-09-21,10.8
2023-09-22,9.2
2023-09-23,18.9
2023-09-24,8.3
2023-09-25,8.4
2023-09-26,6.4
2023-09-27,8.85
2023-09-28,11.2
2023-09-29,3.9
2023-09-30,2.8
2023-10-01,3.3
2023-10-02,6.1
2023-10-03,10.6
2023-10-04,10.8
2023-10-05,22
2023-10-06,10.9
2023-10-07,7.1
2023-10-08,2.45
2023-10-09,3.3
2023-10-10,4.2
2023-10-11,14.4
2023-10-12,11.1
2023-10-13,14.85
2023-10-14,9.1
2023-10-15,4.5
2023-10-16,9.4
2023-10-17,13.85
2023-10-18,11.2
2023-10-19,12.45
2023-10-20,10.1
2023-10-21,5.7
2023-10-22,8
2023-10-23,8.8
2023-10-24,6.4
2023-10-25,6.4
2023-10-26,7.9
2023-10-27,12.55
2023-10-28,10.19
2023-10-29,6.5
2023-10-30,3.1
2023-10-31,1.9
2023-11-01,7.8
2023-11-02,10
2023-11-03,3.4
2023-11-04,4.1
2023-11-05,9.2
2023-11-06,3.9
2023-11-07,5.8
2023-11-08,4.8
2023-11-09,6.5
2023-11-10,10.8
2023-11-11,6.5
2023-11-12,3.2
2023-11-13,0.8
2023-11-14,2.7
2023-11-15,1.5
2023-11-16,0.5
2023-11-17,4.3
2023-11-18,5
2023-11-19,3.3
2023-11-20,4.8
2023-11-21,6
2023-11-22,6.1
2023-11-23,4
2023-11-24,5.3
