date,pm25,pm10
19/11/2022,26.5,31
20/11/2022,29.4,34.8
21/11/2022,54,63.8
22/11/2022,43.5,48.8
23/11/2022,110.6,114.5
24/11/2022,41.8,49.9
25/11/2022,46.7,58.8
26/11/2022,28.7,31.4
27/11/2022,63.4,71.3
28/11/2022,134.2,168
29/11/2022,229.7,271.5
30/11/2022,95.9,104
1/12/2022,9.5,11.3
2/12/2022,17.7,20.7
3/12/2022,10,12.1
4/12/2022,23.3,27.2
5/12/2022,66,78.6
6/12/2022,13.8,16.2
7/12/2022,77.6,94.4
8/12/2022,30.2,33.5
9/12/2022,74.1,93.3
10/12/2022,53.4,64.1
11/12/2022,300.8,373.3
12/12/2022,29.9,35.2
13/12/2022,39.8,48.7
14/12/2022,78.3,89.2
15/12/2022,69.9,80.1
16/12/2022,63.8,72.4
17/12/2022,6.7,6.9
18/12/2022,10.9,12.2
19/12/2022,9.8,10.5
20/12/2022,38,45.5
21/12/2022,26.4,28.4
22/12/2022,279.1,333.8
23/12/2022,103.6,121.1
24/12/2022,37.5,42.2
25/12/2022,56.2,67.8
26/12/2022,157.7,175.8
27/12/2022,119.2,139.1
28/12/2022,54.2,66.8
29/12/2022,63.9,73
30/12/2022,20.9,24.4
31/12/2022,36.7,45.1
1/01/2023,183.8,205.8
2/01/2023,74.8,82.2
3/01/2023,49.3,62.3
4/01/2023,59.9,73.8
5/01/2023,33.3,40.7
6/01/2023,60.3,73.6
7/01/2023,15.9,18.6
8/01/2023,88.1,102
9/01/2023,41.6,50.7
10/01/2023,9.8,10.5
11/01/2023,37.6,45.2
12/01/2023,56.5,68.9
13/01/2023,125.4,143.6
14/01/2023,101.8,114.4
15/01/2023,175.3,202.4
16/01/2023,71,78.6
17/01/2023,27.8,32.9
18/01/2023,39,47.2
19/01/2023,56,67.6
20/01/2023,30.1,33.2
21/01/2023,830.1,1088.3
22/01/2023,141.2,157.1
23/01/2023,115.4,123
24/01/2023,19.5,20.9
25/01/2023,51.9,60.6
26/01/2023,204.6,211.5
27/01/2023,8,9.2
28/01/2023,15.1,16.5
29/01/2023,17.2,19.7
30/01/2023,32.7,41.5
31/01/2023,128.9,166.6
1/02/2023,205.4,242.4
2/02/2023,297.8,331
3/02/2023,33.8,38.8
4/02/2023,116.3,124.5
5/02/2023,538.7,669
6/02/2023,75.7,84.6
7/02/2023,89.4,97.2
8/02/2023,88.4,102.2
9/02/2023,107,115
10/02/2023,86.7,95.2
11/02/2023,449.9,540.1
12/02/2023,154.5,188.4
13/02/2023,164,179.6
14/02/2023,92.7,99.5
15/02/2023,39,47.8
16/02/2023,57.6,68.8
17/02/2023,17.8,19.5
18/02/2023,188.1,222.4
19/02/2023,65.8,76.1
20/02/2023,40.5,48.8
21/02/2023,45.6,52.5
22/02/2023,50.7,64
23/02/2023,110.1,129.5
24/02/2023,200.9,229.4
25/02/2023,79.7,87.8
26/02/2023,27.9,32.2
27/02/2023,39,47.8
28/02/2023,30.5,34.1
1/03/2023,47.2,58.6
2/03/2023,226.3,329.5
3/03/2023,115.8,126.6
4/03/2023,70.6,79.1
5/03/2023,136.1,148.5
6/03/2023,165,178.2
7/03/2023,155.3,172.8
8/03/2023,1038.2,1561.7
9/03/2023,217.2,244.9
10/03/2023,169.7,185.4
11/03/2023,901.8,1298.8
12/03/2023,145.3,165
13/03/2023,70.3,79.1
14/03/2023,85.2,92
15/03/2023,87.5,95.2
16/03/2023,229.5,259.2
17/03/2023,210.7,234
18/03/2023,177.1,195.6
19/03/2023,191,221.1
20/03/2023,201,223.5
21/03/2023,197.6,206.2
22/03/2023,292.3,329.9
23/03/2023,127.6,139.7
24/03/2023,253.2,304.5
25/03/2023,251.8,277.3
26/03/2023,213.5,244.3
27/03/2023,166.7,181.1
28/03/2023,158.6,170.8
29/03/2023,184.7,203.4
30/03/2023,121.6,131.5
31/03/2023,143.1,158.7
1/04/2023,175,204.3
2/04/2023,341.7,386.7
3/04/2023,139,153.8
4/04/2023,155.1,163.8
5/04/2023,308.6,328.4
6/04/2023,222.1,248.6
7/04/2023,148.6,169
8/04/2023,237.8,274.5
9/04/2023,92.5,100.6
10/04/2023,157.9,174.2
11/04/2023,165.9,179.9
12/04/2023,1189.3,1826.4
13/04/2023,145,155.3
14/04/2023,155.6,166.8
15/04/2023,122.6,135.9
16/04/2023,250.4,280
17/04/2023,266.3,307.5
18/04/2023,85.1,95.3
19/04/2023,235.3,277.6
20/04/2023,183.3,204.4
21/04/2023,128.5,145.1
22/04/2023,282,322.8
23/04/2023,466.3,531.5
24/04/2023,190.3,215.8
25/04/2023,75.3,82.8
26/04/2023,106.7,114.5
27/04/2023,77.2,86.1
28/04/2023,71.4,82.5
29/04/2023,114.8,130.4
30/04/2023,86,102
1/05/2023,72.6,83.2
2/05/2023,108.3,121.5
3/05/2023,480.8,571.8
4/05/2023,515.5,622
5/05/2023,145.9,168.5
6/05/2023,101.1,108.6
7/05/2023,80.8,94.7
15/05/2023,94.9,103.6
16/05/2023,148.3,163.2
17/05/2023,116.1,133.1
18/05/2023,95.6,104.5
19/05/2023,382.5,386.1
20/05/2023,89,100.7
21/05/2023,91.4,97
22/05/2023,99.4,111.4
23/05/2023,73.1,82
24/05/2023,848.4,1154.6
25/05/2023,220.7,276.6
26/05/2023,142.5,164.4
27/05/2023,82.1,89.1
28/05/2023,121.4,125.2
29/05/2023,123.4,144.3
30/05/2023,104.6,113.7
31/05/2023,108,121.1
1/06/2023,125.1,136
2/06/2023,167.5,177.5
3/06/2023,72.5,81.6
4/06/2023,86.5,94.7
5/06/2023,87.1,97.2
6/06/2023,59.2,65.3
7/06/2023,197.1,248.1
8/06/2023,57.8,67
9/06/2023,47.2,54.5
10/06/2023,70.2,80.4
11/06/2023,60.6,67.8
12/06/2023,55.5,62.7
13/06/2023,80.4,88.6
14/06/2023,155.2,172.5
15/06/2023,81,89.2
16/06/2023,188.6,225.6
17/06/2023,162.7,167.9
18/06/2023,124.5,128.1
19/06/2023,319.9,355.5
20/06/2023,156.9,184.7
21/06/2023,69.7,76.8
22/06/2023,82,86.1
23/06/2023,111.3,122.4
24/06/2023,69.5,78.5
25/06/2023,72,80.8
26/06/2023,82,88.2
27/06/2023,262.3,292.6
28/06/2023,164.8,175.5
29/06/2023,79.3,87.6
30/06/2023,112.9,128.7
1/07/2023,123.6,138.4
2/07/2023,133.6,143.2
3/07/2023,162.9,167.7
4/07/2023,141.1,154.7
5/07/2023,112,123.9
6/07/2023,88.7,98
7/07/2023,248.4,299.2
8/07/2023,79.5,86.8
9/07/2023,771.8,1132
10/07/2023,77.1,85.6
11/07/2023,64.8,73
12/07/2023,54.1,60.3
13/07/2023,46.6,53.1
14/07/2023,125.4,137.9
15/07/2023,58,67.2
16/07/2023,388.2,431.2
17/07/2023,51.5,57.9
18/07/2023,627.2,803.6
19/07/2023,189.4,214.4
20/07/2023,68.7,74.6
21/07/2023,147.3,158.8
22/07/2023,172.9,195.8
23/07/2023,66.9,74.7
24/07/2023,74.6,84.1
25/07/2023,53.6,62.8
26/07/2023,56.1,60.1
27/07/2023,89,97.8
28/07/2023,117.8,131.8
29/07/2023,60.2,67.6
30/07/2023,42,46.6
31/07/2023,102.1,105.7
1/08/2023,121,143.2
2/08/2023,84.8,94.3
3/08/2023,49.2,55
4/08/2023,61,69.8
5/08/2023,44.1,50.9
6/08/2023,58.6,64.4
7/08/2023,86.1,100.3
8/08/2023,73,84.1
9/08/2023,113.4,121.5
10/08/2023,78.6,85
11/08/2023,79.8,87
12/08/2023,71.2,80.1
13/08/2023,56.8,63.4
14/08/2023,48.8,54.3
15/08/2023,103.7,109.5
16/08/2023,108.5,117.5
17/08/2023,85.6,93.6
18/08/2023,1194.7,2080.2
19/08/2023,354.8,435.5
20/08/2023,99.9,112.6
21/08/2023,49.5,61.2
22/08/2023,52.8,61.1
23/08/2023,56,70.3
24/08/2023,155.6,185.6
25/08/2023,79,86.5
26/08/2023,62,73.2
27/08/2023,39,42.2
28/08/2023,87.8,101.8
29/08/2023,153.1,160.5
30/08/2023,109.2,122.4
31/08/2023,31.2,35.1
1/09/2023,22.5,25.8
2/09/2023,32.6,39
3/09/2023,57.9,65.3
4/09/2023,109.6,121.7
5/09/2023,108,123.9
6/09/2023,172.5,189.8
7/09/2023,334,381
8/09/2023,118.6,135
9/09/2023,99.9,112.6
10/09/2023,38,46
18/09/2023,158.2,189.4
19/09/2023,50.6,58.9
20/09/2023,41.5,52
21/09/2023,80.5,94.6
22/09/2023,63.1,73.8
23/09/2023,219,236.4
24/09/2023,125.2,134.7
25/09/2023,48.2,57.3
26/09/2023,61.5,70.8
27/09/2023,93.4,104.5
28/09/2023,102,108.2
29/09/2023,217.4,243.2
30/09/2023,220.8,230.8
1/10/2023,79.5,88.3
2/10/2023,156.9,179.3
3/10/2023,41.2,50.9
4/10/2023,81.2,90.3
5/10/2023,124.2,138.3
6/10/2023,102.4,117.5
7/10/2023,39.7,48.4
8/10/2023,70.3,84.9
9/10/2023,54.7,66
10/10/2023,58.5,68.7
11/10/2023,61,71.9
12/10/2023,102.6,119.9
13/10/2023,122.1,134.4
14/10/2023,130.6,144.2
15/10/2023,104.1,108.9
16/10/2023,135.1,144.9
17/10/2023,277.3,319.5
18/10/2023,111,122.5
19/10/2023,136.1,154.6
20/10/2023,43.5,53.9
21/10/2023,56.3,68.2
22/10/2023,39.2,47.8
23/10/2023,180.6,209.9
24/10/2023,70,89.2
25/10/2023,95.2,105.6
26/10/2023,140.7,152.8
27/10/2023,417.3,563.4
28/10/2023,248.8,298.2
29/10/2023,165.3,172.9
30/10/2023,39.5,48.4
31/10/2023,10.4,11.7
1/11/2023,36,44.6
2/11/2023,58,69.5
3/11/2023,64.5,76
4/11/2023,70.9,81.6
5/11/2023,74.9,85.8
6/11/2023,37.1,46.5
7/11/2023,53.2,67
8/11/2023,21,24.2
9/11/2023,115,126.8
10/11/2023,58.2,71.4
11/11/2023,85.4,91.1
12/11/2023,188.9,206.9
13/11/2023,24,28
14/11/2023,30.6,38.6
15/11/2023,62.5,74
16/11/2023,27.6,32.2
17/11/2023,29.2,36.4
18/11/2023,14.2,17.4
19/11/2023,31.3,42.8
20/11/2023,17.6,20.5
21/11/2023,88,102.4
22/11/2023,47,58.9
23/11/2023,61.2,70.1
24/11/2023,7.7,15.4
