,Unnamed: 0,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,0,Đông Tân,2021-12-27,0,59,10,0,0,4,59
1,1,Đông Tân,2021-12-28,55,57,15,0,0,3,57
2,2,Đông Tân,2021-12-29,49,66,21,0,0,3,66
3,3,Đông Tân,2021-12-30,48,93,15,0,0,3,93
4,4,Đông Tân,2021-12-31,78,90,19,0,0,4,90
5,5,Đông Tân,2022-01-01,92,103,18,0,0,3,103
6,6,Đông Tân,2022-01-02,81,217,22,0,0,5,217
7,7,Đông Tân,2022-01-03,166,193,19,0,0,6,193
8,8,Đông Tân,2022-01-04,176,147,8,0,0,5,176
9,9,Đông Tân,2022-01-05,147,140,10,0,0,5,147
10,10,Đông Tân,2022-01-06,138,68,15,0,0,3,138
11,11,Đông Tân,2022-01-07,75,78,24,0,0,4,78
12,12,Đông Tân,2022-01-08,106,55,13,0,0,4,106
13,13,Đông Tân,2022-01-09,45,28,11,0,0,4,45
14,14,Đông Tân,2022-01-10,31,86,24,0,0,3,86
15,15,Đông Tân,2022-01-11,57,119,21,0,0,4,119
16,16,Đông Tân,2022-01-12,99,74,20,0,0,4,99
17,17,Đông Tân,2022-01-13,76,75,14,0,0,4,76
18,18,Đông Tân,2022-01-14,109,173,13,0,0,6,173
19,19,Đông Tân,2022-01-15,162,138,10,0,0,4,162
20,20,Đông Tân,2022-01-16,131,5,18,0,0,4,131
21,21,Đông Tân,2022-01-17,8,6,26,0,0,5,26
22,22,Đông Tân,2022-01-18,8,8,26,0,0,4,26
23,23,Đông Tân,2022-01-19,7,27,16,0,0,4,27
24,24,Đông Tân,2022-01-20,35,50,5,0,0,4,50
25,25,Đông Tân,2022-01-21,75,23,4,0,0,4,75
26,26,Đông Tân,2022-01-22,38,61,7,0,0,4,61
27,27,Đông Tân,2022-01-23,78,115,9,0,0,4,115
28,28,Đông Tân,2022-01-24,117,56,8,0,0,3,117
29,29,Đông Tân,2022-01-25,64,84,10,0,0,4,84
30,30,Đông Tân,2022-01-26,98,39,14,0,0,2,98
31,31,Đông Tân,2022-01-27,50,35,20,0,0,2,50
32,32,Đông Tân,2022-01-28,47,10,14,0,0,4,47
