date, pm25, pm10, o3, no2, so2, co
2023/10/1, 73, 56, 35, 5, 5, 1
2023/10/2, 88, 76, 34, 9, 5, 1
2023/10/3, 133, 71, 48, 9, 5, 1
2023/10/4, 124, 62, 79, 5, 27, 1
2023/10/5, 101, 57, 49, 4, 3, 1
2023/10/6, 91, 57, 28, 5, 4, 1
2023/10/7, 82, 68, 23, 3, 5, 1
2023/10/8, 80, 81, 20, 8, 8, 1
2023/10/9, 101, 60, 25, 7, 7, 1
2023/10/10, 78, 58, 21, 10, 7, 1
2023/10/11, 101, 44, 16, 8, 8, 1
2023/10/12, 68, 67, 17, 5, 8, 1
2023/10/13, 99, 76, 24, 4, 8, 1
2023/10/14, 124, 69, 19, 13, 9, 
2023/10/15, 94, 100, 23, 30, 10, 
2023/10/16, 162, 106, 17, 19, 11, 
2023/10/17, 173, 134, 28, 16, 12, 
2023/10/18, 212, 148, 18, 10, 13, 
2023/10/19, 241, , , , , 
2023/8/17, 75, 55, 45, 8, 9, 3
2023/8/18, 78, 56, 17, 9, 9, 5
2023/8/19, 92, 38, 17, 7, 10, 4
2023/8/20, 58, 45, 16, 7, , 4
2023/8/21, 56, 47, 21, 6, 9, 4
2023/8/22, 66, 43, 28, 4, 10, 3
2023/8/23, 57, 46, 15, 9, 10, 4
2023/8/24, 65, 44, 13, 8, 10, 4
2023/8/25, 65, , , , , 
2023/8/29, 26, 40, 23, 5, 11, 1
2023/8/30, 47, 56, 16, 9, 11, 1
2023/8/31, 81, 65, 14, 10, 11, 1
2023/9/1, 110, 64, 21, 7, 11, 1
2023/9/2, 110, 75, 9, 3, 11, 1
2023/9/3, 121, 32, 14, 3, 11, 1
2023/9/4, 37, 51, 19, 7, 11, 1
2023/9/5, 66, 61, 23, 7, 11, 1
2023/9/6, 96, 68, 31, 8, 12, 1
2023/9/7, 113, 54, 18, 5, 12, 1
2023/9/8, 77, 47, 25, 7, 12, 1
2023/9/9, 65, 52, 24, 9, 12, 1
2023/9/10, 81, 47, 34, 7, 12, 1
2023/9/11, 72, 46, 24, 11, 12, 1
2023/9/12, 67, 29, 21, 7, 12, 1
2023/9/13, 40, 32, 18, 4, 12, 1
2023/9/14, 45, 59, 12, 2, 8, 1
2023/9/15, 56, 56, 19, 1, 4, 1
2023/9/16, 73, 44, 21, 2, 4, 1
2023/9/17, 65, 46, 24, 2, 4, 1
2023/9/18, 69, 40, 31, 1, 4, 1
2023/9/19, 55, 38, 32, 1, 4, 1
2023/9/20, 49, 41, 31, 3, 4, 1
2023/9/21, 55, 52, 39, 4, 5, 1
2023/9/22, 68, 49, 40, 4, 5, 1
