,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Đề Thám,2021-12-27,0,26,7,12,22,0,26,Tốt
1,Đề Thám,2021-12-28,32,23,7,11,1,0,32,Tốt
2,Đề Thám,2021-12-29,29,34,10,10,1,0,34,Tốt
3,Đề Thám,2021-12-30,38,25,11,10,1,0,38,Tốt
4,Đề Thám,2021-12-31,32,22,8,11,1,0,32,Tốt
5,Đề Thám,2022-01-01,32,25,10,9,1,0,32,Tốt
6,Đề Thám,2022-01-02,23,35,23,11,2,0,35,Tốt
7,Đề Thám,2022-01-03,45,56,24,13,1,0,56,Vừa Phải
8,Đề Thám,2022-01-04,82,59,18,12,1,0,82,Vừa Phải
9,Đề Thám,2022-01-05,92,56,19,12,1,0,92,Vừa Phải
10,Đề Thám,2022-01-06,80,55,19,13,1,0,80,Vừa Phải
11,Đề Thám,2022-01-07,84,48,12,15,3,0,84,Vừa Phải
12,Đề Thám,2022-01-08,69,19,6,11,1,0,69,Vừa Phải
13,Đề Thám,2022-01-09,19,20,7,12,1,0,20,Tốt
14,Đề Thám,2022-01-10,25,35,19,13,2,0,35,Tốt
15,Đề Thám,2022-01-11,34,40,19,12,1,0,40,Tốt
16,Đề Thám,2022-01-12,47,43,11,12,1,0,47,Tốt
17,Đề Thám,2022-01-13,55,43,15,11,4,0,55,Vừa Phải
18,Đề Thám,2022-01-14,61,54,15,14,1,0,61,Vừa Phải
19,Đề Thám,2022-01-15,78,32,8,12,1,0,78,Vừa Phải
20,Đề Thám,2022-01-16,49,13,12,9,1,0,49,Tốt
21,Đề Thám,2022-01-17,18,32,27,9,1,0,32,Tốt
22,Đề Thám,2022-01-18,38,39,20,10,1,0,39,Tốt
23,Đề Thám,2022-01-19,49,39,18,11,1,0,49,Tốt
24,Đề Thám,2022-01-20,56,23,16,12,1,0,56,Vừa Phải
25,Đề Thám,2022-01-21,37,18,10,11,1,0,37,Tốt
26,Đề Thám,2022-01-22,24,28,23,10,1,0,28,Tốt
27,Đề Thám,2022-01-23,32,27,25,8,1,0,32,Tốt
28,Đề Thám,2022-01-24,32,16,12,9,1,0,32,Tốt
29,Đề Thám,2022-01-25,20,22,22,9,3,0,22,Tốt
30,Đề Thám,2022-01-26,27,33,26,10,1,0,33,Tốt
31,Đề Thám,2022-01-27,38,24,26,8,1,0,38,Tốt
32,Đề Thám,2022-01-28,31,13,10,8,1,0,31,Tốt
33,Đề Thám,2022-01-29,14,14,17,7,2,0,17,Tốt
34,Đề Thám,2022-01-30,20,16,17,7,4,0,20,Tốt
35,Đề Thám,2022-01-31,23,20,14,7,3,0,23,Tốt
36,Đề Thám,2022-02-01,29,15,12,6,1,0,29,Tốt
37,Đề Thám,2022-02-02,21,16,15,7,1,0,21,Tốt
38,Đề Thám,2022-02-03,23,26,21,8,1,0,26,Tốt
39,Đề Thám,2022-02-04,40,42,25,9,3,0,42,Tốt
40,Đề Thám,2022-02-05,60,38,16,9,1,0,60,Vừa Phải
41,Đề Thám,2022-02-06,62,15,22,8,1,0,62,Vừa Phải
42,Đề Thám,2022-02-07,22,6,10,8,1,0,22,Tốt
43,Đề Thám,2022-02-08,7,8,10,7,2,0,10,Tốt
44,Đề Thám,2022-02-09,9,13,9,8,1,0,13,Tốt
45,Đề Thám,2022-02-10,16,12,7,9,1,0,16,Tốt
46,Đề Thám,2022-02-11,14,9,7,9,1,0,14,Tốt
47,Đề Thám,2022-02-12,10,12,11,8,2,0,12,Tốt
48,Đề Thám,2022-02-13,12,17,18,7,1,0,18,Tốt
49,Đề Thám,2022-02-14,22,21,13,9,1,0,22,Tốt
50,Đề Thám,2022-02-15,28,11,13,9,1,0,28,Tốt
51,Đề Thám,2022-02-16,15,17,12,10,2,0,17,Tốt
52,Đề Thám,2022-02-17,19,10,12,9,1,0,19,Tốt
53,Đề Thám,2022-02-18,12,9,23,7,1,0,23,Tốt
54,Đề Thám,2022-02-19,7,13,21,7,1,0,21,Tốt
55,Đề Thám,2022-02-20,18,16,19,7,0,0,19,Tốt
56,Đề Thám,2022-02-21,22,17,19,7,2,0,22,Tốt
57,Đề Thám,2022-02-22,22,18,27,7,1,0,27,Tốt
58,Đề Thám,2022-02-23,23,25,26,7,1,0,26,Tốt
59,Đề Thám,2022-02-24,34,38,30,9,1,0,38,Tốt
60,Đề Thám,2022-02-25,55,55,28,11,1,0,55,Vừa Phải
61,Đề Thám,2022-02-26,89,61,35,11,1,0,89,Vừa Phải
62,Đề Thám,2022-02-27,112,70,24,13,1,0,112,Không tốt cho người nhạy cảm
63,Đề Thám,2022-02-28,121,64,24,12,1,0,121,Không tốt cho người nhạy cảm
64,Đề Thám,2022-03-01,108,51,13,13,1,0,108,Không tốt cho người nhạy cảm
65,Đề Thám,2022-03-02,78,51,28,10,1,0,78,Vừa Phải
66,Đề Thám,2022-03-03,76,33,25,9,1,0,76,Vừa Phải
67,Đề Thám,2022-03-04,44,28,17,10,1,0,44,Tốt
68,Đề Thám,2022-03-05,33,16,11,10,1,0,33,Tốt
69,Đề Thám,2022-03-06,16,31,35,10,1,0,35,Tốt
70,Đề Thám,2022-03-07,35,43,48,9,2,0,48,Tốt
71,Đề Thám,2022-03-08,51,44,52,11,2,0,52,Vừa Phải
72,Đề Thám,2022-03-09,54,30,29,10,2,0,54,Vừa Phải
73,Đề Thám,2022-03-10,40,29,21,10,1,0,40,Tốt
74,Đề Thám,2022-03-11,33,30,16,10,1,0,33,Tốt
75,Đề Thám,2022-03-12,39,29,19,11,2,0,39,Tốt
76,Đề Thám,2022-03-13,34,30,18,11,2,0,34,Tốt
77,Đề Thám,2022-03-14,30,53,21,13,1,0,53,Vừa Phải
78,Đề Thám,2022-03-15,44,41,25,11,1,0,44,Tốt
79,Đề Thám,2022-03-16,49,28,25,10,1,0,49,Tốt
80,Đề Thám,2022-03-17,29,28,30,8,1,0,30,Tốt
81,Đề Thám,2022-03-18,34,36,30,10,2,0,36,Tốt
82,Đề Thám,2022-03-19,45,33,19,11,5,0,45,Tốt
83,Đề Thám,2022-03-20,43,31,18,11,3,0,43,Tốt
84,Đề Thám,2022-03-21,38,41,31,11,3,0,41,Tốt
85,Đề Thám,2022-03-22,63,13,18,8,1,0,63,Vừa Phải
86,Đề Thám,2022-03-23,14,9,13,9,2,0,14,Tốt
87,Đề Thám,2022-03-24,9,19,28,10,3,0,28,Tốt
88,Đề Thám,2022-03-25,20,34,33,10,1,0,34,Tốt
89,Đề Thám,2022-03-26,38,16,18,8,1,0,38,Tốt
90,Đề Thám,2022-03-27,19,20,27,8,1,0,27,Tốt
91,Đề Thám,2022-03-28,23,32,19,12,5,0,32,Tốt
92,Đề Thám,2022-03-29,38,21,12,14,6,0,38,Tốt
93,Đề Thám,2022-03-30,24,17,19,9,2,0,24,Tốt
94,Đề Thám,2022-03-31,18,10,26,7,1,0,26,Tốt
95,Đề Thám,2022-04-01,10,12,30,8,1,0,30,Tốt
96,Đề Thám,2022-04-02,13,24,38,8,1,0,38,Tốt
97,Đề Thám,2022-04-03,31,29,44,10,1,0,44,Tốt
98,Đề Thám,2022-04-04,37,48,56,12,2,0,56,Vừa Phải
99,Đề Thám,2022-04-05,71,46,41,11,1,0,71,Vừa Phải
100,Đề Thám,2022-04-06,70,42,41,12,1,0,70,Vừa Phải
101,Đề Thám,2022-04-07,55,47,56,12,1,0,56,Vừa Phải
102,Đề Thám,2022-04-08,69,56,100,13,2,0,100,Vừa Phải
103,Đề Thám,2022-04-09,99,50,72,13,3,0,99,Vừa Phải
104,Đề Thám,2022-04-10,77,47,37,11,1,0,77,Vừa Phải
105,Đề Thám,2022-04-11,71,34,25,12,4,0,71,Vừa Phải
106,Đề Thám,2022-04-12,46,34,36,11,1,0,46,Tốt
107,Đề Thám,2022-04-13,42,39,46,11,2,0,46,Tốt
108,Đề Thám,2022-04-14,49,43,29,12,3,0,49,Tốt
109,Đề Thám,2022-04-15,57,16,17,9,1,0,57,Vừa Phải
110,Đề Thám,2022-04-16,21,11,16,8,2,0,21,Tốt
111,Đề Thám,2022-04-17,9,16,21,9,1,0,21,Tốt
112,Đề Thám,2022-04-18,15,22,28,9,3,0,28,Tốt
113,Đề Thám,2022-04-19,24,20,28,8,1,0,28,Tốt
114,Đề Thám,2022-04-20,24,30,32,10,3,0,32,Tốt
115,Đề Thám,2022-04-21,38,29,24,11,1,0,38,Tốt
116,Đề Thám,2022-04-22,39,27,25,11,1,0,39,Tốt
117,Đề Thám,2022-04-23,33,27,26,9,1,0,33,Tốt
118,Đề Thám,2022-04-24,31,29,36,8,1,0,36,Tốt
119,Đề Thám,2022-04-25,35,35,38,9,1,0,38,Tốt
120,Đề Thám,2022-04-26,40,38,38,9,1,0,40,Tốt
121,Đề Thám,2022-04-27,44,30,33,8,1,0,44,Tốt
122,Đề Thám,2022-04-28,35,19,16,8,1,0,35,Tốt
123,Đề Thám,2022-04-29,21,17,18,8,4,0,21,Tốt
124,Đề Thám,2022-04-30,19,11,28,7,1,0,28,Tốt
125,Đề Thám,2022-05-01,10,15,34,8,1,0,34,Tốt
126,Đề Thám,2022-05-02,16,19,37,10,1,0,37,Tốt
127,Đề Thám,2022-05-03,21,29,44,10,1,0,44,Tốt
128,Đề Thám,2022-05-04,30,37,50,12,2,0,50,Tốt
129,Đề Thám,2022-05-05,48,41,32,11,2,0,48,Tốt
130,Đề Thám,2022-05-06,65,31,29,10,3,0,65,Vừa Phải
131,Đề Thám,2022-05-07,43,11,18,8,3,0,43,Tốt
132,Đề Thám,2022-05-08,12,11,18,8,7,0,18,Tốt
133,Đề Thám,2022-05-09,14,10,20,8,4,0,20,Tốt
134,Đề Thám,2022-05-10,11,13,19,7,5,0,19,Tốt
