date,max
2021-10-10,182.5
2021-10-11,58.6
2021-10-12,45.3
2021-10-13,91.7
2021-10-14,46.4
2021-10-15,43.9
2021-10-16,70
2021-10-17,56.3
2021-10-18,63.8
2021-10-19,214.8
2021-10-20,134.9
2021-10-21,91.5
2021-10-22,63.3
2021-10-23,175.2
2021-10-24,108.4
2021-10-25,188.2
2021-10-26,268
2021-10-27,317.7
2021-10-28,136.5
2021-10-29,52.8
2021-10-30,41.6
2021-10-31,64.4
2021-11-01,56.4
2021-11-02,68.9
2021-11-03,138.6
2021-11-04,85.8
2021-11-05,90.8
2021-11-06,67
2022-02-01,153.7
2022-02-02,47.5
2022-02-03,230.6
2022-02-04,381.1
2022-02-05,146
2022-02-06,107.4
2022-02-07,152.9
2022-02-08,77.6
2022-02-09,59.6
2022-02-10,97
2022-02-11,130.4
2022-02-12,96.5
2022-02-13,102.3
2022-02-14,94.3
2022-02-15,143.3
2022-02-16,194
2022-02-17,241.2
2022-02-18,93.1
2022-02-19,87.9
2022-02-20,56.8
2022-02-21,37.7
2022-02-22,55.1
2022-02-23,98.9
2022-02-24,142.9
2022-02-25,190.7
2022-02-26,263.1
2022-02-27,261.9
2022-02-28,203.2
2022-03-01,253.4
2022-03-02,237.9
2022-03-03,186.9
2022-03-04,107.2
2022-03-05,110.7
2022-03-06,92.2
2022-03-07,244.8
2022-03-08,202.9
2022-03-09,90.3
2022-03-10,69.8
2022-03-11,89.5
2022-03-12,72.3
2022-03-13,73
2022-03-14,164.5
2022-03-15,146.4
2022-03-16,113.7
2022-03-17,223.6
2022-03-18,107
2022-03-19,75.9
2022-03-20,89.9
2022-03-21,99.4
2022-03-22,218.7
2022-03-23,121.2
2022-03-24,108.4
2022-03-25,143.4
2022-03-26,152.8
2022-03-27,184.5
2022-03-28,123.5
2022-03-29,125.4
2022-03-30,306.5
2022-03-31,133.5
2022-04-01,141.1
2022-04-02,71.4
2022-04-03,143
2022-04-04,131.9
2022-04-05,144.4
2022-04-06,292.8
2022-04-07,261.9
2022-04-08,256.9
2022-04-09,113.8
2022-04-10,90.8
2022-04-11,88.7
2022-04-12,124.8
2022-04-13,151.2
2022-04-14,73.5
2022-04-15,216.1
2022-04-16,90.4
2022-04-17,47.7
2022-04-18,86.4
2022-04-19,75.3
2022-04-20,151.8
2022-04-21,345.6
2022-04-22,105.8
2022-04-23,76.6
2022-04-24,81.6
2022-04-25,323.3
2022-04-26,79.1
2022-04-27,61.1
2022-04-28,74.7
2022-04-29,73.8
2022-04-30,187.2
2022-05-01,54.8
2022-05-02,100.8
2022-05-03,121.8
2022-05-04,128.6
2022-05-05,122.4
2022-05-06,185.4
2022-05-07,76.4
2022-05-08,111.3
2022-05-09,66
2022-05-10,137.5
2022-05-11,74.7
2022-05-12,77.5
2022-05-13,74.7
2022-05-14,97.7
2022-05-15,71.1
2022-05-16,56.1
2022-05-17,133.7
2022-05-18,63.6
2022-05-19,79.6
2022-05-20,82.9
2022-05-21,94.4
2022-05-22,113.5
2022-05-23,72.4
2022-05-24,76.4
2022-05-25,91.4
2022-05-26,236.1
2022-05-27,73.5
2022-05-28,96713
2022-05-29,68.2
2022-05-30,149.2
2022-05-31,79.6
2022-06-01,74.8
2022-06-02,64.8
2022-06-03,63.9
2022-06-04,79.4
2022-06-05,89.8
2022-06-06,64.2
2022-06-07,78.3
2022-06-08,102
2022-06-09,76.1
2022-06-10,133.8
2022-06-11,101
2022-06-12,98.8
2022-06-13,72.6
2022-06-14,69
2022-06-15,202.8
2022-06-16,121.8
2022-06-17,119.6
2022-06-18,61.9
2022-06-19,179.3
2022-06-20,160.2
2022-06-21,224.9
2022-06-22,121.7
2022-06-23,110.9
2022-06-24,70.1
2022-06-25,58.8
2022-06-26,70.2
2022-06-27,63.3
2022-06-28,90.5
2022-06-29,109.8
2022-06-30,106.6
2022-07-01,64.5
2022-07-02,91.6
2022-07-03,65.1
2022-07-04,72
2022-07-05,63.2
2022-07-06,120
2022-07-07,51.7
2022-07-08,79.3
2022-07-09,111.7
2022-07-10,72.8
2022-07-11,62.7
2022-07-12,64.3
2022-07-13,246.5
2022-07-14,55.3
2022-07-15,91.5
2022-07-16,46.3
2022-07-17,59
2022-07-18,55.8
2022-07-19,84.6
2022-07-20,235.1
2022-07-21,72.3
2022-07-22,72.9
2022-07-23,76.1
2022-07-24,54.1
2022-07-25,46.4
2022-07-26,50
2022-07-27,56
2022-07-28,72.1
2022-07-29,90.1
2022-07-30,301.9
2022-07-31,151.4
2022-08-01,172
2022-08-02,103.7
2022-08-03,208.3
2022-08-04,72.1
2022-08-05,94.2
2022-08-06,117.3
2022-08-07,397.4
2022-08-08,150
2022-08-09,152.6
2022-08-10,200.7
2022-08-11,217.6
2022-08-12,588
2022-08-13,126.7
