date,min,max,median,q1,q3,stdev,count
2021-10-10T00:00:00.000Z,2.5,182.5,13.4,9.5,29.4,19.378,474
2021-10-11T00:00:00.000Z,1.6,58.6,17.4,13.4,26.5,12.842,582
2021-10-12T00:00:00.000Z,12.7,45.3,21.5,17.2,30,7.878,503
2021-10-13T00:00:00.000Z,7.3,91.7,24,14.2,28.25,12.846,549
2021-10-14T00:00:00.000Z,4.2,46.4,12.5,8.8,18.6,7.698,543
2021-10-15T00:00:00.000Z,4.5,43.9,15.4,10.8,18.6,5.171,579
2021-10-16T00:00:00.000Z,1.1,70,8,3.6,21.9,11.413,563
2021-10-17T00:00:00.000Z,4.8,56.3,16.4,10.8,20.8,6.722,579
2021-10-18T00:00:00.000Z,9.3,63.8,21.1,15.3,29.55,13.253,613
2021-10-19T00:00:00.000Z,26.8,214.8,73.05,55.8,101.4,25.725,606
2021-10-20T00:00:00.000Z,20.4,134.9,62.5,45.8,73.7,25.366,602
2021-10-21T00:00:00.000Z,2.1,91.5,14.3,9,24.4,18.027,615
2021-10-22T00:00:00.000Z,6.2,63.3,25.8,13.8,31.6,10.98,618
2021-10-23T00:00:00.000Z,25.7,175.2,54.5,41.3,73.09,23.267,623
2021-10-24T00:00:00.000Z,29.1,108.4,63.4,48.15,91.35,22.197,620
2021-10-25T00:00:00.000Z,46.9,188.2,80.55,57.2,114.1,32.784,606
2021-10-26T00:00:00.000Z,86.4,268,132.65,104.2,194.3,52.928,606
2021-10-27T00:00:00.000Z,63.2,317.7,119.2,72.55,158.85,56.314,604
2021-10-28T00:00:00.000Z,15.1,136.5,67.7,49.15,87.3,25.507,620
2021-10-29T00:00:00.000Z,6.7,52.8,38.15,26.7,45.6,12.851,614
2021-10-30T00:00:00.000Z,5,41.6,15.7,12.3,20.39,8.042,591
2021-10-31T00:00:00.000Z,22.1,64.4,51.4,32.35,57.2,12.875,637
2021-11-01T00:00:00.000Z,19.4,56.4,30.4,26.9,34.5,5.688,611
2021-11-02T00:00:00.000Z,16.2,68.9,38.4,31.4,51.6,12.71,601
2021-11-03T00:00:00.000Z,41.2,138.6,60.7,54.6,70.7,16.061,606
2021-11-04T00:00:00.000Z,14.2,85.8,57.8,43.2,65.3,17.949,602
2021-11-05T00:00:00.000Z,24.4,90.8,49.4,40.15,54.3,10.645,608
2021-11-06T00:00:00.000Z,30.6,67,48.6,41.3,54.6,8.595,590
2022-02-01T00:00:00.000Z,33,153.7,44.8,40.6,48,9.045,407
2022-02-02T00:00:00.000Z,11.4,47.5,20.95,17.6,29.9,7.868,630
2022-02-03T00:00:00.000Z,21.5,230.6,48.9,41.15,52.8,13.324,617
2022-02-04T00:00:00.000Z,47.7,381.1,59.7,56.5,67.55,15.045,629
2022-02-05T00:00:00.000Z,59.3,146,86.45,68.15,102.05,19.127,612
2022-02-06T00:00:00.000Z,67.2,107.4,83.9,78.4,90,8.251,637
2022-02-07T00:00:00.000Z,43.2,152.9,82.6,74.3,115.2,24.362,603
2022-02-08T00:00:00.000Z,20.3,77.6,44.85,30.9,61.4,16.526,590
2022-02-09T00:00:00.000Z,22,59.6,41.4,32.1,49.1,10.317,607
2022-02-10T00:00:00.000Z,49.2,97,76.59,69.6,80.3,8.846,599
2022-02-11T00:00:00.000Z,44.4,130.4,74,63.7,101.55,23.081,620
2022-02-12T00:00:00.000Z,11.5,96.5,49,36.9,56,15.327,603
2022-02-13T00:00:00.000Z,4.3,102.3,30.7,14.5,45.3,18.401,607
2022-02-14T00:00:00.000Z,32.8,94.3,67.7,45,78.9,16.895,605
2022-02-15T00:00:00.000Z,55.1,143.3,78.09,71,84.1,13.643,622
2022-02-16T00:00:00.000Z,62.3,194,85.9,80.5,102,16.414,625
2022-02-17T00:00:00.000Z,27.1,241.2,95.1,75.7,117.5,34.086,621
2022-02-18T00:00:00.000Z,1.5,93.1,53,27.2,62,21.697,607
2022-02-19T00:00:00.000Z,2.6,87.9,10.8,7.9,14.6,8.733,609
2022-02-20T00:00:00.000Z,10.4,56.8,17.95,15.8,23.1,9.204,610
2022-02-21T00:00:00.000Z,14.6,37.7,21.8,19.7,25.4,4.494,621
2022-02-22T00:00:00.000Z,18.4,55.1,33.1,27.9,39.9,8.654,601
2022-02-23T00:00:00.000Z,26.8,98.9,55.2,41.3,66.45,16.918,609
2022-02-24T00:00:00.000Z,39.8,142.9,72.59,56.6,78,20.277,606
2022-02-25T00:00:00.000Z,60.2,190.7,93.1,82.4,117.4,26.341,631
2022-02-26T00:00:00.000Z,86.5,263.1,209.45,139,243.1,53.954,618
2022-02-27T00:00:00.000Z,95.2,261.9,197.25,169.3,219.95,42.768,588
2022-02-28T00:00:00.000Z,78,203.2,114.9,103.55,137.75,34.575,625
2022-03-01T00:00:00.000Z,74,253.4,151.75,105.3,171.1,42.087,614
2022-03-02T00:00:00.000Z,50.7,237.9,157,108.4,199.1,53.575,563
2022-03-03T00:00:00.000Z,53.4,186.9,66.3,62.2,72.7,33.92,619
