date,median
2021-10-10,12
2021-10-11,15.2
2021-10-12,19.4
2021-10-13,21.4
2021-10-14,11.1
2021-10-15,14
2021-10-16,7
2021-10-17,15
2021-10-18,19.35
2021-10-19,59.4
2021-10-20,48.7
2021-10-21,12.7
2021-10-22,23.4
2021-10-23,43.1
2021-10-24,50.1
2021-10-25,79.7
2021-10-26,122
2021-10-27,108
2021-10-28,54
2021-10-29,33.3
2021-10-30,14
2021-10-31,40.4
2021-11-01,27.6
2021-11-02,31.9
2021-11-03,47
2021-11-04,45.3
2021-11-05,39.1
2021-11-06,38.9
2022-02-01,36.79
2022-02-02,19.3
2022-02-03,40.1
2022-02-04,47.5
2022-02-05,78.55
2022-02-06,75.09
2022-02-07,73.65
2022-02-08,37.2
2022-02-09,34.2
2022-02-10,64.3
2022-02-11,60.8
2022-02-12,39.5
2022-02-13,26.75
2022-02-14,54.5
2022-02-15,68.8
2022-02-16,70.3
2022-02-17,81.3
2022-02-18,42.1
2022-02-19,9.8
2022-02-20,16.6
2022-02-21,20.1
2022-02-22,29.55
2022-02-23,44.5
2022-02-24,59.8
2022-02-25,84.8
2022-02-26,187.3
2022-02-27,176.5
2022-02-28,104.3
2022-03-01,133.19
2022-03-02,140.35
2022-03-03,51.15
2022-03-04,56.2
2022-03-05,52.65
2022-03-06,43.3
2022-03-07,101.6
2022-03-08,49
2022-03-09,52
2022-03-10,43.2
2022-03-11,50
2022-03-12,45.15
2022-03-13,44.9
2022-03-14,51.6
2022-03-15,86.05
2022-03-16,52.8
2022-03-17,52.65
2022-03-18,54.85
2022-03-19,48.3
2022-03-20,49.4
2022-03-21,56.45
2022-03-22,56.55
2022-03-23,22.5
2022-03-24,58.65
2022-03-25,81.09
2022-03-26,76.09
2022-03-27,34.6
2022-03-28,52.2
2022-03-29,69.2
2022-03-30,56.8
2022-03-31,60.4
2022-04-01,16.14
2022-04-02,22.05
2022-04-03,38.79
2022-04-04,49.4
2022-04-05,60.7
2022-04-06,120.6
2022-04-07,85.3
2022-04-08,112.2
2022-04-09,58.3
2022-04-10,58
2022-04-11,56.7
2022-04-12,45.25
2022-04-13,60.1
2022-04-14,50.9
2022-04-15,60.5
2022-04-16,30.1
2022-04-17,23.2
2022-04-18,30.25
2022-04-19,38.65
2022-04-20,94.25
2022-04-21,59.4
2022-04-22,44
2022-04-23,43.5
2022-04-24,49.3
2022-04-25,43.2
2022-04-26,44.2
2022-04-27,41.2
2022-04-28,40.7
2022-04-29,48.2
2022-04-30,34
2022-05-01,17.8
2022-05-02,33.4
2022-05-03,40.6
2022-05-04,53.5
2022-05-05,50.6
2022-05-06,54.95
2022-05-07,33.29
2022-05-08,32.4
2022-05-09,30.7
2022-05-10,38.25
2022-05-11,44.3
2022-05-12,44.9
2022-05-13,29.75
2022-05-14,50.35
2022-05-15,12.2
2022-05-16,20.2
2022-05-17,39.25
2022-05-18,38.2
2022-05-19,42.1
2022-05-20,42.7
2022-05-21,51.95
2022-05-22,19.8
2022-05-23,17.1
2022-05-24,38.1
2022-05-25,49.2
2022-05-26,42.8
2022-05-27,48.6
2022-05-28,29.2
2022-05-29,36.4
2022-05-30,27.9
2022-05-31,41.7
2022-06-01,32.7
2022-06-02,29.3
2022-06-03,30.7
2022-06-04,38.65
2022-06-05,37.54
2022-06-06,20.5
2022-06-07,37.04
2022-06-08,36.9
2022-06-09,49.3
2022-06-10,42.5
2022-06-11,51.55
2022-06-12,40.2
2022-06-13,29.2
2022-06-14,20.9
2022-06-15,28.85
2022-06-16,21.7
2022-06-17,23.45
2022-06-18,19
2022-06-19,20.5
2022-06-20,27.7
2022-06-21,26.65
2022-06-22,36.04
2022-06-23,48
2022-06-24,27.2
2022-06-25,29.9
2022-06-26,33.29
2022-06-27,26.4
2022-06-28,32.6
2022-06-29,55.7
2022-06-30,43.7
2022-07-01,31.35
