,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Đống Đa,2020-06-20,0,29,0,0,0,2,29
1,Đống Đa,2020-06-21,36,27,0,0,0,3,36
2,Đống Đa,2020-06-22,37,25,0,0,0,3,37
3,Đống Đa,2020-06-23,35,27,0,0,0,4,35
4,Đống Đa,2020-06-24,36,42,0,0,0,5,42
5,Đống Đa,2020-06-25,61,30,0,0,0,3,61
6,Đống Đa,2020-06-26,39,26,0,0,0,2,39
7,Đống Đa,2020-06-27,33,20,0,0,0,2,33
8,Đống Đa,2020-06-28,28,27,0,0,0,2,28
9,Đống Đa,2020-06-29,37,33,0,0,0,3,37
10,Đống Đa,2020-06-30,44,34,0,0,0,4,44
11,Đống Đa,2020-07-01,47,26,0,0,0,3,47
12,Đống Đa,2020-07-02,33,20,0,0,0,3,33
13,Đống Đa,2020-07-03,22,23,0,0,0,3,23
14,Đống Đa,2020-07-04,28,27,0,0,0,2,28
15,Đống Đa,2020-07-05,34,29,0,0,0,2,34
16,Đống Đa,2020-07-06,31,25,0,0,0,3,31
17,Đống Đa,2020-07-07,29,25,0,0,0,3,29
18,Đống Đa,2020-07-08,34,22,0,0,0,4,34
19,Đống Đa,2020-07-09,29,24,0,0,0,4,29
20,Đống Đa,2020-07-10,31,29,0,0,0,5,31
21,Đống Đa,2020-07-11,37,36,0,0,0,5,37
22,Đống Đa,2020-07-12,44,31,0,0,0,3,44
23,Đống Đa,2020-07-13,41,30,0,0,0,4,41
24,Đống Đa,2020-07-14,38,37,0,0,0,2,38
25,Đống Đa,2020-07-15,48,26,0,0,0,2,48
26,Đống Đa,2020-07-16,35,30,0,0,0,2,35
27,Đống Đa,2020-07-17,38,32,0,0,0,3,38
28,Đống Đa,2020-07-18,41,23,0,0,0,3,41
29,Đống Đa,2020-07-19,29,25,0,0,0,3,29
30,Đống Đa,2020-07-20,32,23,0,0,0,2,32
31,Đống Đa,2020-07-21,29,28,0,0,0,2,29
32,Đống Đa,2020-07-22,36,24,0,0,0,2,36
33,Đống Đa,2020-07-23,30,29,0,0,0,2,30
34,Đống Đa,2020-07-24,37,24,0,0,0,1,37
35,Đống Đa,2020-07-25,28,28,0,0,0,2,28
36,Đống Đa,2020-07-26,35,43,0,0,0,6,43
37,Đống Đa,2020-07-27,59,67,0,0,0,8,67
38,Đống Đa,2020-07-28,105,46,0,0,0,7,105
39,Đống Đa,2020-07-29,64,35,0,0,0,3,64
40,Đống Đa,2020-07-30,48,26,0,0,0,6,48
41,Đống Đa,2020-07-31,34,41,0,0,0,3,41
42,Đống Đa,2020-08-01,61,18,0,0,0,1,61
43,Đống Đa,2020-08-02,25,25,0,0,0,5,25
44,Đống Đa,2020-08-03,32,37,0,0,0,4,37
45,Đống Đa,2020-08-04,50,32,0,0,0,4,50
46,Đống Đa,2020-08-05,41,23,0,0,0,4,41
47,Đống Đa,2020-08-06,30,24,0,0,0,5,30
48,Đống Đa,2020-08-07,31,29,0,0,0,2,31
49,Đống Đa,2020-08-08,38,27,0,0,0,2,38
50,Đống Đa,2020-08-09,37,30,0,0,0,3,37
51,Đống Đa,2020-08-10,39,19,0,0,0,3,39
52,Đống Đa,2020-08-11,26,24,0,0,0,3,26
53,Đống Đa,2020-08-12,32,24,0,0,0,2,32
54,Đống Đa,2020-08-13,33,23,0,0,0,3,33
55,Đống Đa,2020-08-14,32,28,0,0,0,3,32
56,Đống Đa,2020-08-15,37,22,0,0,0,4,37
57,Đống Đa,2020-08-16,30,27,0,0,0,4,30
58,Đống Đa,2020-08-17,35,23,0,0,0,4,35
59,Đống Đa,2020-08-18,31,33,0,0,0,4,33
60,Đống Đa,2020-08-19,41,39,0,0,0,4,41
61,Đống Đa,2020-08-20,55,20,0,0,0,3,55
62,Đống Đa,2020-08-21,27,28,0,0,0,4,28
63,Đống Đa,2020-08-22,38,38,0,0,0,3,38
64,Đống Đa,2020-08-23,54,23,0,0,0,3,54
65,Đống Đa,2020-08-24,29,26,0,0,0,4,29
66,Đống Đa,2020-08-25,35,30,0,0,0,5,35
67,Đống Đa,2020-08-26,39,42,0,0,0,4,42
68,Đống Đa,2020-08-27,60,34,0,0,0,4,60
69,Đống Đa,2020-08-28,44,28,0,0,0,2,44
70,Đống Đa,2020-08-29,37,36,0,0,0,5,37
71,Đống Đa,2020-08-30,47,43,0,0,0,3,47
72,Đống Đa,2020-08-31,58,40,0,0,0,5,58
73,Đống Đa,2020-09-01,53,48,0,0,0,7,53
74,Đống Đa,2020-09-02,73,42,0,0,0,6,73
75,Đống Đa,2020-09-03,55,44,0,0,0,5,55
76,Đống Đa,2020-09-04,63,35,0,0,0,3,63
77,Đống Đa,2020-09-05,49,0,0,0,0,0,49
78,Đống Đa,2020-09-06,0,24,0,0,0,7,24
79,Đống Đa,2020-09-07,30,39,0,0,0,5,39
80,Đống Đa,2020-09-08,49,35,0,0,0,3,49
81,Đống Đa,2020-09-09,47,30,0,0,0,3,47
82,Đống Đa,2020-09-10,42,30,0,0,0,5,42
83,Đống Đa,2020-09-11,40,34,0,0,0,3,40
84,Đống Đa,2020-09-12,43,22,0,0,0,3,43
85,Đống Đa,2020-09-13,25,25,0,0,0,5,25
86,Đống Đa,2020-09-14,33,27,0,0,0,3,33
87,Đống Đa,2020-09-15,31,27,0,0,0,4,31
88,Đống Đa,2020-09-16,32,38,0,0,0,4,38
89,Đống Đa,2020-09-17,50,25,0,0,0,3,50
90,Đống Đa,2020-09-18,32,27,0,0,0,3,32
91,Đống Đa,2020-09-19,35,36,0,0,0,5,36
92,Đống Đa,2020-09-20,51,39,0,0,0,5,51
93,Đống Đa,2020-09-21,52,25,0,0,0,5,52
94,Đống Đa,2020-09-22,31,31,0,0,0,5,31
95,Đống Đa,2020-09-23,38,25,0,0,0,3,38
96,Đống Đa,2020-09-24,34,35,0,0,0,5,35
97,Đống Đa,2020-09-25,54,22,0,0,0,2,54
98,Đống Đa,2020-09-26,27,23,0,0,0,4,27
99,Đống Đa,2020-09-27,27,34,0,0,0,6,34
100,Đống Đa,2020-09-28,37,40,0,0,0,7,40
101,Đống Đa,2020-09-29,54,32,0,0,0,5,54
102,Đống Đa,2020-09-30,43,18,0,0,0,4,43
103,Đống Đa,2020-10-01,20,30,0,0,0,6,30
104,Đống Đa,2020-10-02,40,26,0,0,0,6,40
105,Đống Đa,2020-10-03,32,21,0,0,0,3,32
106,Đống Đa,2020-10-04,27,24,0,0,0,8,27
107,Đống Đa,2020-10-05,31,20,0,0,0,4,31
108,Đống Đa,2020-10-06,23,20,0,0,0,4,23
109,Đống Đa,2020-10-07,26,25,0,0,0,3,26
110,Đống Đa,2020-10-08,31,18,0,0,0,3,31
111,Đống Đa,2020-10-09,19,23,0,0,0,3,23
112,Đống Đa,2020-10-10,30,24,0,0,0,3,30
113,Đống Đa,2020-10-11,33,33,0,0,0,6,33
114,Đống Đa,2020-10-12,44,38,0,0,0,5,44
115,Đống Đa,2020-10-13,51,25,0,0,0,3,51
116,Đống Đa,2020-10-14,33,13,0,0,0,3,33
117,Đống Đa,2020-10-15,16,19,0,0,0,3,19
118,Đống Đa,2020-10-16,24,14,0,0,0,2,24
119,Đống Đa,2020-10-17,17,16,0,0,0,2,17
120,Đống Đa,2020-10-18,20,22,0,0,0,2,22
121,Đống Đa,2020-10-19,29,24,0,0,0,3,29
122,Đống Đa,2020-10-20,31,22,0,0,0,3,31
123,Đống Đa,2020-10-21,29,30,0,0,0,5,30
124,Đống Đa,2020-10-22,42,37,0,0,0,8,42
125,Đống Đa,2020-10-23,50,40,0,0,0,8,50
126,Đống Đa,2020-10-24,51,43,0,0,0,4,51
127,Đống Đa,2020-10-25,63,39,0,0,0,5,63
128,Đống Đa,2020-10-26,49,38,0,0,0,7,49
129,Đống Đa,2020-10-27,52,41,0,0,0,4,52
130,Đống Đa,2020-10-28,64,27,0,0,0,2,64
131,Đống Đa,2020-10-29,36,28,0,0,0,3,36
132,Đống Đa,2020-10-30,37,24,0,0,0,4,37
133,Đống Đa,2020-10-31,33,54,0,0,0,5,54
134,Đống Đa,2020-11-01,80,45,0,0,0,4,80
135,Đống Đa,2020-11-02,62,26,0,0,0,4,62
136,Đống Đa,2020-11-03,35,40,0,0,0,5,40
137,Đống Đa,2020-11-04,56,37,0,0,0,5,56
138,Đống Đa,2020-11-05,52,55,0,0,0,6,55
139,Đống Đa,2020-11-06,84,37,0,0,0,4,84
140,Đống Đa,2020-11-07,53,30,0,0,0,5,53
141,Đống Đa,2020-11-08,45,40,0,0,0,5,45
