Địa điểm trạm đo,Tỉnh,latitude,longitude,AQI
Ba Đình,Hà Nội,21.04037,105.841,259
Bắc Ninh,Bắc Ninh,21.15067,106.15868,124
Bắc Từ Liêm,Hà Nội,21.04975,105.7419,194
Bảo Thắng,Lào Cai,22.33039,104.1272,89
Bến Lức ,Long An,10.70246,106.4669,45
Cẩm Giàng,Hải Dương,20.93706,106.2551,78
Cao Bằng,Cao Bằng,22.66509,106.2507,34
Cao Lộc,Lạng Sơn,21.93875,106.6663,67
Cầu Giấy,Hà Nội,21.01525,105.8001,165
Chí Linh,Hải Dương,21.14431,106.3385,63
Đống Đa,Hà Nội,21.0072,105.8357,227
Duyên Hải,Trà Vinh,9.5858,106.5141,24
Gia Bình,Bắc Ninh,21.05076,106.1452,134
Hạ Long,Quảng Ninh,20.98373,106.9673,34
Hải Châu,Đà Nẵng,16.04757,108.2043,156
Hòa Thành,Tây Ninh,11.26063,106.1228,15
Hoàn Kiếm,Hà Nội,21.03982,105.8473,165
Hoàng Mai,Hà Nội,20.98832,105.8549,146
Huế,Huế,16.46253,107.5924,67
Hữu Lũng,Lạng Sơn,21.5373,106.3611,213
Kinh Môn,Hải Dương,21.0377,106.464,56
Láng Hạ,Hà Nội,21.02151,105.8189,124
Long Biên,Hà Nội,21.04266,105.8915,277
Long Hồ,Vĩnh Long,10.16002,105.9382,60
Lương Tài,Bắc Ninh,21.0015,106.1744,87
Mỹ Đình,Hà Nội,21.01994,105.7706,117
Nam Từ Liêm,Hà Nội,21.00577,105.7484,111
Nha Trang,Khánh Hòa,12.3438,109.1558,80
Nho Quan,Ninh Bình,20.27603,105.694,96
Ninh Kiều,Cần Thơ,10.0255,105.7669,115
Phạm Văn Đồng,Hà Nội,21.05121,105.7823,156
Pleiku,Gia Lai,13.93786,107.9809,18
Quận 5,Hồ Chí Minh,10.75339,106.6701,172
Quảng Yên,Quảng Ninh,20.99767,106.861,47
Quế Võ,Bắc Ninh,21.16197,106.1514,131
Sơn La,Sơn La,21.3316,103.912,25
Tân Bình,Hải Dương,20.93295,106.3078,66
Tây Hồ,Hà Nội,21.06468,105.8297,204
Thái Nguyên,Thái Nguyên,21.578,105.7812,78
Thuận Thành,Bắc Ninh,21.04409,106.063,117
Tiên Du,Bắc Ninh,21.0914,105.9909,56
Tràng Bàng,Tây Ninh,11.06181,106.3792,72
Tràng Định,Lạng Sơn,22.31416,106.5055,34
Từ Sơn,Bắc Ninh,21.13111,105.977,231
Uông Bí,Quảng Ninh,21.08191,106.7551,47
Việt Trì,Phú Thọ,21.33989,105.329,74
Vinh,Nghệ An,19.349,104.5719,38
Vũng Tàu,Bà Rịa Vũng Tàu,10.40265,107.1285,69
Yên Phong,Bắc Ninh,21.21215,105.99257,213
