,Unnamed: 0,Mã số, Gây ra, ISO3, Năm, Tình dục, Nhóm tuổi, Dân số, Tử vong, Tỷ lệ tử vong trên 100.000 dân, DALY, Tỷ lệ DALY trên 100.000 dân
0,0, 1140, Đột quỵ, VNM,2015, BTSX, Mọi lứa tuổi,92700000,156461.8,168.78,3119777.0,3365.46
1,1, 11 giờ 30, Bệnh nhồi máu cơ tim, VNM,2015, BTSX, Mọi lứa tuổi,92700000,79955.46,86.25,1422402.0,1534.41
2,2, 1180, Bệnh phổi tắc nghẽn mãn tính, VNM,2015, BTSX, Mọi lứa tuổi,92700000,33450.32,36.08,706146.5,761.75
3,3, 800, Đái tháo đường, VNM,2015, BTSX, Mọi lứa tuổi,92700000,29034.58,31.32,896187.2,966.76
4,4, 390, Nhiễm trùng hô hấp dưới, VNM,2015, BTSX, Mọi lứa tuổi,92700000,27164.0,29.3,775077.5,836.11
5,5, 950, Bệnh Alzheimer và các bệnh mất trí nhớ khác, VNM,2015, BTSX, Mọi lứa tuổi,92700000,25963.74,28.01,375936.4,405.54
6,6, 660, Ung thư gan, VNM,2015, BTSX, Mọi lứa tuổi,92700000,25718.88,27.74,898431.9,969.18
7,7, 15:30, Chấn thương đường bộ, VNM,2015, BTSX, Mọi lứa tuổi,92700000,23582.0,25.44,1284261.0,1385.39
8,8, 1270, Bệnh thận, VNM,2015, BTSX, Mọi lứa tuổi,92700000,21004.59,22.66,538212.1,580.6
9,9, 12h30, Bệnh xơ gan, VNM,2015, BTSX, Mọi lứa tuổi,92700000,20759.54,22.39,585762.4,631.89
10,10, 1120, Bệnh tim tăng huyết áp, VNM,2015, BTSX, Mọi lứa tuổi,92700000,18602.96,20.07,341534.0,368.43
11,11, 680," Khí quản, phế quản, ung thư phổi", VNM,2015, BTSX, Mọi lứa tuổi,92700000,18309.56,19.75,510648.7,550.86
12,12, 640, Ung thư dạ dày, VNM,2015, BTSX, Mọi lứa tuổi,92700000,13951.53,15.05,375886.9,405.49
13,13, 30, bệnh lao, VNM,2015, BTSX, Mọi lứa tuổi,92700000,13908.72,15.0,723336.6,780.3
14,14, 1550, Ngã, VNM,2015, BTSX, Mọi lứa tuổi,92700000,13611.37,14.68,403223.6,434.98
15,15, 490, Điều kiện sơ sinh, VNM,2015, BTSX, Mọi lứa tuổi,92700000,12772.15,13.78,1358253.0,1465.21
16,16, 1190, Hen suyễn, VNM,2015, BTSX, Mọi lứa tuổi,92700000,8180.52,8.82,255296.7,275.4
17,17, 1400, Dị tật bẩm sinh, VNM,2015, BTSX, Mọi lứa tuổi,92700000,7850.33,8.47,759819.6,819.65
18,18, 1610, Tự làm hại bản thân, VNM,2015, BTSX, Mọi lứa tuổi,92700000,7100.14,7.66,317570.0,342.58
