, Gây ra, Năm, Dân số, Tử vong, Tỷ lệ tử vong trên 100.000 dân, DALY, Tỷ lệ DALY trên 100.000 dân
0, Đột quỵ,2018,95500000,158811.1,166.29,3217645,3369.26
1, Bệnh nhồi máu cơ tim,2018,95500000,89418.49,93.63,1587971,1662.8
2, Bệnh phổi tắc nghẽn mãn tính,2018,95500000,35492.8,37.17,765134.2,801.19
3, Đái tháo đường,2018,95500000,32751.47,34.29,1029188,1077.68
4, Bệnh Alzheimer và các bệnh mất trí nhớ khác,2018,95500000,28812.07,30.17,413319.9,432.8
5, Nhiễm trùng hô hấp dưới,2018,95500000,28060.07,29.38,765967.6,802.06
6, Chấn thương đường bộ,2018,95500000,27868.15,29.18,1455134,1523.7
7, Ung thư gan,2018,95500000,25173.39,26.36,862371.8,903.01
8, Bệnh thận,2018,95500000,24341.1,25.49,606948.5,635.55
9, Bệnh xơ gan,2018,95500000,23297.69,24.4,650237.5,680.88
10," Khí quản, phế quản, ung thư phổi",2018,95500000,20499.92,21.47,566839.9,593.55
11, Bệnh tim tăng huyết áp,2018,95500000,19619.58,20.54,360838.8,377.84
12, Ngã,2018,95500000,15115.83,15.83,442116.7,462.95
13, Ung thư dạ dày,2018,95500000,14856.47,15.56,396728.6,415.42
14, Điều kiện sơ sinh,2018,95500000,11991.71,12.56,1288699,1349.42
15, bệnh lao,2018,95500000,10519.2,11.01,559460.7,585.82
16, Hen suyễn,2018,95500000,8200.85,8.59,263581.7,276
17, Ung thư ruột kết và trực tràng,2018,95500000,7943.93,8.32,211616.3,221.59
18, Dị tật bẩm sinh,2018,95500000,7574.16,7.93,735870.2,770.54
19, Tự làm hại bản thân,2018,95500000,7266.33,7.61,313678.8,328.46
20, Ung thư miệng và vòm họng,2018,95500000,6903.2,7.23,213235.3,223.28
21,Ung thư vú,2018,95500000,5980.94,6.26,214712.9,224.83
22, Đuối nước,2018,95500000,5334.08,5.59,288725.5,302.33
23," Bệnh cơ tim, viêm cơ tim, viêm nội tâm mạc",2018,95500000,5292.43,5.54,125170.6,131.07
24, bệnh Parkinson,2018,95500000,5253.74,5.5,83533.08,87.47
25, HIV/AIDS,2018,95500000,4981.41,5.22,263831.6,276.26
26, Bệnh bạch cầu,2018,95500000,4878.86,5.11,234510.2,245.56
27, Bệnh tiêu chảy,2018,95500000,4727.6,4.95,332129.5,347.78
28, Ung thư não và hệ thần kinh,2018,95500000,3112.95,3.26,139243.8,145.81
29," U lympho, đa u tủy",2018,95500000,2882.37,3.02,98838.84,103.5
30, Liệt ruột và tắc ruột,2018,95500000,2456.84,2.57,65427.54,68.51
31, Ung thư tử cung cổ tử cung,2018,95500000,2354.12,2.47,74778.69,78.3
32, Ung thư thực quản,2018,95500000,2208.59,2.31,65845.46,68.95
33, Bệnh túi mật và đường mật,2018,95500000,2053.52,2.15,60438.54,63.29
34, Tiếp xúc với lực cơ học,2018,95500000,1891.71,1.98,152583.2,159.77
35, Ung thư tuyến tiền liệt,2018,95500000,1876.06,1.96,53631.4,56.16
36, Bạo lực giữa các cá nhân,2018,95500000,1753.42,1.84,148881.8,155.9
37, Huyết áp thấp,2018,95500000,1713.95,1.79,44744.02,46.85
38, Viêm não,2018,95500000,1604.33,1.68,73335.15,76.79
39, Bệnh ngoài da,2018,95500000,1475.94,1.55,291915.9,305.67
40, Rối loạn sử dụng ma túy,2018,95500000,1325.14,1.39,189192.2,198.11
41, Ung thư thận,2018,95500000,1310.34,1.37,46933.62,49.15
42, Ung thư tử cung,2018,95500000,1128.94,1.18,37236.82,38.99
43, Viêm tụy,2018,95500000,1064.92,1.12,30656.39,32.1
44, Bệnh viêm loét dạ dày,2018,95500000,959.98,1.01,16303.68,17.07
45, Ung thư tuyến tụy,2018,95500000,886.43,0.93,26742.97,28
46, Ung thư bàng quang,2018,95500000,872.98,0.91,19301.33,20.21
47, Ung thư thanh quản,2018,95500000,854.61,0.89,27031.33,28.31
48, Rối loạn sử dụng rượu,2018,95500000,852.41,0.89,197407.2,206.71
49,Ngộ độc,2018,95500000,841.62,0.88,37813.56,39.6
50, Ung thư buồng trứng,2018,95500000,835.76,0.88,30247.05,31.67
51, Bịnh ho gà,2018,95500000,801.01,0.84,72070.61,75.47
52, Điều kiện của mẹ,2018,95500000,779.98,0.82,54405.06,56.97
53, Viêm màng não,2018,95500000,666.31,0.7,40154.35,42.05
54," Lửa, nhiệt và các chất nóng",2018,95500000,609.75,0.64,60999.47,63.87
55, bệnh động kinh,2018,95500000,600.77,0.63,104330.1,109.25
56, bệnh dại,2018,95500000,533.78,0.56,23766.56,24.89
57, Ung thư tuyến giáp,2018,95500000,517.2,0.54,20228.44,21.18
58, Khối u ác tính và các bệnh ung thư da khác,2018,95500000,456.87,0.48,13030.96,13.64
59, Ung thư túi mật và đường mật,2018,95500000,418.98,0.44,11522.83,12.07
60, Viêm gan B cấp tính,2018,95500000,383.47,0.4,16040.62,16.8
61, Hội chứng trẻ sơ sinh chết đột ngột,2018,95500000,365.99,0.38,32773.92,34.32
62, Bịnh giang mai,2018,95500000,311.98,0.33,27899.36,29.21
63, Ung thư trung biểu mô,2018,95500000,305.94,0.32,9551.36,10
64, Uốn ván,2018,95500000,299.39,0.31,15900.52,16.65
65, Viêm khớp dạng thấp,2018,95500000,216.37,0.23,19118.59,20.02
66, Viêm ruột thừa,2018,95500000,205.69,0.22,9539.85,9.99
67, Bệnh viêm ruột,2018,95500000,206.36,0.22,7481.28,7.83
68, bệnh thalassemia,2018,95500000,191.96,0.2,45832.89,47.99
69, Viêm gan A cấp tính,2018,95500000,185.73,0.19,8356.53,8.75
70, Bệnh sởi,2018,95500000,172.16,0.18,15148.12,15.86
71, Sốt xuất huyết,2018,95500000,132.97,0.14,17674.59,18.51
72, Bệnh đa xơ cứng,2018,95500000,132.24,0.14,5272.92,5.52
73, Thảm họa thiên nhiên,2018,95500000,135.66,0.14,12805.41,13.41
74, Bạo lực tập thể và sự can thiệp của pháp luật,2018,95500000,121.13,0.13,7048.17,7.38
75, sỏi tiết niệu,2018,95500000,122.76,0.13,8734.84,9.15
76, Suy dinh dưỡng protein-năng lượng,2018,95500000,123.88,0.13,45680.74,47.83
77, Ung thư tinh hoàn,2018,95500000,73.72,0.08,2326.16,2.44
78, Viêm gan C cấp tính,2018,95500000,80.09,0.08,2749.4,2.88
79,Viêm dạ dày và viêm tá tràng,2018,95500000,61.95,0.06,20802.17,21.78
80, Nhiễm trùng đường hô hấp trên,2018,95500000,34.67,0.04,64078.53,67.1
81, bệnh Echinococcus,2018,95500000,32.97,0.03,1078.51,1.13
82, Viêm gan E cấp tính,2018,95500000,25.31,0.03,1136.55,1.19
83, Bệnh giun sán,2018,95500000,14.54,0.02,21497.13,22.51
84, Bệnh sốt rét,2018,95500000,9.14,0.01,1450.35,1.52
85, Bệnh giun đũa,2018,95500000,9.7,0.01,26960.02,28.23
86, Bệnh phụ khoa,2018,95500000,8.95,0.01,267543.6,280.15
87, Tình trạng răng miệng,2018,95500000,0,0,205006.1,214.67
88, Khô khan,2018,95500000,0,0,23629.93,24.74
89, Tăng sản tuyến tiền liệt lành tính,2018,95500000,0,0,30744.84,32.19
90, Viêm xương khớp,2018,95500000,0,0,129496.5,135.6
91, Bệnh gout,2018,95500000,0,0,18092.4,18.94
92, Đau lưng và cổ,2018,95500000,0,0,707415.4,740.75
93, chứng đau nửa đầu,2018,95500000,0,0,386828.4,405.06
94, Đau đầu không đau nửa đầu,2018,95500000,0,0,51853.81,54.3
95, bệnh tăng nhãn áp,2018,95500000,0,0,11389.76,11.93
96, Đục thủy tinh thể,2018,95500000,0,0,101056.9,105.82
97, Lỗi khúc xạ chưa được điều trị,2018,95500000,0,0,364935.2,382.13
98, Thoái hóa điểm vàng,2018,95500000,0,0,20713.71,21.69
99, Mất thị lực khác,2018,95500000,0,0,270168.1,282.9
100, Mất thính lực khác,2018,95500000,0,0,510712.3,534.78
101, Bệnh Trypanosomosis Châu Phi,2018,95500000,0,0,0,0
102, bệnh Chagas,2018,95500000,0,0,0,0
103, Bệnh sán máng,2018,95500000,0,0,0,0
104, bệnh leishmania,2018,95500000,0,0,0,0
105, Giun chỉ bạch huyết,2018,95500000,0,0,28640.14,29.99
106, Bệnh giun chỉ,2018,95500000,0,0,0,0
107, Chlamydia,2018,95500000,0.98,0,4538.12,4.75
108, Bệnh da liểu,2018,95500000,3.2,0,2218.1,2.32
109, Trichomonas,2018,95500000,0,0,2234.45,2.34
110,mụn rộp sinh dục,2018,95500000,0,0,3784.55,3.96
111, bệnh bạch hầu,2018,95500000,3.76,0,240.56,0.25
112, bệnh lông tóc,2018,95500000,0,0,13016.65,13.63
113, Bệnh giun móc,2018,95500000,0,0,3919.34,4.1
114, Giun sán do thực phẩm,2018,95500000,0,0,15619.76,16.36
115, bệnh phong,2018,95500000,0,0,88.87,0.09
116, Viêm tai giữa,2018,95500000,0.66,0,27860.2,29.17
117, bệnh đau mắt hột,2018,95500000,0,0,1466.5,1.54
118, Sốt vàng,2018,95500000,0,0,0,0
119, Rối loạn hồng cầu hình liềm và đặc điểm,2018,95500000,0.4,0,1681.27,1.76
120, Rối loạn trầm cảm,2018,95500000,0,0,370587,388.05
121, Rối loạn lưỡng cực,2018,95500000,0,0,75817.26,79.39
122, Tâm thần phân liệt,2018,95500000,0,0,227221.5,237.93
123, Rối loạn lo âu,2018,95500000,0,0,219088.5,229.41
124, Rối loạn ăn uống,2018,95500000,1.85,0,20498.81,21.46
125, Tự kỷ và hội chứng Asperger,2018,95500000,0,0,45704.25,47.86
126, Rối loạn hành vi thời thơ ấu,2018,95500000,0,0,61293.25,64.18
