,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Cầu Giấy,2020-06-21,0,43,4,5,1,2,43
1,Cầu Giấy,2020-06-22,38,36,1,8,1,2,38
2,Cầu Giấy,2020-06-23,36,0,0,0,0,0,36
3,Cầu Giấy,2020-07-18,0,35,7,4,1,3,35
4,Cầu Giấy,2020-07-19,46,42,7,6,1,4,46
5,Cầu Giấy,2020-07-20,59,42,6,3,1,3,59
6,Cầu Giấy,2020-07-21,49,32,9,4,1,2,49
7,Cầu Giấy,2020-07-22,34,36,12,4,1,2,36
8,Cầu Giấy,2020-07-23,38,36,13,5,1,3,38
9,Cầu Giấy,2020-07-24,43,39,14,5,1,1,43
10,Cầu Giấy,2020-07-25,45,39,10,5,1,2,45
11,Cầu Giấy,2020-07-26,43,52,11,10,1,5,52
12,Cầu Giấy,2020-07-27,83,92,20,10,1,8,92
13,Cầu Giấy,2020-07-28,165,58,13,7,1,5,165
14,Cầu Giấy,2020-07-29,99,51,17,8,1,4,99
15,Cầu Giấy,2020-07-30,72,51,12,8,1,4,72
16,Cầu Giấy,2020-07-31,73,48,7,4,1,4,73
17,Cầu Giấy,2020-08-01,81,20,5,3,1,3,81
18,Cầu Giấy,2020-08-02,32,30,4,6,1,5,32
19,Cầu Giấy,2020-08-03,44,41,4,7,1,5,44
20,Cầu Giấy,2020-08-04,66,30,5,8,1,5,66
21,Cầu Giấy,2020-08-05,56,22,5,6,1,3,56
22,Cầu Giấy,2020-08-06,34,31,3,8,1,6,34
23,Cầu Giấy,2020-08-07,41,38,5,4,1,3,41
24,Cầu Giấy,2020-08-08,49,36,8,4,1,3,49
25,Cầu Giấy,2020-08-09,45,41,10,5,1,4,45
26,Cầu Giấy,2020-08-10,71,25,9,4,1,3,71
27,Cầu Giấy,2020-08-11,44,33,15,5,1,4,44
28,Cầu Giấy,2020-08-12,51,26,8,4,1,4,51
29,Cầu Giấy,2020-08-13,39,27,6,6,1,4,39
30,Cầu Giấy,2020-08-14,43,41,7,5,1,4,43
31,Cầu Giấy,2020-08-15,58,37,8,6,1,4,58
32,Cầu Giấy,2020-08-16,52,30,5,7,1,4,52
33,Cầu Giấy,2020-08-17,41,25,5,8,1,6,41
34,Cầu Giấy,2020-08-18,39,34,8,8,1,4,39
35,Cầu Giấy,2020-08-19,58,55,9,6,1,4,58
36,Cầu Giấy,2020-08-20,89,26,7,5,1,4,89
37,Cầu Giấy,2020-08-21,38,36,9,4,1,4,38
38,Cầu Giấy,2020-08-22,57,44,10,6,1,3,57
39,Cầu Giấy,2020-08-23,69,42,12,5,1,3,69
40,Cầu Giấy,2020-08-24,61,33,11,4,1,4,61
41,Cầu Giấy,2020-08-25,53,42,11,6,1,4,53
42,Cầu Giấy,2020-08-26,56,61,19,5,1,4,61
43,Cầu Giấy,2020-08-27,91,55,12,6,1,4,91
44,Cầu Giấy,2020-08-28,79,44,17,5,1,4,79
45,Cầu Giấy,2020-08-29,61,54,17,8,1,3,61
46,Cầu Giấy,2020-08-30,72,55,15,7,1,3,72
47,Cầu Giấy,2020-08-31,85,49,14,4,0,2,85
48,Cầu Giấy,2020-09-01,70,68,16,5,1,6,70
49,Cầu Giấy,2020-09-02,108,60,20,8,1,8,108
50,Cầu Giấy,2020-09-03,82,60,15,7,1,5,82
51,Cầu Giấy,2020-09-04,86,64,8,11,1,4,86
52,Cầu Giấy,2020-09-05,85,0,0,0,0,0,85
53,Cầu Giấy,2020-09-06,0,30,7,7,1,6,30
54,Cầu Giấy,2020-09-07,43,55,12,7,1,5,55
55,Cầu Giấy,2020-09-08,74,47,8,7,1,4,74
56,Cầu Giấy,2020-09-09,64,37,8,5,1,4,64
57,Cầu Giấy,2020-09-10,54,44,10,7,1,5,54
58,Cầu Giấy,2020-09-11,56,49,10,7,1,4,56
59,Cầu Giấy,2020-09-12,65,36,9,4,1,3,65
60,Cầu Giấy,2020-09-13,47,34,6,6,1,5,47
