,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Láng Hạ,2020-06-20,0,42,0,4,0,1,42
1,Láng Hạ,2020-06-21,49,44,0,5,0,2,49
2,Láng Hạ,2020-06-22,52,37,0,5,0,3,52
3,Láng Hạ,2020-06-23,42,40,0,5,0,2,42
4,Láng Hạ,2020-06-24,46,56,0,8,0,6,56
5,Láng Hạ,2020-06-25,75,38,0,5,0,2,75
6,Láng Hạ,2020-06-26,47,35,0,4,0,1,47
7,Láng Hạ,2020-06-27,40,39,0,4,0,1,40
8,Láng Hạ,2020-06-28,45,44,0,4,0,2,45
9,Láng Hạ,2020-06-29,54,42,0,5,0,2,54
10,Láng Hạ,2020-06-30,53,50,0,5,0,4,53
11,Láng Hạ,2020-07-01,62,51,0,5,0,2,62
12,Láng Hạ,2020-07-02,56,46,0,4,0,4,56
13,Láng Hạ,2020-07-03,51,36,0,3,0,3,51
14,Láng Hạ,2020-07-04,39,40,0,3,0,1,40
15,Láng Hạ,2020-07-05,44,37,0,3,0,2,44
16,Láng Hạ,2020-07-06,42,45,0,3,0,2,45
17,Láng Hạ,2020-07-07,49,38,0,3,0,2,49
18,Láng Hạ,2020-07-08,41,45,0,4,0,4,45
19,Láng Hạ,2020-07-09,49,44,0,3,0,4,49
20,Láng Hạ,2020-07-10,46,55,0,2,0,5,55
21,Láng Hạ,2020-07-11,64,53,0,1,0,4,64
22,Láng Hạ,2020-07-12,67,54,0,2,0,2,67
23,Láng Hạ,2020-07-13,64,53,0,3,0,9,64
24,Láng Hạ,2020-07-14,62,50,0,2,0,1,62
25,Láng Hạ,2020-07-15,57,52,0,2,0,1,57
26,Láng Hạ,2020-07-16,55,49,0,2,0,2,55
27,Láng Hạ,2020-07-17,54,47,0,3,0,1,54
28,Láng Hạ,2020-07-18,54,47,0,2,0,2,54
29,Láng Hạ,2020-07-19,49,46,0,1,0,3,49
30,Láng Hạ,2020-07-20,50,52,0,2,0,2,52
31,Láng Hạ,2020-07-21,58,45,0,4,0,1,58
32,Láng Hạ,2020-07-22,50,48,0,4,0,2,50
33,Láng Hạ,2020-07-23,50,52,0,3,0,2,52
34,Láng Hạ,2020-07-24,57,48,0,3,0,1,57
35,Láng Hạ,2020-07-25,54,42,0,3,0,2,54
36,Láng Hạ,2020-07-26,46,68,0,4,0,8,68
37,Láng Hạ,2020-07-27,87,84,0,3,0,8,87
38,Láng Hạ,2020-07-28,125,68,0,4,0,4,125
39,Láng Hạ,2020-07-29,97,61,0,5,0,3,97
40,Láng Hạ,2020-07-30,79,54,0,3,0,6,79
41,Láng Hạ,2020-07-31,63,62,0,3,0,8,63
42,Láng Hạ,2020-08-01,81,45,0,2,0,4,81
43,Láng Hạ,2020-08-02,49,49,0,2,0,7,49
44,Láng Hạ,2020-08-03,56,58,0,3,0,4,58
45,Láng Hạ,2020-08-04,76,56,0,3,0,5,76
46,Láng Hạ,2020-08-05,63,49,0,2,0,3,63
47,Láng Hạ,2020-08-06,56,52,0,3,0,6,56
48,Láng Hạ,2020-08-07,57,46,0,3,0,2,57
49,Láng Hạ,2020-08-08,52,46,0,4,0,2,52
50,Láng Hạ,2020-08-09,50,52,0,5,0,4,52
51,Láng Hạ,2020-08-10,60,42,0,4,0,2,60
52,Láng Hạ,2020-08-11,44,52,0,3,0,2,52
53,Láng Hạ,2020-08-12,61,43,0,2,0,1,61
54,Láng Hạ,2020-08-13,47,52,0,3,0,2,52
55,Láng Hạ,2020-08-14,57,50,0,4,0,2,57
56,Láng Hạ,2020-08-15,58,49,0,5,0,4,58
57,Láng Hạ,2020-08-16,53,46,0,6,0,3,53
58,Láng Hạ,2020-08-17,50,51,0,5,0,5,51
59,Láng Hạ,2020-08-18,56,50,0,9,0,6,56
60,Láng Hạ,2020-08-19,57,68,0,9,0,5,68
61,Láng Hạ,2020-08-20,87,52,0,8,0,5,87
62,Láng Hạ,2020-08-21,57,55,0,10,0,7,57
63,Láng Hạ,2020-08-22,62,63,0,10,0,4,63
64,Láng Hạ,2020-08-23,78,54,0,8,0,4,78
65,Láng Hạ,2020-08-24,60,51,0,7,0,7,60
66,Láng Hạ,2020-08-25,56,47,0,10,0,6,56
67,Láng Hạ,2020-08-26,54,69,0,10,0,7,69
68,Láng Hạ,2020-08-27,92,53,0,8,0,6,92
69,Láng Hạ,2020-08-28,64,55,0,8,0,3,64
70,Láng Hạ,2020-08-29,63,57,0,12,0,8,63
71,Láng Hạ,2020-08-30,72,61,0,9,0,7,72
72,Láng Hạ,2020-08-31,80,56,0,10,0,9,80
73,Láng Hạ,2020-09-01,67,80,0,13,0,6,80
74,Láng Hạ,2020-09-02,112,67,0,10,0,9,112
