date, pm25, pm10, no2, co
2023/7/3, 41, 31, 13, 2
2023/7/4, 45, 31, 9, 2
2023/7/5, 46, 16, 8, 1
2023/7/6, 23, 25, 9, 1
2023/7/7, 40, 26, 9, 1
2023/7/8, 49, 20, 9, 2
2023/7/9, 29, 26, 10, 2
2023/7/10, 37, 36, 9, 1
2023/7/11, 51, 24, 11, 2
2023/7/12, 34, 22, 11, 3
2023/7/13, 35, 35, 10, 2
2023/7/14, 60, , , 
2023/4/1, 74, 39, 11, 5
2023/4/2, 71, 40, 8, 2
2023/4/3, 60, 47, 7, 2
2023/4/4, 71, 58, 6, 2
2023/4/5, 93, 56, 6, 1
2023/4/6, 88, 35, 6, 1
2023/4/7, 52, , , 
2023/4/9, 110, 68, 9, 2
2023/4/10, 115, 64, 10, 5
2023/4/11, 108, 48, 8, 3
2023/4/12, 72, 36, 5, 2
2023/4/13, 51, 36, 4, 1
2023/4/14, 50, , , 
2023/4/21, 143, 55, 6, 2
2023/4/22, 83, , , 
2023/4/27, 55, 47, 9, 2
2023/4/28, 72, , , 
2023/5/3, 45, 33, 12, 1
2023/5/4, 47, 33, 13, 4
2023/5/5, 55, , , 
2023/5/7, 84, 33, 10, 2
2023/5/8, 47, 50, 13, 5
2023/5/9, 86, 32, 8, 2
2023/5/10, 49, 24, 11, 3
2023/5/11, 36, 17, 16, 4
2023/5/12, 24, 18, 12, 2
2023/5/13, 25, 32, , 
2023/5/15, 52, 40, 7, 1
2023/5/16, 62, , , 
2023/6/4, 51, 48, 14, 3
2023/6/5, 73, 55, 17, 4
2023/6/6, 80, 49, 16, 4
2023/6/7, 75, , , 
2023/6/9, 32, 42, 16, 4
2023/6/10, 61, 49, 11, 4
2023/6/11, 86, 59, 10, 3
2023/6/12, 99, 39, 11, 2
2023/6/13, 60, 27, 14, 4
2023/6/14, 40, 22, 8, 1
2023/6/15, 35, , , 
2023/6/22, 34, 36, 12, 2
2023/6/23, 62, , , 
2023/6/25, 74, 35, 13, 5
2023/6/26, 51, 32, 12, 2
2023/6/27, 44, 22, 12, 
2023/1/2, 104, 74, 3, 2
2023/1/3, 126, 66, 3, 2
2023/1/4, 106, 63, 6, 5
2023/1/5, 109, 51, 6, 4
2023/1/6, 69, , , 
2023/1/8, 93, 70, 2, 1
2023/1/9, 123, 85, 3, 1
2023/1/10, 139, 50, 6, 2
2023/1/11, 78, 55, 5, 2
2023/1/12, 80, 43, 7, 2
2023/1/13, 60, , , 
2023/1/15, 63, 42, 8, 4
2023/1/16, 59, 61, 7, 3
2023/1/17, 95, 49, 5, 3
2023/1/18, 73, 66, 7, 3
2023/1/19, 109, 81, 9, 4
2023/1/20, 146, 78, 17, 6
2023/1/21, 136, 85, 21, 10
2023/1/22, 144, 67, 19, 11
2023/1/23, 110, 31, 17, 7
2023/1/24, 46, 53, 9, 6
2023/1/25, 82, 52, 8, 5
2023/1/26, 78, 58, 8, 5
2023/1/27, 83, , , 
2023/1/29, 106, 83, 23, 10
2023/1/30, 133, 65, 13, 7
2023/1/31, 110, 55, 10, 5
2023/2/1, 89, 47, 8, 3
2023/2/2, 72, , , 
2023/2/9, 64, 26, 7, 7
2023/2/10, 42, , , 
2023/2/12, 52, 50, 18, 3
2023/2/13, 87, 41, 24, 4
2023/2/14, 69, 42, 27, 4
2023/2/15, 71, 57, 30, 4
2023/2/16, 101, 57, 34, 5
2023/2/17, 97, 59, 21, 2
2023/2/18, 92, 56, 21, 3
2023/2/19, 94, 54, 22, 4
2023/2/20, 89, 71, 20, 3
2023/2/21, 134, 56, 14, 1
2023/2/22, 92, 54, 15, 1
2023/2/23, 84, 52, 19, 2
2023/2/24, 78, , , 
2023/2/27, 127, 56, 25, 2
2023/2/28, 93, , , 
2023/3/12, 115, 52, 17, 2
2023/3/13, 81, 68, 18, 3
2023/3/14, 115, 70, 12, 2
2023/3/15, 115, 45, 13, 2
2023/3/16, 68, 51, 13, 2
2023/3/17, 77, 39, 10, 1
2023/3/18, 56, 32, 8, 2
2023/3/19, 47, 47, 11, 2
2023/3/20, 69, 60, 14, 3
2023/3/21, 106, 65, 16, 4
2023/3/22, 119, 63, 9, 3
2023/3/23, 107, 58, 12, 3
2023/3/24, 93, , , 
2023/3/26, 77, 26, 16, 4
2023/3/27, 32, 33, 13, 1
2023/3/28, 47, 23, 11, 2
2023/3/29, 34, 37, 13, 2
2023/3/30, 55, 64, 10, 4
2023/3/31, 112, 48, 4, 2
2022/12/20, 78, 53, 2, 1
2022/12/21, 79, 67, 3, 3
2022/12/22, 112, 65, 4, 1
2022/12/23, 107, , , 
2022/12/25, 76, 62, 3, 3
2022/12/26, 100, 57, 4, 3
2022/12/27, 86, 61, 2, 1
2022/12/28, 95, 47, 2, 1
2022/12/29, 64, 37, 2, 2
2022/12/30, 47, , , 
2022/1/3, 142, 57, 28, 6
2022/1/4, 94, 54, 23, 3
2022/1/5, 83, 51, 21, 2
2022/1/6, 85, 45, 23, 2
2022/1/7, 66, 54, 23, 4
2022/1/8, 79, 59, 17, 4
2022/1/9, 79, 61, 17, 4
2022/1/10, 101, 30, 23, 6
2022/1/11, 46, 69, 22, 6
2022/1/12, 130, 72, 24, 7
2022/1/13, 129, 120, 38, 10
2022/1/14, 200, 130, 27, 7
2022/1/15, 214, 92, 20, 8
2022/1/16, 163, 35, 14, 
2022/1/17, 61, 31, 35, 7
2022/1/18, 32, 26, 31, 5
2022/1/19, 28, 23, 29, 4
2022/1/20, 36, 52, 30, 6
2022/1/21, 83, , , 
2021/10/1, 55, 42, 11, 6
2021/10/2, 70, 45, 12, 6
2021/10/3, 77, 47, 15, 10
2021/10/4, 77, 43, 19, 6
2021/10/5, 72, 47, 23, 6
2021/10/6, 73, 58, 19, 7
2021/10/7, 102, 51, 23, 6
2021/10/8, 88, 52, 23, 6
2021/10/9, 87, , , 
2021/10/12, 13, 23, 24, 5
2021/10/13, 32, 12, 18, 5
2021/10/14, 18, 19, 14, 3
2021/10/15, 21, 21, 13, 2
2021/10/16, 23, 26, 14, 2
2021/10/17, 25, 18, 15, 3
2021/10/18, 27, 29, 19, 5
2021/10/19, 46, 42, 21, 4
2021/10/20, 68, 30, 18, 3
2021/10/21, 43, 10, 16, 2
2021/10/22, 12, 20, 22, 3
2021/10/23, 26, 31, 21, 3
2021/10/24, 37, 46, 22, 4
2021/10/25, 68, 66, 28, 9
2021/10/26, 107, 58, 29, 7
2021/10/27, 99, 52, 21, 4
2021/10/28, 89, 21, 16, 3
2021/10/29, 35, 17, 15, 3
2021/10/30, 18, 27, 17, 4
2021/10/31, 36, 22, 18, 4
2021/11/1, 30, 31, 18, 5
2021/11/2, 43, 36, 22, 7
2021/11/3, 51, 28, 20, 2
2021/11/4, 38, 20, 21, 2
2021/11/5, 34, 28, 19, 2
2021/11/6, 41, 26, 17, 2
2021/11/7, 35, 20, 16, 1
2021/11/8, 22, 27, 20, 3
2021/11/9, 33, 22, 22, 3
2021/11/10, 30, 33, 22, 4
2021/11/11, 49, 40, 24, 3
2021/11/12, 65, 27, 20, 2
2021/11/13, 38, 47, 22, 4
2021/11/14, 83, 48, 25, 4
2021/11/15, 83, 60, 24, 4
2021/11/16, 110, 60, 18, 4
2021/11/17, 101, 27, 21, 4
2021/11/18, 41, 62, 25, 7
2021/11/19, 111, 57, 22, 5
2021/11/20, 111, 35, 19, 3
2021/11/21, 50, 21, 15, 3
2021/11/22, 29, 17, 19, 2
2021/11/23, 27, 24, 19, 2
2021/11/24, 33, 34, 18, 3
2021/11/25, 50, 51, 22, 5
2021/11/26, 90, 39, 24, 3
2021/11/27, 68, 51, 32, 6
2021/11/28, 83, 68, 30, 7
2021/11/29, 130, , , 
2021/12/1, 57, 44, 27, 2
2021/12/2, 71, , , 
2021/12/18, 70, 52, 29, 3
2021/12/19, 64, 44, 26, 4
2021/12/20, 66, 11, 25, 4
2021/12/21, 19, 5, 27, 6
2021/12/22, 6, 4, 31, 4
2021/12/23, 5, 6, 26, 4
2021/12/24, 10, 31, 26, 6
2021/12/25, 32, 44, 26, 4
2021/12/30, 39, 38, 21, 4
2021/12/31, 50, 47, 19, 5
2022/1/1, 66, 33, 22, 4
2022/1/2, 43, 157, 24, 7
2021/7/4, 23, 22, 5, 2
2021/7/5, 31, , , 
2021/7/10, 18, 15, 9, 3
2021/7/11, 20, 16, 8, 2
2021/7/12, 24, 16, 8, 1
2021/7/13, 23, 17, 8, 2
2021/7/14, 24, 15, 9, 2
2021/7/15, 20, 16, 8, 1
2021/7/16, 23, 16, 8, 2
2021/7/17, 21, 30, 7, 2
2021/7/18, 42, 45, 7, 2
2021/7/19, 68, 43, 10, 3
2021/7/20, 65, 27, 10, 3
2021/7/21, 40, 37, 8, 2
2021/7/22, 54, 18, 7, 2
2021/7/23, 30, 19, 7, 2
2021/7/24, 27, 26, 7, 2
2021/7/25, 39, 21, 9, 2
2021/7/26, 35, 17, 9, 3
2021/7/27, 26, 17, 7, 3
2021/7/28, 25, 35, 11, 2
2021/7/29, 56, 31, 13, 3
2021/7/30, 49, 26, 10, 2
2021/7/31, 38, 9, 9, 2
2021/8/1, 13, 20, 10, 2
2021/8/2, 30, 30, 8, 2
2021/8/3, 45, 35, 9, 2
2021/8/4, 57, 27, 9, 2
2021/8/5, 44, 28, 7, 7
2021/8/6, 45, 12, 5, 3
2021/8/7, 17, 27, 7, 4
2021/8/8, 38, 55, 10, 6
2021/8/9, 93, 18, 7, 3
2021/8/10, 29, 1, , 
2021/8/11, 1, , , 
2021/8/13, 19, 14, 5, 3
2021/8/14, 20, 24, 8, 7
2021/8/15, 38, 23, 7, 5
2021/8/16, 34, 14, 7, 4
2021/8/17, 21, 10, 6, 6
2021/8/18, 15, 11, 7, 4
2021/8/19, 16, 18, 6, 3
2021/8/20, 26, 16, 12, 3
2021/8/21, 24, 21, 11, 3
2021/8/22, 26, 33, 11, 3
2021/8/23, 49, 34, 21, 3
2021/8/24, 52, 17, 9, 3
2021/8/25, 27, , , 
2021/8/27, 16, 21, 8, 3
2021/8/28, 31, 23, 8, 4
2021/8/29, 34, 29, 6, 4
2021/8/30, 47, 23, 10, 3
2021/8/31, 35, 29, 11, 4
2021/9/1, 44, 26, 8, 3
2021/9/2, 40, 37, 7, 3
2021/9/3, 61, 29, 5, 3
2021/9/4, 46, 15, 5, 5
2021/9/5, 23, 22, 8, 3
2021/9/6, 34, 36, 12, 3
2021/9/7, 58, 27, 8, 4
2021/9/8, 44, 1, , 
2021/9/9, 1, 20, 9, 3
2021/9/10, 30, 28, 11, 4
2021/9/11, 45, 44, 10, 5
2021/9/12, 70, 60, 10, 6
2021/9/13, 105, 32, 11, 4
2021/9/14, 53, 16, 9, 5
2021/9/15, 25, 23, 8, 5
2021/9/16, 37, 22, 8, 5
2021/9/17, 34, 14, 9, 4
2021/9/18, 21, 18, 6, 5
2021/9/19, 28, 38, 11, 5
2021/9/20, 62, 50, 20, 7
2021/9/21, 87, 40, 19, 6
2021/9/22, 64, 36, 13, 6
2021/9/23, 56, 36, 14, 6
2021/9/24, 60, 2, , 
2021/9/25, 3, , , 
2021/9/28, 57, 37, 16, 5
2021/9/29, 59, 36, 15, 6
2021/9/30, 57, 36, 11, 5
2021/4/1, 64, 31, 8, 3
2021/4/2, 41, 36, 4, 3
2021/4/3, 39, 38, 7, 4
2021/4/4, 52, 49, 8, 3
2021/4/5, 71, 57, 13, 5
2021/4/6, 88, 39, 8, 3
2021/4/7, 54, 30, 11, 3
2021/4/8, 42, 34, 6, 3
2021/4/9, 43, 40, 6, 4
2021/4/10, 61, 48, 7, 3
2021/4/11, 71, 32, 7, 2
2021/4/12, 40, 33, 7, 2
2021/4/13, 41, 22, 8, 3
2021/4/14, 32, 25, 6, 2
2021/4/15, 31, 21, 5, 2
2021/4/16, 27, 21, 6, 2
2021/4/17, 30, 36, 8, 3
2021/4/18, 47, 35, 7, 2
2021/4/19, 48, 19, 7, 2
2021/4/20, 25, 18, 8, 2
2021/4/21, 24, 20, 7, 3
2021/4/22, 28, 18, 5, 1
2021/4/23, 23, 27, 7, 2
2021/4/24, 33, 24, 6, 2
2021/4/25, 30, 18, 6, 2
2021/4/26, 24, 21, 5, 2
2021/4/27, 27, , , 
2021/1/4, 112, 89, 6, 5
2021/1/5, 157, 79, 7, 4
2021/1/6, 135, 73, 3, 1
2021/1/7, 127, 24, 2, 1
2021/1/8, 28, 40, 2, 1
2021/1/9, 55, 50, 3, 1
2021/1/10, 69, 49, 6, 2
2021/1/11, 74, 54, 5, 2
2021/1/12, 79, 73, 5, 2
2021/1/13, 127, 73, 6, 3
2021/1/14, 128, 81, 6, 3
2021/1/15, 141, 95, 8, 4
2021/1/16, 157, 79, 7, 3
2021/1/17, 126, 50, 5, 3
2021/1/18, 76, 65, 6, 3
2021/1/19, 110, 84, 9, 4
2021/1/20, 151, 92, 17, 6
2021/1/21, 154, 96, 21, 10
2021/1/22, 161, 93, 19, 11
2021/1/23, 158, 85, 18, 7
2021/1/24, 150, 73, 9, 6
2021/1/25, 128, 53, 8, 5
2021/1/26, 79, 53, 8, 5
2021/1/27, 77, 47, 14, 7
2021/1/28, 69, 60, 16, 8
2021/1/29, 93, 88, 23, 10
2021/1/30, 139, 104, 13, 7
2021/1/31, 163, 63, 10, 5
2021/2/1, 108, 56, 9, 5
2021/2/2, 88, 54, 10, 5
2021/2/3, 85, 55, 8, 6
2021/2/4, 83, 59, 9, 5
2021/2/5, 93, 64, 11, 6
2021/2/6, 103, 69, 10, 5
2021/2/7, 112, 58, 7, 4
2021/2/8, 98, 30, 6, 4
2021/2/9, 38, 43, 8, 9
2021/2/10, 68, 41, 6, 6
2021/2/11, 67, 28, 5, 4
2021/2/12, 46, 34, 6, 4
2021/2/13, 53, 38, 6, 4
2021/2/14, 61, 56, 9, 4
2021/2/15, 91, 52, 7, 4
2021/2/16, 83, 40, 7, 5
2021/2/17, 67, 49, 9, 5
2021/2/18, 81, 68, 10, 7
2021/2/19, 126, 64, 12, 6
2021/2/20, 119, 56, 10, 5
2021/2/21, 95, 50, 7, 4
2021/2/22, 75, 56, 9, 5
2021/2/23, 86, 46, 11, 3
2021/2/24, 73, 49, 7, 4
2021/2/25, 75, 51, 6, 4
2021/2/26, 78, 54, 9, 5
2021/2/27, 93, 59, 10, 8
2021/2/28, 104, 75, 13, 10
2021/3/1, 122, 37, 12, 7
2021/3/2, 56, 55, 14, 7
2021/3/3, 85, 52, 14, 5
2021/3/4, 76, 65, 15, 6
2021/3/5, 103, 54, 12, 6
2021/3/6, 84, 46, 8, 4
2021/3/7, 63, 55, 12, 6
2021/3/8, 84, 31, 8, 3
2021/3/9, 42, 24, 6, 2
2021/3/10, 33, 30, 6, 3
2021/3/11, 40, 40, 7, 5
2021/3/12, 54, 53, 7, 4
2021/3/13, 81, 45, 8, 4
2021/3/14, 65, 35, 6, 2
2021/3/15, 49, 33, 4, 1
2021/3/16, 43, 43, 8, 2
2021/3/17, 59, 39, 9, 2
2021/3/18, 56, 24, 5, 1
2021/3/19, 33, 31, 7, 2
2021/3/20, 41, 24, 7, 2
2021/3/21, 32, 29, 7, 3
2021/3/22, 39, 41, 6, 2
2021/3/23, 56, 41, 8, 3
2021/3/24, 57, 56, 9, 5
2021/3/25, 91, 45, 13, 2
2021/3/26, 63, 28, 7, 2
2021/3/27, 37, 45, 4, 2
2021/3/28, 55, 41, 6, 5
2021/3/29, 53, 53, 8, 5
2021/3/30, 73, 54, 9, 5
2021/3/31, 77, 47, 10, 3
2020/10/1, 23, 24, 2, 3
2020/10/2, 32, 19, 2, 3
2020/10/3, 25, 19, 1, 1
2020/10/4, 22, 24, 1, 4
2020/10/5, 32, 22, 1, 2
2020/10/6, 28, 22, 2, 2
2020/10/7, 28, 22, 1, 2
2020/10/8, 28, 19, 1, 1
2020/10/9, 25, 23, 1, 1
2020/10/10, 29, 22, 1, 1
2020/10/11, 30, 34, 1, 2
2020/10/12, 46, 37, 3, 2
2020/10/13, 49, 24, 1, 1
2020/10/14, 32, 16, 1, 2
2020/10/15, 21, 18, 1, 2
2020/10/16, 24, 16, 1, 1
2020/10/17, 18, 19, 1, 1
2020/10/18, 27, 21, 1, 1
2020/10/19, 28, 26, 1, 2
2020/10/20, 32, 23, 3, 2
2020/10/21, 29, 32, 2, 3
2020/10/22, 45, 41, 2, 6
2020/10/23, 61, 46, 4, 3
2020/10/24, 56, 44, 2, 2
2020/10/25, 66, 33, 2, 1
2020/10/26, 44, 38, 3, 3
2020/10/27, 51, 36, 2, 2
2020/10/28, 51, 24, 1, 2
2020/10/29, 32, 24, 2, 2
2020/10/30, 33, 28, 3, 3
2020/10/31, 42, 49, 4, 4
2020/11/1, 71, 38, 2, 3
2020/11/2, 50, 22, 3, 2
2020/11/3, 29, 34, 2, 3
2020/11/4, 47, 39, 1, 4
2020/11/5, 54, 53, 5, 3
2020/11/6, 75, 38, 2, 4
2020/11/7, 56, 36, 2, 4
2020/11/8, 51, 44, 2, 4
2020/11/9, 62, 39, 3, 5
2020/11/10, 52, 48, 2, 1
2020/11/11, 67, 42, 4, 3
2020/11/12, 57, 44, 2, 2
2020/11/13, 69, 37, 3, 2
2020/11/14, 50, 31, 2, 1
2020/11/15, 43, 29, 2, 1
2020/11/16, 41, 43, 3, 3
2020/11/17, 63, 40, 1, 1
2020/11/18, 51, 42, 2, 1
2020/11/19, 61, 40, 2, 2
2020/11/20, 51, 27, 2, 1
2020/11/21, 38, 37, 2, 1
2020/11/22, 51, 32, 3, 2
2020/11/23, 41, 39, 2, 1
2020/11/24, 53, 39, 3, 2
2020/11/25, 53, 39, 1, 2
2020/11/26, 53, 36, 3, 3
2020/11/27, 49, 38, 3, 2
2020/11/28, 54, 27, 2, 1
2020/11/29, 36, 38, 1, 2
2020/11/30, 53, 48, 2, 3
2020/12/1, 72, 49, 3, 2
2020/12/2, 77, 43, 1, 1
2020/12/3, 55, 31, 1, 1
2020/12/4, 40, 30, 2, 3
2020/12/5, 41, 45, 3, 2
2020/12/6, 60, 61, 6, 2
2020/12/7, 96, 57, 2, 2
2020/12/8, 90, 54, 2, 4
2020/12/9, 78, 58, 6, 5
2020/12/10, 86, 64, 11, 3
2020/12/11, 99, 52, 5, 2
2020/12/12, 77, 55, 2, 1
2020/12/13, 85, 47, 1, 2
2020/12/14, 66, 31, 1, 1
2020/12/15, 46, 26, 1, 1
2020/12/16, 37, 26, 2, 1
2020/12/17, 37, 33, 2, 1
2020/12/18, 47, 40, 2, 1
2020/12/19, 58, 43, 1, 1
2020/12/20, 64, 52, 2, 1
2020/12/21, 78, 66, 3, 2
2020/12/22, 110, 68, 5, 2
2020/12/23, 110, 53, 2, 2
2020/12/24, 80, 67, 2, 3
2020/12/25, 106, 68, 3, 3
2020/12/26, 109, 78, 4, 3
2020/12/27, 129, 65, 2, 1
2020/12/28, 104, 50, 2, 1
2020/12/29, 71, 35, 2, 2
2020/12/30, 47, 45, 2, 3
2020/12/31, 64, 52, 2, 1
2021/1/1, 74, 74, 4, 2
2021/1/2, 118, 74, 3, 2
2021/1/3, 126, 69, 3, 2
2020/7/1, 29, 23, 2, 1
2020/7/2, 27, 18, 2, 2
2020/7/3, 18, 16, 2, 2
2020/7/4, 19, 15, 2, 1
2020/7/5, 26, 19, 4, 1
2020/7/6, 17, 15, 2, 1
2020/7/7, 18, 12, 3, 1
2020/7/8, 25, 19, 2, 1
2020/7/9, 24, 20, 1, 1
2020/7/10, 27, 15, 2, 1
2020/7/11, 20, 24, 1, 1
2020/7/12, 28, 20, 2, 1
2020/7/13, 24, 20, 2, 1
2020/7/14, 27, 20, 2, 1
2020/7/15, 26, 14, 2, 1
2020/7/16, 17, 18, 2, 1
2020/7/17, 22, 19, 2, 1
2020/7/18, 25, 14, 2, 1
2020/7/19, 17, 15, 1, 3
2020/7/20, 19, 15, 1, 1
2020/7/21, 18, 14, 2, 1
2020/7/22, 19, 15, 2, 1
2020/7/23, 19, 15, 3, 1
2020/7/24, 20, 15, 2, 1
2020/7/25, 18, 15, 2, 1
2020/7/26, 20, 35, 2, 2
2020/7/27, 45, 60, 2, 3
2020/7/28, 88, 34, 2, 2
2020/7/29, 45, 25, 3, 1
2020/7/30, 33, 20, 2, 2
2020/7/31, 26, 27, 2, 1
2020/8/1, 38, 9, 1, 1
2020/8/2, 13, 16, 3, 4
2020/8/3, 22, 25, 2, 2
2020/8/4, 35, 22, 2, 2
2020/8/5, 30, 17, 1, 1
2020/8/6, 22, 21, 4, 4
2020/8/7, 28, 22, 3, 2
2020/8/8, 31, 17, 3, 1
2020/8/9, 22, 21, 6, 2
2020/8/10, 26, 10, 3, 1
2020/8/11, 14, 17, 2, 2
2020/8/12, 24, 17, 1, 1
2020/8/13, 23, 17, 2, 1
2020/8/14, 23, 18, 1, 1
2020/8/15, 23, 14, 2, 1
2020/8/16, 19, 17, 1, 1
2020/8/17, 23, 16, 2, 1
2020/8/18, 21, 23, 3, 1
2020/8/19, 30, 32, 4, 2
2020/8/20, 44, 19, 2, 1
2020/8/21, 20, 21, 3, 1
2020/8/22, 28, 28, 3, 1
2020/8/23, 39, 17, 2, 1
2020/8/24, 24, 21, 3, 5
2020/8/25, 27, 22, 3, 18
2020/8/26, 28, 33, 4, 1
2020/8/27, 45, 25, 4, 2
2020/8/28, 34, 19, 3, 1
2020/8/29, 26, 24, 4, 1
2020/8/30, 32, 29, 3, 1
2020/8/31, 40, 30, 5, 2
2020/9/1, 37, 41, 3, 2
2020/9/2, 58, 38, 4, 3
2020/9/3, 51, 34, 3, 1
2020/9/4, 46, 35, 2, 1
2020/9/5, 48, 28, 2, 1
2020/9/6, 34, 21, 3, 2
2020/9/7, 24, 33, 2, 2
2020/9/8, 45, 28, 3, 2
2020/9/9, 37, 25, 3, 2
2020/9/10, 32, 22, 2, 2
2020/9/11, 30, 25, 2, 1
2020/9/12, 32, 22, 2, 2
2020/9/13, 24, 16, 2, 3
2020/9/14, 20, 19, 2, 1
2020/9/15, 25, 20, 2, 2
2020/9/16, 25, 28, 3, 2
2020/9/17, 36, 17, 1, 1
2020/9/18, 21, 19, 2, 1
2020/9/19, 25, 30, 4, 3
2020/9/20, 40, 37, 2, 2
2020/9/21, 50, 20, 1, 2
2020/9/22, 22, 19, 2, 3
2020/9/23, 25, 18, 2, 1
2020/9/24, 25, 33, 2, 2
2020/9/25, 43, 21, 2, 1
2020/9/26, 26, 18, 2, 2
2020/9/27, 24, 26, 2, 3
2020/9/28, 32, 32, 2, 4
2020/9/29, 42, 26, 1, 3
2020/9/30, 37, 18, 1, 1
2020/6/21, 26, 20, 3, 1
2020/6/22, 28, 18, 4, 1
2020/6/23, 25, 18, 3, 1
2020/6/24, 25, 34, 4, 3
2020/6/25, 47, 19, 3, 1
2020/6/26, 27, 15, 2, 1
2020/6/27, 20, 18, 3, 1
2020/6/28, 25, 20, 3, 1
2020/6/29, 28, 20, 4, 1
2020/6/30, 27, 24, 3, 1
2023/7/2, , 24, 11, 3
2023/4/8, , 65, 8, 1
2023/4/20, , 72, 11, 6
2023/4/26, , 34, , 3
2023/5/2, , 30, 8, 1
2023/5/6, , 52, 8, 3
2023/5/14, , 44, , 
2023/6/3, , 35, 13, 2
2023/6/8, , 20, 8, 2
2023/6/21, , 23, 14, 5
2023/6/24, , 49, 9, 4
2023/1/1, , 66, 3, 2
2023/1/7, , 56, 1, 1
2023/1/14, , 49, 7, 3
2023/1/28, , 69, 17, 9
2023/2/8, , 35, 7, 5
2023/2/11, , 32, 24, 2
2023/2/26, , 63, 23, 3
